dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Auditing (City Controller's Office),General,113,0,2024,Actual,YTD,2024-06-30,113,City Controller's Office,61,
Aviation (1),General,0,0,2024,Actual,YTD,2024-06-30,0,Division of Aviation,43,Aviation
Board of Ethics,General,10,0,2024,Actual,YTD,2024-06-30,10,Board of Ethics,45,
Board of Pensions,General,0,0,2024,Actual,YTD,2024-06-30,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,17,0,2024,Actual,YTD,2024-06-30,17,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,159,0,2024,Actual,YTD,2024-06-30,159,City Commissioner's Office,73,City Commissioners
City Council,General,198,0,2024,Actual,YTD,2024-06-30,198,City Council,01,
City Representative,General,0,0,2024,Actual,YTD,2024-06-30,0,Office of the City Representative,41,City Rep
City Treasurer,General,19,0,2024,Actual,YTD,2024-06-30,19,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2024,Actual,YTD,2024-06-30,2,Civil Service Commission,55,
Commerce,General,58,0,2024,Actual,YTD,2024-06-30,58,Office of the Director of Commerce,42,Commerce
Finance,General,126,0,2024,Actual,YTD,2024-06-30,126,Office of the Director of Finance,35,Finance
First Judicial District,General,1707,0,2024,Actual,YTD,2024-06-30,1707,First Judicial District,84,FJD
Fleet Services,General,269,0,2024,Actual,YTD,2024-06-30,269,Office of Fleet Management,25,Fleet
Free Library,General,814,0,2024,Actual,YTD,2024-06-30,814,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,General,34,0,2024,Actual,YTD,2024-06-30,34,Commission on Human Relations,54,Human Relations
Human Services (2),General,441,0,2024,Actual,YTD,2024-06-30,441,Department of Human Services,22,DHS
Labor,General,36,0,2024,Actual,YTD,2024-06-30,36,Labor,03,
Law,General,223,0,2024,Actual,YTD,2024-06-30,223,Law Department,44,Law
Licenses & Inspections,General,351,0,2024,Actual,YTD,2024-06-30,351,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,2,0,2024,Actual,YTD,2024-06-30,2,L&I: Board of Building and Standards,29,
L&I-Board of L & | Review,General,1,0,2024,Actual,YTD,2024-06-30,1,L&I: Board of Review,27,
Managing Director's Office,General,475,0,2024,Actual,YTD,2024-06-30,475,Managing Director's Office,10,MDO
Mayor's Office,General,93,0,2024,Actual,YTD,2024-06-30,93,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,General,13,0,2024,Actual,YTD,2024-06-30,13,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,General,10,0,2024,Actual,YTD,2024-06-30,10,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,General,0,0,2024,Actual,YTD,2024-06-30,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral HIth & Intellectual disAbility,General,44,0,2024,Actual,YTD,2024-06-30,44,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,General,69,0,2024,Actual,YTD,2024-06-30,69,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,General,3,0,2024,Actual,YTD,2024-06-30,3,Office of Children and Families,66,OCF
Office of Homeless Services,General,129,0,2024,Actual,YTD,2024-06-30,129,Office of Homeless Services,24,OHS
Office of Human Resources,General,91,0,2024,Actual,YTD,2024-06-30,91,Office of Human Resources,56,OHR
Office of Innovation and Technology,General,369,0,2024,Actual,YTD,2024-06-30,369,Office of Innovation and Technology,04,OIT
Office of the Inspector General,General,18,0,2024,Actual,YTD,2024-06-30,18,Office of the Inspector General,48,OIG
Office of Property Assessment,General,178,0,2024,Actual,YTD,2024-06-30,178,Office of Property Assessment,59,OPA
Office of Sustainability,General,23,0,2024,Actual,YTD,2024-06-30,23,Office of Sustainability,49,Sustainability
Parks and Recreation,General,680,0,2024,Actual,YTD,2024-06-30,680,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,General,78,0,2024,Actual,YTD,2024-06-30,78,Department of Planning and Development,72,Planning & Development
Prisons,General,1266,0,2024,Actual,YTD,2024-06-30,1266,Philadelphia Prison System,23,Prisons
Procurement,General,36,0,2024,Actual,YTD,2024-06-30,36,Procurement Department,38,Procurement
Public Health,General,730,0,2024,Actual,YTD,2024-06-30,730,Department of Public Health,14,Public Health
Public Property,General,125,0,2024,Actual,YTD,2024-06-30,125,Department of Public Property,20,Public Property
Records,General,55,0,2024,Actual,YTD,2024-06-30,55,Department of Records,31,Records
Register of Wills,General,64,0,2024,Actual,YTD,2024-06-30,64,Register of Wills,68,
Revenue,General,341,0,2024,Actual,YTD,2024-06-30,341,Department of Revenue,36,Revenue
Sheriff,General,318,0,2024,Actual,YTD,2024-06-30,318,Office of the Sheriff,70,Sheriff
Streets,General,1495,0,2024,Actual,YTD,2024-06-30,1495,Streets Department,12,Streets
Water,General,0,0,2024,Actual,YTD,2024-06-30,0,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",General,0,0,2024,Actual,YTD,2024-06-30,0,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Other,0,0,2024,Actual,YTD,2024-06-30,0,City Controller's Office,61,
Aviation (1),Other,679,0,2024,Actual,YTD,2024-06-30,679,Division of Aviation,43,Aviation
Board of Ethics,Other,0,0,2024,Actual,YTD,2024-06-30,0,Board of Ethics,45,
Board of Pensions,Other,59,0,2024,Actual,YTD,2024-06-30,59,Board of Pensions,53,Pensions
Board of Revision of Taxes,Other,0,0,2024,Actual,YTD,2024-06-30,0,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Other,0,0,2024,Actual,YTD,2024-06-30,0,City Commissioner's Office,73,City Commissioners
City Council,Other,0,0,2024,Actual,YTD,2024-06-30,0,City Council,01,
City Representative,Other,0,0,2024,Actual,YTD,2024-06-30,0,Office of the City Representative,41,City Rep
City Treasurer,Other,0,0,2024,Actual,YTD,2024-06-30,0,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Other,0,0,2024,Actual,YTD,2024-06-30,0,Civil Service Commission,55,
Commerce,Other,21,0,2024,Actual,YTD,2024-06-30,21,Office of the Director of Commerce,42,Commerce
Finance,Other,0,0,2024,Actual,YTD,2024-06-30,0,Office of the Director of Finance,35,Finance
First Judicial District,Other,382,0,2024,Actual,YTD,2024-06-30,382,First Judicial District,84,FJD
Fleet Services,Other,62,0,2024,Actual,YTD,2024-06-30,62,Office of Fleet Management,25,Fleet
Free Library,Other,7,0,2024,Actual,YTD,2024-06-30,7,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,Other,0,0,2024,Actual,YTD,2024-06-30,0,Commission on Human Relations,54,Human Relations
Human Services (2),Other,1076,0,2024,Actual,YTD,2024-06-30,1076,Department of Human Services,22,DHS
Labor,Other,0,0,2024,Actual,YTD,2024-06-30,0,Labor,03,
Law,Other,48,0,2024,Actual,YTD,2024-06-30,48,Law Department,44,Law
Licenses & Inspections,Other,7,0,2024,Actual,YTD,2024-06-30,7,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,Other,0,0,2024,Actual,YTD,2024-06-30,0,L&I: Board of Building and Standards,29,
L&I-Board of L & | Review,Other,0,0,2024,Actual,YTD,2024-06-30,0,L&I: Board of Review,27,
Managing Director's Office,Other,93,0,2024,Actual,YTD,2024-06-30,93,Managing Director's Office,10,MDO
Mayor's Office,Other,0,0,2024,Actual,YTD,2024-06-30,0,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,Other,37,0,2024,Actual,YTD,2024-06-30,37,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,Other,0,0,2024,Actual,YTD,2024-06-30,0,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,Other,0,0,2024,Actual,YTD,2024-06-30,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral HIth & Intellectual disAbility,Other,224,0,2024,Actual,YTD,2024-06-30,224,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,Other,0,0,2024,Actual,YTD,2024-06-30,0,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,Other,0,0,2024,Actual,YTD,2024-06-30,0,Office of Children and Families,66,OCF
Office of Homeless Services,Other,21,0,2024,Actual,YTD,2024-06-30,21,Office of Homeless Services,24,OHS
Office of Human Resources,Other,0,0,2024,Actual,YTD,2024-06-30,0,Office of Human Resources,56,OHR
Office of Innovation and Technology,Other,108,0,2024,Actual,YTD,2024-06-30,108,Office of Innovation and Technology,04,OIT
Office of the Inspector General,Other,0,0,2024,Actual,YTD,2024-06-30,0,Office of the Inspector General,48,OIG
Office of Property Assessment,Other,0,0,2024,Actual,YTD,2024-06-30,0,Office of Property Assessment,59,OPA
Office of Sustainability,Other,2,0,2024,Actual,YTD,2024-06-30,2,Office of Sustainability,49,Sustainability
Parks and Recreation,Other,18,0,2024,Actual,YTD,2024-06-30,18,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,Other,66,0,2024,Actual,YTD,2024-06-30,66,Department of Planning and Development,72,Planning & Development
Prisons,Other,0,0,2024,Actual,YTD,2024-06-30,0,Philadelphia Prison System,23,Prisons
Procurement,Other,0,0,2024,Actual,YTD,2024-06-30,0,Procurement Department,38,Procurement
Public Health,Other,184,0,2024,Actual,YTD,2024-06-30,184,Department of Public Health,14,Public Health
Public Property,Other,0,0,2024,Actual,YTD,2024-06-30,0,Department of Public Property,20,Public Property
Records,Other,0,0,2024,Actual,YTD,2024-06-30,0,Department of Records,31,Records
Register of Wills,Other,0,0,2024,Actual,YTD,2024-06-30,0,Register of Wills,68,
Revenue,Other,186,0,2024,Actual,YTD,2024-06-30,186,Department of Revenue,36,Revenue
Sheriff,Other,0,0,2024,Actual,YTD,2024-06-30,0,Office of the Sheriff,70,Sheriff
Streets,Other,657,0,2024,Actual,YTD,2024-06-30,657,Streets Department,12,Streets
Water,Other,2022,0,2024,Actual,YTD,2024-06-30,2022,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",Other,0,0,2024,Actual,YTD,2024-06-30,0,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Total,113,0,2024,Actual,YTD,2024-06-30,113,City Controller's Office,61,
Aviation (1),Total,679,0,2024,Actual,YTD,2024-06-30,679,Division of Aviation,43,Aviation
Board of Ethics,Total,10,0,2024,Actual,YTD,2024-06-30,10,Board of Ethics,45,
Board of Pensions,Total,59,0,2024,Actual,YTD,2024-06-30,59,Board of Pensions,53,Pensions
