0,1,2,3,4,5
Department / Agency,Fiscal Year 2022 Actual Obligations,Increase/ (Decrease),Fiscal Year 2023 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2024 Adopted Budget
Art Museum,,,,,
"Contrib., Indemnities & Taxes","2,040,000",0,"2,040,000","102,000","2,142,000"
Total,"2,040,000",0,"2,040,000","102,000","2,142,000"
Auditing (City Controller),,,,,
Personal Services,"9,523,506","776,685","10,300,191","299,481","10,599,672"
Purchase of Services,"469,764","27,686","497,450","11,123","508,573"
"Materials, Supplies & Equip.","11,908","13,092","25,000","15,000","40,000"
Total,"10,005,178","817,463","10,822,641","325,604","11,148,245"
Board of Ethics,,,,,
Personal Services,"848,155","234,680","1,082,835","239,598","1,322,433"
Purchase of Services,"10,614","86,886","97,500","(45,000)","52,500"
"Materials, Supplies & Equip.",0,"7,500","7,500",0,"7,500"
Total,"858,769","329,066","1,187,835","194,598","1,382,433"
Board of Revision of Taxes,,,,,
Personal Services,"988,226","76,196","1,064,422","24,601","1,089,023"
Purchase of Services,"35,454","27,446","62,900","17,781","80,681"
"Materials, Supplies & Equip.","17,201",526,"17,727","5,000","22,727"
Total,"1,040,881","104,168","1,145,049","47,382","1,192,431"
City Commissioners,,,,,
Personal Services,"7,768,164","2,141,757","9,909,921","1,283,895","11,193,816"
Purchase of Services,"8,526,175","3,882,817","12,408,992","2,331,109","14,740,101"
"Materials, Supplies & Equip.","4,148,309","2,605,295","6,753,604","(3,569,871)","3,183,733"
Contrib. Indemnities & Taxes,"62,500","(62,500)",0,0,0
Total,"20,505,148","8,567,369","29,072,517","45,133","29,117,650"
City Council,,,,,
Personal Services,"14,383,873","2,035,443","16,419,316","281,267","16,700,583"
Purchase of Services,"2,358,592","2,463,293","4,821,885","(2,300,000)","2,521,885"
"Materials, Supplies & Equip.","327,495","401,155","728,650","(200,000)","528,650"
"Contrib., Indemnities & Taxes",0,100,100,0,100
Payments to Other Funds,0,100,100,0,100
Advances and Other Misc. Payments,0,100,100,0,100
Total,"17,069,960","4,900,191","21,970,151","(2,218,733)","19,751,418"
City Treasurer,,,,,
Personal Services,"1,396,762","190,167","1,586,929","232,096","1,819,025"
Purchase of Services,"1,209,913","1,906,555","3,116,468","135,435","3,251,903"
"Materials, Supplies & Equip.","10,726","11,498","22,224","21,500","43,724"
Total,"2,617,401","2,108,220","4,725,621","389,031","5,114,652"
Civil Service Commission,,,,,
Personal Services,"141,474","39,514","180,988","2,069","183,057"
Purchase of Services,"29,500",0,"29,500",0,"29,500"
"Materials, Supplies & Equip.",0,"1,094","1,094",0,"1,094"
Advances and Other Misc. Payments,0,0,0,"13,360,000","13,360,000"
Total,"170,974","40,608","211,582","13,362,069","13,573,651"
Commerce,,,,,
Personal Services,"2,601,371","2,734,709","5,336,080","431,531","5,767,611"
Purchase of Services,"10,038,704","(378,155)","9,660,549","2,585,744","12,246,293"
"Materials, Supplies & Equip.","20,006","42,648","62,654","(36,000)","26,654"
"Contrib., Indemnities & Taxes","500,000","5,000","505,000",0,"505,000"
Total,"13,160,081","2,404,202","15,564,283","2,981,275","18,545,558"
Commerce-Convention Center Subsidy,,,,,
Purchase of Services,"15,000,000",0,"15,000,000",0,"15,000,000"
Total,"15,000,000",0,"15,000,000",0,"15,000,000"
