0,1,2,3,4,5
Department /Agency,Fiscal Year 2022 Actual Obligations,Increase/ (Decrease),Fiscal Year 2023 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2024 Adopted Budget
Office of Homeless Services,,,,,
Personal Services,"9,151,392","795,222","9,946,614","689,371","10,635,985"
Purchase of Services,"45,807,172","14,306,398","60,113,570","9,430,600","69,544,170"
"Materials, Supplies & Equip.","317,222","26,905","344,127",0,"344,127"
"Contrib., Indemnities & Taxes","5,175","27,246","32,421",0,"32,421"
Total,"55,280,961","15,155,771","70,436,732","10,119,971","80,556,703"
Office of Human Resources,,,,,
Personal Services,"5,230,335","1,052,926","6,283,261","226,721","6,509,982"
Purchase of Services,"863,161","1,702,906","2,566,067","3,561,804","6,127,871"
"Materials, Supplies & Equip.","38,118","31,314","69,432","3,471","72,903"
"Contrib., Indemnities & Taxes",0,0,0,0,0
Total,"6,131,614","2,787,146","8,918,760","3,791,996","12,710,756"
Office of Innovation and Technology,,,,,
Personal Services,"24,553,231","6,072,182","30,625,413","1,240,726","31,866,139"
Purchase of Services,"45,103,824","13,219,896","58,323,720","1,756,523","60,080,243"
"Materials, Supplies & Equip.","12,896,955","(9,315,345)","3,581,610","887,813","4,469,423"
"Contrib., Indemnities & Taxes","12,416","(12,416)",0,0,0
Total,"82,566,426","9,964,317","92,530,743","3,885,062","96,415,805"
Office of Innovation and Technology-911,,,,,
Personal Services,"1,186,642","229,905","1,416,547","192,185","1,608,732"
Purchase of Services,"13,211,938","6,938,528","20,150,466","2,031,924","22,182,390"
"Materials, Supplies & Equip.","2,593,483","5,470,916","8,064,399",0,"8,064,399"
Total,"16,992,063","12,639,349","29,631,412","2,224,109","31,855,521"
Office of the Inspector General,,,,,
Personal Services,"1,414,649","789,545","2,204,194","33,994","2,238,188"
Purchase of Services,"96,909","1,066","97,975","1,720","99,695"
"Materials, Supplies & Equip.","3,498","1,727","5,225","3,440","8,665"
Total,"1,515,056","792,338","2,307,394","39,154","2,346,548"
Office of Property Assessment,,,,,
Personal Services,"13,638,652","1,939,705","15,578,357","443,205","16,021,562"
Purchase of Services,"1,238,456","687,564","1,926,020",0,"1,926,020"
"Materials, Supplies & Equip.","75,938","286,662","362,600",0,"362,600"
Total,"14,953,046","2,913,931","17,866,977","443,205","18,310,182"
Office of Sustainability,,,,,
Personal Services,"842,041","307,660","1,149,701","362,200","1,511,901"
Purchase of Services,"531,464","316,902","848,366","438,618","1,286,984"
"Materials, Supplies & Equip.",557,443,"1,000",0,"1,000"
Payments to Other Funds,"175,000",0,"175,000",0,"175,000"
Total,"1,549,062","625,005","2,174,067","800,818","2,974,885"
Parks and Recreation,,,,,
Personal Services,"51,586,651","7,589,000","59,175,651","6,530,466","65,706,117"
Purchase of Services,"6,041,127","2,309,315","8,350,442","323,000","8,673,442"
"Materials, Supplies & Equip.","2,701,834","1,605,191","4,307,025","(768,487)","3,538,538"
"Contrib., Indemnities & Taxes","5,719,817","(2,369,817)","3,350,000","(1,850,000)","1,500,000"
Payments to Other Funds,0,0,0,0,0
Total,"66,049,429","9,133,689","75,183,118","4,234,979","79,418,097"
Planning and Development,,,,,
Personal Services,"4,756,995","1,022,391","5,779,386","1,252,268","7,031,654"
Purchase of Services,"5,570,465","16,277,998","21,848,463","(92,000)","21,756,463"
"Materials, Supplies & Equip.","73,540","71,221","144,761","(28,456)","116,305"
"Contrib., Indemnities & Taxes","3,000,720","1,499,280","4,500,000","2,000,000","6,500,000"
Total,"13,401,720","18,870,890","32,272,610","3,131,812","35,404,422"
