0,1,2,3,4,5
Department /Agency,Fiscal Year 2022 Actual Obligations,Increase/ (Decrease),Fiscal Year 2023 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2024 Adopted Budget
L&I-Board of L&I Review,,,,,
Personal Services,"134,513","35,864","170,377","1,730","172,107"
Purchase of Services,"10,436",0,"10,436",0,"10,436"
Total,"144,949","35,864","180,813","1,730","182,543"
Managing Director,,,,,
Personal Services,"31,286,076","(788,475)","30,497,601","1,463,655","31,961,256"
Purchase of Services,"93,464,375","39,302,643","132,767,018","14,372,711","147,139,729"
"Materials, Supplies & Equip.","3,515,466","6,597,280","10,112,746","(6,308,128)","3,804,618"
"Contrib., Indemnities & Taxes","3,376,000","2,924,000","6,300,000","(2,000,000)","4,300,000"
Payments to Other Funds,0,0,0,0,0
Total,"131,641,917","48,035,448","179,677,365","7,528,238","187,205,603"
Managing Director-Defenders Association,,,,,
Purchase of Services,0,0,0,"61,997,780","61,997,780"
Total,0,0,0,"61,997,780","61,997,780"
Managing Director-Citizens Police,,,,,
Oversight Commission,,,,,
Personal Services,"672,238","773,146","1,445,384","758,256","2,203,640"
Purchase of Services,"152,473","827,429","979,902","(171,900)","808,002"
"Materials, Supplies & Equip.",905,"39,095","40,000","(28,000)","12,000"
Total,"825,616","1,639,670","2,465,286","558,356","3,023,642"
Mayor's Office,,,,,
Personal Services,"5,673,722","670,881","6,344,603","(1,055,731)","5,288,872"
Purchase of Services,"647,185","233,495","880,680","(153,000)","727,680"
"Materials, Supplies & Equip.","12,359","18,982","31,341","19,851","51,192"
"Contrib., Indemnities & Taxes",0,0,0,0,0
Total,"6,333,266","923,358","7,256,624","(1,188,880)","6,067,744"
Mayor's Office - Scholarships,,,,,
"Contrib., Indemnities & Taxes","200,000","(100,000)","100,000",0,"100,000"
Total,"200,000","(100,000)","100,000",0,"100,000"
Mural Arts Program,,,,,
Personal Services,"404,320","211,112","615,432","13,747","629,179"
Purchase of Services,"2,065,610","605,000","2,670,610","383,531","3,054,141"
Total,"2,469,930","816,112","3,286,042","397,278","3,683,320"
Office of Behavioral Health and,,,,,
Intellectual disAbility,,,,,
Personal Services,"1,818,626","1,730,999","3,549,625","111,646","3,661,271"
Purchase of Services,"20,480,261","4,343,338","24,823,599","435,578","25,259,177"
"Materials, Supplies & Equip.","26,148","21,852","48,000","56,000","104,000"
Total,"22,325,035","6,096,189","28,421,224","603,224","29,024,448"
Office of the Chief Administrative Officer,,,,,
Personal Services,"4,457,677","1,635,378","6,093,055","(343,152)","5,749,903"
Purchase of Services,"2,351,889","4,684,874","7,036,763","5,269,325","12,306,088"
"Materials, Supplies & Equip.","352,885","544,557","897,442","(532,474)","364,968"
Total,"7,162,451","6,864,809","14,027,260","4,393,699","18,420,959"
Office of Children and Families,,,,,
Personal Services,"377,938","89,896","467,834","13,264","481,098"
Purchase of Services,0,0,0,0,0
"Materials, Supplies & Equip.",0,0,0,0,0
"Contrib., Indemnities & Taxes",0,0,0,0,0
Total,"377,938","89,896","467,834","13,264","481,098"
Office of Community,,,,,
Empowerment and Opportunity,,,,,
Personal Services,"44,997","132,188","177,185","1,369,869","1,547,054"
Purchase of Services,"1,463,999","250,008","1,714,007","172,850","1,886,857"
"Materials, Supplies & Equip.",0,"3,808","3,808","12,190","15,998"
"Contrib., Indemnities & Taxes",382,(382),0,0,0
Total,"1,509,378","385,622","1,895,000","1,554,909","3,449,909"
