0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2023,,,,,FISCAL YEAR 2024,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Auditing (City Controller's Office),110,0,110,135,0,135,113,0,113,22
Aviation (1),0,0,0,0,840,840,0,679,679,161
Board of Ethics,10,0,10,14,0,14,10,0,10,4
Board of Pensions,0,57,57,0,73,73,0,59,59,14
Board of Revision of Taxes,15,0,15,16,0,16,17,0,17,(1)
City Commissioners (Election Board),146,0,146,187,0,187,159,0,159,28
City Council,164,0,164,185,0,185,198,0,198,(13)
City Representative,0,0,0,0,0,0,0,0,0,0
City Treasurer,20,0,20,22,0,22,19,0,19,3
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,53,637,690,80,22,102,58,21,79,23
District Attorney - Total,573,108,681,605,105,710,563,114,677,33
Civilian,541,103,644,572,97,669,530,109,639,30
Uniform,32,5,37,33,8,41,33,5,38,3
Finance,121,0,121,139,0,139,126,0,126,13
Fire Total,"2,794",77,"2,871","3,392",85,"3,477","2,815",72,"2,887",590
Civilian,133,10,143,177,1,178,135,1,136,42
Uniform,"2,661",67,"2,728","3,215",84,"3,299","2,680",71,"2,751",548
First Judicial District,"1,685",404,"2,089","1,720",457,"2,177","1,707",382,"2,089",88
Fleet Services,266,61,327,319,84,403,269,62,331,72
Free Library,764,6,770,"1,009",14,"1,023",814,7,821,202
Human Relations Commission,30,0,30,34,0,34,34,0,34,0
Human Services (2),535,893,"1,428",538,"1,351","1,889",441,"1,076","1,517",372
Labor,34,0,34,52,0,52,36,0,36,16
Law,193,46,239,205,55,260,223,48,271,(11)
Licenses & Inspections,329,8,337,430,8,438,351,7,358,80
L&I-Board of Building Standards,1,0,1,1,0,1,2,0,2,(1)
L&I-Board of L & | Review,2,0,2,2,0,2,1,0,1,1
Managing Director's Office,387,103,490,501,98,599,475,93,568,31
Mayor's Office,53,5,58,45,0,45,93,0,93,(48)
Mayor's Office-Comm. Empowerment & Opp.,0,28,28,20,47,67,13,37,50,17
Mural Arts Program,9,0,9,10,0,10,10,0,10,0
Office of Arts and Culture,0,0,0,0,0,0,0,0,0,0
Office of Behavioral HIth & Intellectual disAbility,44,222,266,53,280,333,44,224,268,65
