0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2023,,,,,FISCAL YEAR 2024,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Auditing (City Controller's Office),110,0,110,135,0,135,113,0,113,22
Aviation (1),0,0,0,0,840,840,0,673,673,167
Board of Ethics,10,0,10,14,0,14,10,0,10,4
Board of Pensions,0,57,57,0,73,73,0,58,58,15
Board of Revision of Taxes,15,0,15,16,0,16,17,0,17,(1)
City Commissioners (Election Board),146,0,146,187,0,187,156,0,156,31
City Council,164,0,164,185,0,185,190,0,190,(5)
City Treasurer,20,0,20,22,0,22,20,0,20,2
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,53,637,690,80,22,102,57,23,80,22
District Attorney Total,573,108,681,605,105,710,577,118,695,15
Civilian,541,103,644,572,97,669,546,113,659,10
Uniform,32,5,37,33,8,41,31,5,36,5
Finance,121,0,121,139,0,139,127,0,127,12
Fire Total,"2,794",77,"2,871","3,392",85,"3,477","2,836",73,"2,909",568
Civilian,133,10,143,177,1,178,135,1,136,42
Uniform,"2,661",67,"2,728","3,215",84,"3,299","2,701",72,"2,773",526
First Judicial District,"1,685",404,"2,089","1,720",457,"2,177","1,699",383,"2,082",95
Fleet Services,266,61,327,319,84,403,278,65,343,60
Free Library,764,6,770,"1,009",14,"1,023",816,7,823,200
Human Relations Commission,30,0,30,34,0,34,33,0,33,1
Human Services (2),535,893,"1,428",538,"1,351","1,889",453,"1,051","1,504",385
Labor,34,0,34,52,0,52,36,0,36,16
Law,193,46,239,205,55,260,222,50,272,(12)
Licenses & Inspections,329,8,337,430,8,438,349,7,356,82
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & | Review,2,0,2,2,0,2,2,0,2,0
Managing Director's Office,387,103,490,501,98,599,460,96,556,43
Mayor's Office,53,5,58,45,0,45,86,0,86,(41)
Mayor's Office-Comm. Empowerment & Opp.,0,28,28,20,47,67,14,32,46,21
Mural Arts Program,9,0,9,10,0,10,9,0,9,1
Office of Behavioral HIth & Intellectual disAbility,44,222,266,53,280,333,46,221,267,66
