0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2023,,,,,FISCAL YEAR 2024,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Auditing (City Controller's Office),110,0,110,135,0,135,105,0,105,30
Aviation (1),0,0,0,0,840,840,0,639,639,201
Board of Ethics,10,0,10,14,0,14,10,0,10,4
Board of Pensions,0,57,57,0,73,73,0,58,58,15
Board of Revision of Taxes,15,0,15,16,0,16,15,0,15,1
City Commissioners (Election Board),146,0,146,187,0,187,142,0,142,45
City Council,164,0,164,185,0,185,172,0,172,13
City Treasurer,20,0,20,22,0,22,19,0,19,3
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,53,637,690,80,22,102,56,21,77,25
District Attorney Total,573,108,681,605,105,710,615,108,723,(13)
Civilian,541,103,644,572,97,669,582,102,684,(15)
Uniform,32,5,37,33,8,41,33,6,39,2
Finance,121,0,121,139,0,139,126,0,126,13
Fire Total,"2,794",77,"2,871","3,392",85,"3,477","2,802",77,"2,879",598
Civilian,133,10,143,177,1,178,138,1,139,39
Uniform,"2,661",67,"2,728","3,215",84,"3,299","2,664",76,"2,740",559
First Judicial District,"1,685",404,"2,089","1,720",457,"2,177","1,695",391,"2,086",91
Fleet Services,266,61,327,319,84,403,272,59,331,72
Free Library,764,6,770,"1,009",14,"1,023",775,7,782,241
Human Relations Commission,30,0,30,34,0,34,31,0,31,3
Human Services (2),535,893,"1,428",538,"1,351","1,889",433,"1,004","1,437",452
Labor,34,0,34,52,0,52,37,0,37,15
Law,193,46,239,205,55,260,203,43,246,14
Licenses & Inspections,329,8,337,430,8,438,328,7,335,103
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,2,0,2,2,0,2,2,0,2,0
Managing Director's Office,387,103,490,501,98,599,407,96,503,96
Mayor's Office,53,5,58,45,0,45,39,0,39,6
Mayor's Office-Comm. Empowerment & Opp.,0,28,28,20,47,67,18,36,54,13
Mural Arts Program,9,0,9,10,0,10,7,0,7,3
Office of Behavioral HIth & Intellectual disAbility,44,222,266,53,280,333,44,224,268,65
