0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2023,,,,,FISCAL YEAR 2024,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of the Chief Administrative Officer,73,0,73,76,0,76,66,0,66,10
Office of Children and Families,5,0,5,3,0,3,4,0,4,(1)
Office of Homeless Services,113,16,129,149,40,189,119,18,137,52
Office of Human Resources,82,0,82,96,0,96,86,0,86,10
Office of Innovation and Technology,349,106,455,398,159,557,356,108,464,93
Office of the Inspector General,18,0,18,26,0,26,22,0,22,4
Office of Property Assessment,182,0,182,226,0,226,179,0,179,47
Office of Sustainability,18,2,20,23,1,24,19,2,21,3
Parks and Recreation,678,25,703,945,32,977,679,22,701,276
Planning & Development,66,62,128,83,67,150,64,69,133,17
Police Total,"6,351",124,"6,475","7,483",273,"7,756","6,336",122,"6,458","1,298"
Civilian,801,7,808,"1,103",131,"1,234",851,7,858,376
Uniform,"5,550",117,"5,667","6,380",142,"6,522","5,485",115,"5,600",922
Prisons,"1,312",0,"1,312","2,186",0,"2,186","1,277",0,"1,277",909
Procurement,36,0,36,54,2,56,37,0,37,19
Public Health,690,168,858,864,217,"1,081",695,174,869,212
Public Property,119,0,119,176,0,176,141,0,141,35
Records,53,0,53,60,0,60,53,0,53,7
Register of Wills,63,0,63,73,0,73,67,0,67,6
Revenue,327,170,497,401,221,622,315,180,495,127
Sheriff,328,0,328,459,0,459,321,0,321,138
Streets,"2,068",2,"2,070","1,688",809,"2,497","1,446",614,"2,060",437
Water,0,"1,991","1,991",0,"2,505","2,505",0,"1,992","1,992",513
"Water,Sewer & Stormwater Rate Board",0,0,0,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"21,271","5,321","26,592","25,185","7,846","33,031","20,638","6,072","26,710","6,321"
