0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2023,,,,,FISCAL YEAR 2024,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of the Chief Administrative Officer,73,0,73,76,0,76,71,0,71,5
Office of Children and Families,5,0,5,3,0,3,3,0,3,0
Office of Homeless Services,113,16,129,149,40,189,128,23,151,38
Office of Human Resources,82,0,82,96,0,96,91,0,91,5
Office of Innovation and Technology,349,106,455,398,159,557,371,109,480,77
Office of the Inspector General,18,0,18,26,0,26,18,0,18,8
Office of Property Assessment,182,0,182,226,0,226,173,0,173,53
Office of Sustainability,18,2,20,23,1,24,24,2,26,(2)
Parks and Recreation,678,25,703,945,32,977,667,19,686,291
Planning & Development,66,62,128,83,67,150,75,67,142,8
Police Total,"6,351",124,"6,475","7,483",273,"7,756","6,278",118,"6,396","1,360"
Civilian,801,7,808,"1,103",131,"1,234",855,7,862,372
Uniform,"5,550",117,"5,667","6,380",142,"6,522","5,423",111,"5,534",988
Prisons,"1,312",0,"1,312","2,186",0,"2,186","1,249",0,"1,249",937
Procurement,36,0,36,54,2,56,35,0,35,21
Public Health,690,168,858,864,217,"1,081",702,187,889,192
Public Property,119,0,119,176,0,176,136,0,136,40
Records,53,0,53,60,0,60,55,0,55,5
Register of Wills,63,0,63,73,0,73,63,0,63,10
Revenue,327,170,497,401,221,622,322,187,509,113
Sheriff,328,0,328,459,0,459,324,0,324,135
Streets,"2,068",2,"2,070","1,688",809,"2,497","1,432",636,"2,068",429
Water,0,"1,991","1,991",0,"2,505","2,505",0,"2,001","2,001",504
"Water,Sewer & Stormwater Rate Board",0,0,0,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"21,271","5,321","26,592","25,185","7,846","33,031","20,826","6,207","27,033","5,998"
