0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2023,,,,,FISCAL YEAR 2024,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Auditing (City Controller's Office),110,0,110,135,0,135,98,0,98,37
Aviation (1),0,0,0,0,840,840,0,642,642,198
Board of Ethics,10,0,10,14,0,14,10,0,10,4
Board of Pensions,0,57,57,0,73,73,0,58,58,15
Board of Revision of Taxes,15,0,15,16,0,16,16,0,16,0
City Commissioners (Election Board),146,0,146,187,0,187,141,0,141,46
City Council,164,0,164,185,0,185,174,0,174,11
City Treasurer,20,0,20,22,0,22,19,0,19,3
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,53,637,690,80,22,102,61,21,82,20
District Attorney Total,573,108,681,605,105,710,596,111,707,3
Civilian,541,103,644,572,97,669,563,107,670,(1)
Uniform,32,5,37,33,8,41,33,4,37,4
Finance,121,0,121,139,0,139,124,0,124,15
Fire Total,"2,794",77,"2,871","3,392",85,"3,477","2,778",75,"2,853",624
Civilian,133,10,143,177,1,178,133,1,134,44
Uniform,"2,661",67,"2,728","3,215",84,"3,299","2,645",74,"2,719",580
First Judicial District,"1,685",404,"2,089","1,720",457,"2,177","1,715",390,"2,105",72
Fleet Services,266,61,327,319,84,403,268,66,334,69
Free Library,764,6,770,"1,009",14,"1,023",782,8,790,233
Human Relations Commission,30,0,30,34,0,34,33,0,33,1
Human Services (2),535,893,"1,428",538,"1,351","1,889",433,"1,027","1,460",429
Labor,34,0,34,52,0,52,42,0,42,10
Law,193,46,239,205,55,260,213,46,259,1
Licenses & Inspections,329,8,337,430,8,438,341,7,348,90
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,2,0,2,2,0,2,2,0,2,0
Managing Director's Office,387,103,490,501,98,599,439,96,535,64
Mayor's Office,53,5,58,45,0,45,38,0,38,7
Mayor's Office-Comm. Empowerment & Opp.,0,28,28,20,47,67,17,38,55,12
Mural Arts Program,9,0,9,10,0,10,7,0,7,3
Office of Behavioral HIth & Intellectual disAbility,44,222,266,53,280,333,42,221,263,70
