0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Accrued,Not Accrued,Estimated Revenues
REVENUES,,,,,,,,,,,,,,,,
Real Estate Tax,9.8,2.6,7.3,10.3,6.8,36.8,48.3,68.3,239.5,376.9,14.0,12.2,832.9,(7.2),,825.7
"Total Wage, Earnings, Net Profits",166.3,130.8,131.8,180.8,"139,4",145.6,202.0,131.3,154.1,211.6,147.6,152.1,"1,893.3",(5.2),,1888.1
Realty Transfer Tax,29.7,23.8,23.8,"20,7",18.5,16.2,23.0,18.4,20.0,22.4,27.3,23.4,267.1,4.7,,271.8
Sales Tax,32.8,39.9,16.1,"0,0",34.5,16.1,15.6,20.6,21.3,32.4,35.5,35.5,300.3,0.1,,300.5
Business Income & Receipts Tax,23.5,6.4,30.3,"34,9",(8.6),22.8,18.6,9.2,46.2,392.6,27.5,26.2,629.4,(22.7),,"606,7"
Beverage Tax,6.3,5.9,6.3,"5,9",5.4,5.7,6.8,5.1,5.3,5.9,5.4,5.6,69.7,0.7,,70.3
Other Taxes,(3.7),10.8,8.5,4.4,4.5,3.7,1.8,1.6,2.6,2.0,5.8,4.7,46.6,(0.9),,45.6
Locally Generated Non-tax,43.1,39.8,45.6,25.4,37.2,35.1,17.9,41.5,33.4,46.4,21.0,35.9,422.3,(13.7),,408.6
"Total Other Governments, Excluding PICA Tax",1.3,72.6,100.4,29.4,66.8,6.9,19.6,15.7,0.8,14.2,20.0,19.7,367.4,(0.9),,366.4
Total PICA Other Governments,50.2,56.0,53.4,54.5,48.1,51.5,67.2,49.6,51.1,98.1,78.6,50.6,708.7,(1.7),,707.0
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,"0,0",390.8,0.0,0.0,0.0,3.1,17.9,411.8,,43.0,454.8
Total Current Revenue,359.5,388.5,423.4,366.3,352.5,340.4,811.5,361.3,574.1,"1,202.5",385.7,383.7,"5,949.5",(46.9),43.0,5945.6
Collection of prior year(s) revenue,22.2,0.0,0.0,(32.0),0.0,0.0,0.0,"0,0",0.0,0.0,"0,0",0.0,(9.8),,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,381.7,388.5,423.4,334.3,352.5,340.4,811.5,361.3,574.1,"1,202.5",385.7,"383,7","5,939.7",,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,,,
Payroll,107.5,159.6,164.8,"150,9",160.7,210.5,143.5,"160,7",172.0,150.9,209.3,132.2,"1,922.7",247.5,6.9,2177.1
Employee Benefits,73.0,46.4,49.1,"64,3","54,7",68.6,55.0,56.6,58.8,70.4,67.9,35.3,700.0,95.9,2.9,"798,7"
Pension,0.8,(4.9),11.2,89.3,(11.2),(3.7),(5.3),(5.2),678.3,(5.1),(6.6),(12.9),724.6,102.1,,826.8
Purchase of Services,35.9,91.3,"67,4","104,9","100,9",103.3,"77,6",115.2,100.5,107.3,77.3,77.4,"1,059.1",48.3,293.2,1400.5
"Materials, Equipment",2.7,6.4,6.7,7.9,5.0,5.9,6.6,8.2,7.5,6.1,6.9,10.5,80.4,15.4,108.8,"204,7"
"Contributions, Indemnities",21.2,9.7,77.1,18.5,22.5,19.6,79.1,17.2,84.0,4.3,21.4,86.9,461.4,4.4,9.9,"475,7"
Debt Service-Short Term,0.1,"0,0",0.1,0.0,"0,0","0,0","0,1",0.0,0.1,0.0,0.0,0.0,0.4,1.8,,2.2
Debt Service-Long Term,125.7,0.0,0.0,6.3,"0,0",2.6,38.7,0.0,"0,0",15.4,0.0,0.0,188.7,10.7,,199.4
Interfund Charges,0.4,30.6,42.3,0.0,0.0,5.9,10.0,10.5,"0,0",2.7,"0,0",98.7,201.0,38.2,,239.2
Advances & Misc. Pmts. / Labor Obligations,"0,0",0.0,0.0,0.0,0.0,"0,0","0,0",0.0,"0,0","0,0","0,0",0.0,0.0,11.2,,11.2
Current Year Appropriation,"367,4",339.1,418.6,442.1,"332,6",412.8,405.3,363.3,"1,101.1","351,9",376.3,428.0,"5,338.4",575.5,421.6,6335.5
Prior Yr. Expenditures against Encumbrances,45.2,58.3,22.1,22.1,15.6,9.9,17.4,5.9,7.4,7.3,12.8,2.8,226.8,,,
Prior Yr. Salaries & Vouchers Payable,(38.3),22.8,(16.8),7.5,17.5,7.9,(23.0),209.0,(224.1),207.9,9.2,(10.7),"168,9",,,
TOTAL DISBURSEMENTS,374.4,420.2,423.8,471.8,"365,6",430.6,399.7,578.2,884.3,567.1,398.2,420.1,"5,734.1",,,
Excess (Def) of Receipts over Disbursements,7.3,(31.7),(0.5),(137.5),(13.1),(90.2),411.8,(216.9),(310.2),635.4,(12.5),(36.4),,,,
Opening Balance,"1,802.2","1,809.6","1,777.9","1,777.4","1,640.0","1,626.8","1,536.6","1,948.4","1,731.5","1,421.3","2,056.7","2,044.2",,,,
TRAN,0.0,0.0,"0,0",0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,,,,
CLOSING BALANCE,"1,809.6","1,777.9","1,777.4","1,640.0","1,626.8","1,536.6","1,948.4","1,731.5","1,421.3","2,056.7","2,044.2","2,007.8",,,,
