dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2040000,2023,Actual,Full Year,2023-06-30,Art Museum,34,
Auditing (City Controller's Office),9734403,2023,Actual,Full Year,2023-06-30,City Controller's Office,61,
Board of Ethics,1008915,2023,Actual,Full Year,2023-06-30,Board of Ethics,45,
Board of Revision of Taxes,1092178,2023,Actual,Full Year,2023-06-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),28219522,2023,Actual,Full Year,2023-06-30,City Commissioner's Office,73,City Commissioners
City Council,17642059,2023,Actual,Full Year,2023-06-30,City Council,01,
City Treasurer,4797363,2023,Actual,Full Year,2023-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,183040,2023,Actual,Full Year,2023-06-30,Civil Service Commission,55,
Commerce,12399056,2023,Actual,Full Year,2023-06-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2023,Actual,Full Year,2023-06-30,Commerce: Convention Center Subsidy,42-CC,
Commerce-Economic Stimulus,16720961,2023,Actual,Full Year,2023-06-30,Commerce: Economic Stimulus,42-ES,
District Attorney,50124700,2023,Actual,Full Year,2023-06-30,District Attorney's Office,69,DAO
Finance,198163923,2023,Actual,Full Year,2023-06-30,Office of the Director of Finance,35,Finance
Finance-Budget Stabilization Reserve,65128000,2023,Actual,Full Year,2023-06-30,Finance: Budget Stabilization Reserve,35-BSR,
Finance-Disability-Reg #32 Payroll,4334997,2023,Actual,Full Year,2023-06-30,Finance: Reg #32,35-R32,
Finance-Recession and Inflation Reserve and Reopening,0,2023,Actual,Full Year,2023-06-30,Finance: Recession Reserve,35-RR,
Finance-Community College Subsidy,67126386,2023,Actual,Full Year,2023-06-30,Finance: Community College Subsidy,35-CC,
Finance -Employee Benefits,1625941393,2023,Actual,Full Year,2023-06-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Unemployment Compensation,1609121,2023,Actual,Full Year,2023-06-30,Employee Benefits: Unemployment Compensation,35-EB-UC,
Employee Benefits: COVID-19 Funeral Expense,22885,2023,Actual,Full Year,2023-06-30,Employee Benefits: COVID-19 Funeral Costs,35-COVID,
Employee Benefits: Employee Disability,92323076,2023,Actual,Full Year,2023-06-30,Employee Benefits: Employee Disability,35-EB-DIS,
Employee Benefits: Pension Obligation Bonds,114998394,2023,Actual,Full Year,2023-06-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,
Employee Benefits: Pension,814685465,2023,Actual,Full Year,2023-06-30,Employee Benefits: Pension,35-EB-PEN,
Employee Benefits: FICA,89055014,2023,Actual,Full Year,2023-06-30,Employee Benefits: FICA,35-EB-FICA,
Employee Benefits: Flex Cash Payments,785843,2023,Actual,Full Year,2023-06-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,
Employee Benefits: Health / Medical,499824327,2023,Actual,Full Year,2023-06-30,Employee Benefits: Health/Medical,35-EB-HM,
Employee Benefits: Group Life Insurance,6094612,2023,Actual,Full Year,2023-06-30,Employee Benefits: Group Life Insurance,35-EB-GLI,
Employee Benefits: Group Legal,6386906,2023,Actual,Full Year,2023-06-30,Employee Benefits: Group Legal,35-EB-GL,
Employee Benefits: Tool Allowance,155750,2023,Actual,Full Year,2023-06-30,Employee Benefits: Tool Allowance,35-EB-TA,
Finance-Hero Scholarship Awards,24000,2023,Actual,Full Year,2023-06-30,Finance: Hero Scholarship Awards,35-HA,
Finance-Payment to Housing Trust Fund,29066068,2023,Actual,Full Year,2023-06-30,Finance: Housing Trust Fund,35-HTF,
Finance-Indemnities A,10792504,2023,Actual,Full Year,2023-06-30,Finance: Indemnities,35-IN,
Finance-Refunds,124150,2023,Actual,Full Year,2023-06-30,Finance: Refunds,35-R,
Finance-School District Contribution,269953201,2023,Actual,Full Year,2023-06-30,Finance: School District Contribution,35-SD,
Finance-Witness Fees,170900,2023,Actual,Full Year,2023-06-30,Finance: Witness Fees,35-WF,
Fire,395726507,2023,Actual,Full Year,2023-06-30,Fire Department,13,Fire
First Judicial District,122480856,2023,Actual,Full Year,2023-06-30,First Judicial District,84,FJD
Fleet Services,55728850,2023,Actual,Full Year,2023-06-30,Office of Fleet Management,25,Fleet
Fleet Services Vehicle Purchases,22582373,2023,Actual,Full Year,2023-06-30,Fleet: Vehicle Lease/Purchases,25-V,
Free Library,50533587,2023,Actual,Full Year,2023-06-30,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,2387906,2023,Actual,Full Year,2023-06-30,Commission on Human Relations,54,Human Relations
Human Services,184752720,2023,Actual,Full Year,2023-06-30,Department of Human Services,22,DHS
Labor,3390043,2023,Actual,Full Year,2023-06-30,Labor,03,
Law,24887694,2023,Actual,Full Year,2023-06-30,Law Department,44,Law
Licenses & Inspections,38917404,2023,Actual,Full Year,2023-06-30,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,83357,2023,Actual,Full Year,2023-06-30,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,180203,2023,Actual,Full Year,2023-06-30,L&I: Board of Review,27,
Managing Director-Base,110083074,2023,Actual,Full Year,2023-06-30,Managing Director's Office,10,MDO
Managing Director-Citizens Police Oversight Commission,1390833,2023,Actual,Full Year,2023-06-30,MDO: Citizens Police Oversight Commission,10-CP,
Managing Director-Defender Association,54283600,2023,Actual,Full Year,2023-06-30,MDO: Legal Services,10-LS,
Mayor's Office,6756501,2023,Actual,Full Year,2023-06-30,Mayor's Office,05,Mayor
Mayor's Office-Scholarships,76000,2023,Actual,Full Year,2023-06-30,Mayor's Office: Scholarships,05-S,
Mayor's Office-Comm. Empowerment & Opp.,1704202,2023,Actual,Full Year,2023-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,3198517,2023,Actual,Full Year,2023-06-30,Mural Arts Program,50,Mural Arts
Office of Behavioral HIth & Intellectual disAbility,27986417,2023,Actual,Full Year,2023-06-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,13745419,2023,Actual,Full Year,2023-06-30,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,502591,2023,Actual,Full Year,2023-06-30,Office of Children and Families,66,OCF
Office of Homeless Services,78342285,2023,Actual,Full Year,2023-06-30,Office of Homeless Services,24,OHS
Office of Human Resources,7658194,2023,Actual,Full Year,2023-06-30,Office of Human Resources,56,OHR
Office of Innovation and Technology-Base,88523703,2023,Actual,Full Year,2023-06-30,Office of Innovation and Technology,04,OIT
Office of Innovation and Technology-911,18572354,2023,Actual,Full Year,2023-06-30,OIT: 911,04-911,
Office of the Inspector General,1625270,2023,Actual,Full Year,2023-06-30,Office of the Inspector General,48,OIG
Office of Property Assessment,15366387,2023,Actual,Full Year,2023-06-30,Office of Property Assessment,59,OPA
Office of Sustainability,2169160,2023,Actual,Full Year,2023-06-30,Office of Sustainability,49,Sustainability
Parks and Recreation,75227124,2023,Actual,Full Year,2023-06-30,Department of Parks and Recreation,16,Parks & Recreation
