0,1,2,3,4,5,6,7,8
,,,,,,FY 2024 FULL YEAR,,
Department/Category,FY 21 Year End,FY 22 Year End,FY 23,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Office of the Inspector General,,,,,,,,
Full-Time Positions,18,16,18,26,26,18,8,8
Class 100 Total Oblig./Approp.,"1,283,300","1,414,649","1,524,854","2,238,188","2,213,188","2,213,188","25,000",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Office of Property Assessment,,,,,,,,
Full-Time Positions,190,177,182,226,226,178,48,48
Class 100 Total Oblig./Approp.,"13,393,546","13,638,652","13,454,091","16,021,562","16,021,562","16,021,562",0,0
Class 100 Overtime Oblig./Approp.,"42,002","107,053","164,817","140,000","200,000","275,671","(135,671)","(75,671)"
Office of Sustainability,,,,,,,,
Full-Time Positions,8,11,18,23,26,23,0,3
Class 100 Total Oblig./Approp.,"484,422","842,041","1,148,398","1,511,901","1,729,529","1,729,529","(217,628)",0
Class 100 Overtime Oblig./Approp.,0,480,23,0,0,450,(450),(450)
Parks and Recreation,,,,,,,,
Full-Time Positions,644,613,678,945,795,680,265,115
Class 100 Total Oblig./Approp.,"42,876,919","51,586,651","56,440,606","65,706,117","63,862,117","63,862,117","1,844,000",0
Class 100 Overtime Oblig./Approp.,"2,083,704","4,101,277","5,408,222","5,835,950","5,815,650","5,165,951","669,999","649,699"
Planning and Development,,,,,,,,
Full-Time Positions,55,54,66,83,83,78,5,5
Class 100 Total Oblig./Approp.,"4,510,200","4,756,995","5,252,008","7,031,654","7,031,654","7,031,654",0,0
Class 100 Overtime Oblig./Approp.,"9,507","22,401","24,704","6,000","33,000","42,877","(36,877)","(9,877)"
Police,,,,,,,,
Full-Time Positions,"6,869","6,651","6,351","7,483","6,733","6,204","1,279",529
Class 100 Total Oblig./Approp.,"708,324,818","727,678,591","761,129,391","800,086,615","800,086,615","800,086,615",0,0
Class 100 Overtime Oblig./Approp.*,"64,896,010","76,002,003","96,768,961","114,777,062","117,777,062","103,679,134","11,097,928","14,097,928"
Prisons,,,,,,,,
Full-Time Positions,"1,620","1,393","1,312","2,186","1,436","1,266",920,170
Class 100 Total Oblig./Approp.,"118,472,913","118,473,913","118,891,418","172,050,282","172,050,282","172,050,282",0,0
Class 100 Overtime Oblig./Approp.,"24,602,298","29,907,097","33,336,433","38,235,000","38,235,000","34,393,603","3,841,397","3,841,397"
Procurement,,,,,,,,
Full-Time Positions,35,35,36,54,54,36,18,18
Class 100 Total Oblig./Approp.,"2,434,690","2,665,060","2,585,104","3,612,226","3,612,226","3,612,226",0,0
Class 100 Overtime Oblig./Approp.,"11,124","1,962","1,738",0,"4,000","7,017","(7,017)","(3,017)"
Public Health,,,,,,,,
Full-Time Positions,716,689,690,864,764,730,134,34
Class 100 Total Oblig./Approp.,"58,289,725","60,210,880","60,916,653","69,046,910","69,296,910","69,296,910","(250,000)",0
Class 100 Overtime Oblig./Approp.,"2,319,808","2,434,412","2,703,650","2,199,917","2,999,917","3,076,857","(876,940)","(76,940)"
