0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2024 YEAR TO DATE,,,,FY 2024 FULL YEAR,,
Department / Category,FY 21 Year End,FY 22 Year End,FY 23 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
L&I-Board of L & I Review,,,,,,,,,,,
Full-Time Positions,1,2,2,2,2,0,2,2,2,0,0
Class 100 Total Oblig./Approp.,"118,576","134,513","169,767","39,748","39,748",0,"172,107","172,107","172,107",0,0
Class 100 Overtime Oblig./Approp.,0,"2,983",0,0,0,0,0,0,0,0,0
Managing Director's Office,,,,,,,,,,,
Full-Time Positions,290,324,387,407,407,0,501,501,502,(1),(1)
Class 100 Total Oblig./Approp.,"28,719,552","31,958,314","27,997,355","6,010,274","6,010,274",0,"34,164,896","34,164,896","37,324,896","(3,160,000)","(3,160,000)"
Class 100 Overtime Oblig./Approp.,"824,568","847,036","1,431,858","306,592","351,760","(45,168)","1,226,366","1,226,366","1,226,366",0,0
MDO-Base,,,,,,,,,,,
Full-Time Positions,290,311,371,391,391,0,477,477,478,(1),(1)
Class 100 Total Oblig./Approp.,"28,719,552","31,286,076","26,916,485","5,723,538","5,723,538",0,"31,961,256","31,961,256","35,121,256","(3,160,000)","(3,160,000)"
Class 100 Overtime Oblig./Approp.,"824,568","847,036","1,431,858","306,592","351,760","(45,168)","1,226,366","1,226,366","1,226,366",0,0
MDO-Citizens Police Oversight Comm.,,,,,,,,,,,
Full-Time Positions,0,13,16,16,16,0,24,24,24,0,0
Class 100 Total Oblig./Approp.,0,"672,238","1,080,870","286,736","286,736",0,"2,203,640","2,203,640","2,203,640",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Mayor's Office,,,,,,,,,,,
Full-Time Positions,61,60,53,39,39,0,45,45,45,0,0
Class 100 Total Oblig./Approp.,"5,574,446","5,673,722","5,950,965","1,108,683","1,108,683",0,"5,288,872","5,288,872","7,288,872","(2,000,000)","(2,000,000)"
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Mayor's Office of Community Empowerment and Opportunity,,,,,,,,,,,
Full-Time Positions,0,0,0,18,18,0,20,20,20,0,0
Class 100 Total Oblig./Approp.,"45,000","44,997","144,949",0,0,0,"1,547,054","1,547,054","1,547,054",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Mural Arts Program,,,,,,,,,,,
Full-Time Positions,8,8,9,7,7,0,10,10,10,0,0
Class 100 Total Oblig./Approp.,"577,153","404,320","527,907","109,820","109,820",0,"629,179","629,179","629,179",0,0
Class 100 Overtime Oblig./Approp.,"2,317","5,431","12,599","6,250","2,940","3,310","25,000","25,000","25,000",0,0
