0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2024 YEAR TO DATE,,,,FY 2024 FULL YEAR,,
Department/Category,FY 21 Year End,FY 22 Year End,FY 23,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
L&I-Board of L & I Review,,,,,,,,,,,
Full-Time Positions,1,2,2,2,2,0,2,2,2,0,0
Class 100 Total Oblig./Approp.,"118,576","134,513","169,767","145,248","145,248",0,"172,107","172,107","172,107",0,0
Class 100 Overtime Oblig./Approp.,0,"2,983",0,0,0,0,0,0,0,0,0
Managing Director's Office,,,,,,,,,,,
Full-Time Positions,290,324,387,460,460,0,501,502,502,(1),0
Class 100 Total Oblig./Approp.,"28,719,552","31,958,314","27,997,355","22,014,174","22,014,174",0,"34,164,896","37,324,896","37,324,896","(3,160,000)",0
Class 100 Overtime Oblig./Approp.,"824,568","847,036","1,431,858","1,219,775","1,145,188","74,587","1,226,366","1,626,366","1,626,366","(400,000)",0
MDO-Base,,,,,,,,,,,
Full-Time Positions,290,311,371,439,439,0,477,478,478,(1),0
Class 100 Total Oblig./Approp.,"28,719,552","31,286,076","26,916,485","20,990,349","20,990,349",0,"31,961,256","35,121,256","35,121,256","(3,160,000)",0
Class 100 Overtime Oblig./Approp.,"824,568","847,036","1,431,858","1,219,775","1,145,188","74,587","1,226,366","1,626,366","1,626,366","(400,000)",0
MDO-Citizens Police Oversight Comm.,,,,,,,,,,,
Full-Time Positions,0,13,16,21,21,0,24,24,24,0,0
Class 100 Total Oblig./Approp.,0,"672,238","1,080,870","1,023,825","1,023,825",0,"2,203,640","2,203,640","2,203,640",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Mayor's Office,,,,,,,,,,,
Full-Time Positions,61,60,53,86,86,0,45,45,93,(48),(48)
Class 100 Total Oblig./Approp.,"5,574,446","5,673,722","5,950,965","4,472,121","4,472,121",0,"5,288,872","7,288,872","7,288,872","(2,000,000)",0
Class 100 Overtime Oblig./Approp.,0,0,0,150,394,(244),0,200,525,(525),(325)
Mayor's Office of Community Empowerment and Opportunity,,,,,,,,,,,
Full-Time Positions,0,0,0,14,14,0,20,20,20,0,0
Class 100 Total Oblig./Approp.,"45,000","44,997","144,949","705,269","705,269",0,"1,547,054","1,547,054","1,547,054",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Mural Arts Program,,,,,,,,,,,
Full-Time Positions,8,8,9,9,9,0,10,10,10,0,0
Class 100 Total Oblig./Approp.,"577,153","404,320","527,907","303,344","303,344",0,"629,179","629,179","629,179",0,0
Class 100 Overtime Oblig./Approp.,"2,317","5,431","12,599","18,750","11,000","7,750","25,000","25,000","25,000",0,0
