0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2025 YEAR TO DATE,,,,FY 2025 FULL YEAR,,
Department /Category,FY 22 Year End,FY 23 Year End,FY 24 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Office of Human Resources,,,,,,,,,,,
Full-Time Positions,73,82,91,92,92,0,99,99,99,0,0
Class 100 Total Oblig./Approp.,"5,230,335","5,488,289","6,325,180","1,490,774","1,490,774",0,"6,730,282","6,730,282","6,964,012","(233,730)","(233,730)"
Class 100 Overtime Oblig./Approp.,"94,206","111,909","51,435","38,848","10,440","28,408","155,391","155,391","155,391",0,0
Office of Innovation and Technology,,,,,,,,,,,
Full-Time Positions,300,349,369,367,367,0,421,421,421,0,0
Class 100 Total Oblig./Approp.,"25,739,873","28,225,382","32,603,550","7,282,537","7,282,537",0,"33,623,852","33,623,852","35,108,926","(1,485,074)","(1,485,074)"
Class 100 Overtime Oblig./Approp.,"579,803","754,167","798,132","172,191","193,998","(21,807)","688,765","688,765","688,765",0,0
OIT-Base,,,,,,,,,,,
Full-Time Positions,288,334,353,350,350,0,402,402,402,0,0
Class 100 Total Oblig./Approp.,"24,553,231","26,813,476","31,154,241","6,957,491","6,957,491",0,"31,895,120","31,895,120","33,380,194","(1,485,074)","(1,485,074)"
Class 100 Overtime Oblig./Approp.,"523,830","752,935","770,273","164,691","186,507","(21,816)","658,765","658,765","658,765",0,0
OIT-911,,,,,,,,,,,
Full-Time Positions,12,15,16,17,17,0,19,19,19,0,0
Class 100 Total Oblig./Approp.,"1,186,642","1,411,906","1,449,309","325,046","325,046",0,"1,728,732","1,728,732","1,728,732",0,0
Class 100 Overtime Oblig./Approp.,"55,973","1,232","27,859","7,500","7,491",9,"30,000","30,000","30,000",0,0
Office of the Inspector General,,,,,,,,,,,
Full-Time Positions,16,18,18,18,18,0,26,26,26,0,0
Class 100 Total Oblig./Approp.,"1,414,649","1,524,854","1,743,544","365,715","365,715",0,"2,463,188","2,463,188","2,534,057","(70,869)","(70,869)"
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Office of Property Assessment,,,,,,,,,,,
Full-Time Positions,177,182,178,181,181,0,226,226,226,0,0
Class 100 Total Oblig./Approp.,"13,638,652","13,454,091","13,645,565","3,143,477","3,143,477",0,"16,021,562","16,021,562","16,730,375","(708,813)","(708,813)"
Class 100 Overtime Oblig./Approp.,"107,053","164,817","275,671","49,834","19,934","29,900","199,336","199,336","199,336",0,0
Office of Sustainability,,,,,,,,,,,
Full-Time Positions,11,18,23,24,24,0,23,23,23,0,0
Class 100 Total Oblig./Approp.,"842,041","1,148,398","1,791,288","457,303","457,303",0,"1,487,029","1,487,029","1,578,333","(91,304)","(91,304)"
Class 100 Overtime Oblig./Approp.,480,23,450,0,"1,380","(1,380)",0,0,"4,000","(4,000)","(4,000)"
