0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2025 YEAR TO DATE,,,,FY 2025 FULL YEAR,,
Department / Category,FY 22 Year End,FY 23 Year End,FY 24 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Free Library,,,,,,,,,,,
Full-Time Positions,618,764,814,851,851,0,"1,009","1,009","1,009",0,0
Class 100 Total Oblig./Approp.,"37,737,788","39,779,422","48,059,505","12,160,203","12,160,203",0,"59,340,820","59,340,820","60,911,619","(1,570,799)","(1,570,799)"
Class 100 Overtime Oblig./Approp.,"587,443","1,128,594","1,485,124","651,250","547,393","103,857","2,605,000","2,605,000","2,605,000",0,0
Human Relations Commission,,,,,,,,,,,
Full-Time Positions,32,30,34,34,34,0,35,35,35,0,0
Class 100 Total Oblig./Approp.,"2,286,733","2,340,114","2,436,529","616,380","616,380",0,"2,663,744","2,663,744","2,802,307","(138,563)","(138,563)"
Class 100 Overtime Oblig./Approp.,0,0,0,0,"25,034","(25,034)",0,0,0,0,0
Human Services,,,,,,,,,,,
Full-Time Positions,492,535,441,439,439,0,551,551,551,0,0
Class 100 Total Oblig./Approp. *,"28,716,422","32,334,996","36,217,164",0,0,0,"38,007,007","38,007,007","39,666,504","(1,659,497)","(1,659,497)"
Class 100 Overtime Oblig./Approp. *,"4,080,821","5,077,010","6,698,776","949,454",0,"949,454","3,797,814","3,797,814","3,797,814",0,0
Labor,,,,,,,,,,,
Full-Time Positions,28,34,36,41,41,0,57,57,57,0,0
Class 100 Total Oblig./Approp.,"2,246,006","2,766,257","3,412,419","722,853","722,853",0,"4,194,853","4,194,853","4,328,779","(133,926)","(133,926)"
Class 100 Overtime Oblig./Approp.,"8,366","7,980","12,708","5,000","4,839",161,"20,000","20,000","20,000",0,0
Law,,,,,,,,,,,
Full-Time Positions,175,193,223,224,224,0,226,226,226,0,0
Class 100 Total Oblig./Approp.,"13,550,079","15,665,381","18,593,662","4,347,727","4,347,727",0,"19,884,049","19,884,049","20,718,301","(834,252)","(834,252)"
Class 100 Overtime Oblig./Approp.,0,70,311,0,0,0,0,0,0,0,0
Licenses & Inspections,,,,,,,,,,,
Full-Time Positions,346,329,351,358,358,0,441,441,441,0,0
Class 100 Total Oblig./Approp.,"24,295,338","24,116,397","24,906,356","5,830,697","5,830,697",0,"28,420,282","28,420,282","29,290,529","(870,247)","(870,247)"
Class 100 Overtime Oblig./Approp.,"1,342,903","1,277,430","1,536,134","377,875","367,933","9,942","1,511,500","1,511,500","1,511,500",0,0
L&I-Board of Building Standards,,,,,,,,,,,
Full-Time Positions,1,1,2,1,1,0,1,1,1,0,0
Class 100 Total Oblig./Approp.,"76,786","83,357","86,372","20,427","20,427",0,"86,609","86,609","90,074","(3,465)","(3,465)"
Class 100 Overtime Oblig./Approp.,167,769,793,0,0,0,0,0,0,0,0
