0,1,2,3,4,5,6,7,8
,,,,,,FY 2024 FULL YEAR,,
Department/Category,FY 21 Year End,FY 22 Year End,FY 23,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Law,,,,,,,,
Full-Time Positions,127,175,193,205,215,223,(18),(8)
Class 100 Total Oblig./Approp.,"9,640,029","13,550,079","15,665,381","16,857,049","18,357,049","18,357,049","(1,500,000)",0
Class 100 Overtime Oblig./Approp.,"6,050",0,70,0,425,311,(311),114
Licenses & Inspections,,,,,,,,
Full-Time Positions,372,346,329,430,429,351,79,78
Class 100 Total Oblig./Approp.,"24,779,256","24,295,338","24,116,397","28,501,910","28,420,282","28,420,282","81,628",0
Class 100 Overtime Oblig./Approp.,"845,614","1,342,903","1,277,430","1,011,507","1,411,507","1,536,134","(524,627)","(124,627)"
L&I-Board of Building Standards,,,,,,,,
Full-Time Positions,1,1,1,1,1,2,(1),(1)
Class 100 Total Oblig./Approp.,"85,061","76,786","83,357","86,609","86,609","86,609",0,0
Class 100 Overtime Oblig./Approp.,0,167,769,0,"1,000",793,(793),207
L&I-Board of L & Review,,,,,,,,
Full-Time Positions,1,2,2,2,2,1,1,1
Class 100 Total Oblig./Approp.,"118,576","134,513","169,767","172,107","172,107","172,107",0,0
Class 100 Overtime Oblig./Approp.,0,"2,983",0,0,0,0,0,0
Managing Director's Office,,,,,,,,
Full-Time Positions,290,324,387,501,502,475,26,27
Class 100 Total Oblig./Approp.,"28,719,552","31,958,314","27,997,355","34,164,896","37,324,896","37,324,896","(3,160,000)",0
Class 100 Overtime Oblig./Approp.,"824,568","847,036","1,431,858","1,226,366","1,626,366","1,782,072","(555,706)","(155,706)"
MDO-Base,,,,,,,,
Full-Time Positions,290,311,371,477,478,452,25,26
Class 100 Total Oblig./Approp.,"28,719,552","31,286,076","26,916,485","31,961,256","35,121,256","35,121,256","(3,160,000)",0
Class 100 Overtime Oblig./Approp.,"824,568","847,036","1,431,858","1,226,366","1,626,366","1,782,072","(555,706)","(155,706)"
MDO-Citizens Police Oversight Comm.,,,,,,,,
Full-Time Positions,0,13,16,24,24,23,1,1
Class 100 Total Oblig./Approp.,0,"672,238","1,080,870","2,203,640","2,203,640","2,203,640",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Mayor's Office,,,,,,,,
Full-Time Positions,61,60,53,45,93,93,(48),0
Class 100 Total Oblig./Approp.,"5,574,446","5,673,722","5,950,965","5,288,872","7,288,872","7,288,872","(2,000,000)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,525,563,(563),(38)
Mayor's Office of Community Empowerment and Opportunity,,,,,,,,
Full-Time Positions,0,0,0,20,20,13,7,7
Class 100 Total Oblig./Approp.,"45,000","44,997","144,949","1,547,054","1,547,054","1,547,054",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
