0,1,2,3,4,5,6,7,8
,,,,,,FY 2024 FULL YEAR,,
Department/Category,FY 21 Year End,FY 22 Year End,FY 23,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Auditing (City Controller's Office),,,,,,,,
Full-Time Positions,118,109,110,135,135,113,22,22
Class 100 Total Oblig./Approp.,"9,311,029","9,523,506","9,092,764","10,599,672","10,399,672","10,399,672","200,000",0
Class 100 Overtime Oblig./Approp.,"39,619","58,666","60,074","80,000","80,000","57,999","22,001","22,001"
Board of Ethics,,,,,,,,
Full-Time Positions,9,9,10,14,14,10,4,4
Class 100 Total Oblig./Approp.,"801,988","848,155","932,874","1,322,433","1,322,433","1,322,433",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Board of Revision of Taxes,,,,,,,,
Full-Time Positions,15,14,15,16,16,17,(1),(1)
Class 100 Total Oblig./Approp.,"1,002,561","988,226","1,012,612","1,089,023","1,109,023","1,109,023","(20,000)",0
Class 100 Overtime Oblig./Approp.,45,"1,801","1,824",0,"3,500",843,(843),"2,657"
City Commissioners (Election Board),,,,,,,,
Full-Time Positions,137,134,146,187,187,159,28,28
Class 100 Total Oblig./Approp.,"8,293,480","7,768,164","9,116,587","11,193,816","11,193,816","11,193,816",0,0
Class 100 Overtime Oblig./Approp.,"1,531,588","1,230,728","1,649,718","1,594,599","1,594,599","1,650,637","(56,038)","(56,038)"
City Council,,,,,,,,
Full-Time Positions,182,175,164,185,185,198,(13),(13)
Class 100 Total Oblig./Approp.,"14,051,449","14,383,873","14,095,159","16,700,583","18,700,583","18,700,583","(2,000,000)",0
Class 100 Overtime Oblig./Approp.,245,0,0,0,0,0,0,0
City Treasurer,,,,,,,,
Full-Time Positions,16,17,20,22,22,19,3,3
Class 100 Total Oblig./Approp.,"1,230,203","1,396,762","1,579,598","1,819,025","1,819,025","1,819,025",0,0
Class 100 Overtime Oblig./Approp.,"56,626","66,607","57,689","70,000","70,000","44,107","25,893","25,893"
Civil Service Commission,,,,,,,,
Full-Time Positions,1,2,2,2,2,2,0,0
Class 100 Total Oblig./Approp.,"140,533","141,474","153,540","183,057","183,057","183,057",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Commerce,,,,,,,,
Full-Time Positions,37,35,53,80,80,58,22,22
Class 100 Total Oblig./Approp.,"2,499,341","2,601,371","3,614,784","5,767,611","5,767,611","5,767,611",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,"10,000",500,60,"9,940",440
District Attorney,,,,,,,,
Full-Time Positions,521,503,573,605,605,563,42,42
Class 100 Total Oblig./Approp.,"38,421,902","39,764,411","43,824,953","46,912,929","49,912,929","49,912,929","(3,000,000)",0
Class 100 Overtime Oblig./Approp.*,"141,860","169,371","169,935","185,000","185,000","344,572","(159,572)","(159,572)"
