0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2025 YEAR TO DATE,,,,FY 2025 FULL YEAR,,
Department / Category,FY 22 Year End,FY 23 Year End,FY 24 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Commerce,,,,,,,,,,,
Full-Time Positions,35,53,58,62,62,0,84,84,84,0,0
Class 100 Total Oblig./Approp.,"2,601,371","3,614,784","4,623,419","1,101,651","1,101,651",0,"5,052,861","5,052,861","5,261,873","(209,012)","(209,012)"
Class 100 Overtime Oblig./Approp.,0,0,60,"2,500",0,"2,500","10,000","10,000","10,000",0,0
District Attorney,,,,,,,,,,,
Full-Time Positions,503,573,563,602,602,0,642,642,642,0,0
Class 100 Total Oblig./Approp.,"39,764,411","43,824,953","49,912,929","10,841,538","10,841,538",0,"50,075,638","50,075,638","51,962,385","(1,886,747)","(1,886,747)"
Class 100 Overtime Oblig./Approp.*,"169,371","169,935","344,572","56,250","218,755","(162,505)","225,000","225,000","225,000",0,0
Finance,,,,,,,,,,,
Full-Time Positions,122,121,126,123,123,0,142,142,142,0,0
Class 100 Total Oblig./Approp.,"9,986,109","10,658,385","11,886,757","2,665,878","2,665,878",0,"11,712,986","11,712,986","12,203,702","(490,716)","(490,716)"
Class 100 Overtime Oblig./Approp.,"125,778","117,808","117,760","36,250","26,552","9,698","145,000","145,000","145,000",0,0
Finance Reg #32 Disability,,,,,,,,,,,
Full-Time Positions,0,0,0,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"2,497,028","4,334,997","6,475,123","3,279,609","3,279,609",0,"7,200,000","7,200,000","7,200,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Fire,,,,,,,,,,,
Full-Time Positions,"2,667","2,794","2,815","2,787","2,787",0,"3,392","3,392","3,392",0,0
Class 100 Total Oblig./Approp.,"341,171,247","354,132,093","372,902,008","88,739,127","88,739,127",0,"388,463,277","388,463,277","388,686,245","(222,968)","(222,968)"
Class 100 Overtime Oblig./Approp.,"68,452,340","72,511,849","73,644,719","20,165,635","20,609,323","(443,688)","80,662,538","80,662,538","80,662,538",0,0
First Judicial District,,,,,,,,,,,
Full-Time Positions,"1,686","1,685","1,707","1,719","1,719",0,"1,710","1,710","1,710",0,0
Class 100 Total Oblig./Approp.,"101,924,504","102,223,039","104,836,174","25,462,809","25,462,809",0,"118,482,716","118,482,716","122,372,701","(3,889,985)","(3,889,985)"
Class 100 Overtime Oblig./Approp.,"14,688","67,109","70,166","22,175","14,007","8,168","88,700","88,700","88,700",0,0
Fleet Services,,,,,,,,,,,
Full-Time Positions,266,266,269,274,274,0,319,319,319,0,0
Class 100 Total Oblig./Approp.,"18,075,554","19,228,085","20,638,006","4,973,263","4,973,263",0,"21,146,675","21,146,675","21,355,614","(208,939)","(208,939)"
Class 100 Overtime Oblig./Approp.,"1,986,852","3,123,330","3,011,839","778,456","732,714","45,742","3,113,825","3,113,825","3,113,825",0,0
