0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2025 YEAR TO DATE,,,,FY 2025 FULL YEAR,,
Department/Category,FY 22 Year End,FY 23 Year End,FY 24 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Parks and Recreation,,,,,,,,,,,
Full-Time Positions,613,678,680,686,686,0,926,926,926,0,0
Class 100 Total Oblig./Approp.,"51,586,651","56,440,606","61,046,133","18,913,610","18,913,610",0,"64,409,830","64,409,830","65,865,522","(1,455,692)","(1,455,692)"
Class 100 Overtime Oblig./Approp.,"4,101,277","5,408,222","5,165,951","1,148,275","1,995,650","(847,375)","4,593,100","4,593,100","4,593,100",0,0
Planning and Development,,,,,,,,,,,
Full-Time Positions,54,66,78,74,74,0,86,86,86,0,0
Class 100 Total Oblig./Approp.,"4,756,995","5,252,008","6,273,932","1,420,624","1,420,624",0,"6,658,034","6,658,034","6,984,574","(326,540)","(326,540)"
Class 100 Overtime Oblig./Approp.,"22,401","24,704","42,877","1,500","6,461","(4,961)","6,000","6,000","25,000","(19,000)","(19,000)"
Police,,,,,,,,,,,
Full-Time Positions,"6,651","6,351","6,204","6,212","6,212",0,"7,610","7,610","7,610",0,0
Class 100 Total Oblig./Approp.,"727,678,591","761,129,391","760,098,007","172,609,451","172,609,451",0,"841,047,186","841,047,186","842,489,515","(1,442,329)","(1,442,329)"
Class 100 Overtime Oblig./Approp.*,"76,002,003","96,768,961","103,706,378","29,892,750","29,855,522","37,228","119,571,000","119,571,000","119,571,000",0,0*Police OT is abated as reimbursements occur.,The department,projects to stay within,its class 100 total,budget in FY25.,,,,,,,
Prisons,,,,,,,,,,,
Full-Time Positions,"1,393","1,312","1,266","1,339","1,339",0,"2,186","2,186","2,186",0,0
Class 100 Total Oblig./Approp.,"118,473,913","118,891,418","122,621,394","29,764,389","29,764,389",0,"172,652,248","172,652,248","173,394,307","(742,059)","(742,059)"
Class 100 Overtime Oblig./Approp.,"29,907,097","33,336,433","34,393,603","8,922,205","8,277,095","645,110","35,688,819","35,688,819","35,688,819",0,0
Procurement,,,,,,,,,,,
Full-Time Positions,35,36,36,34,34,0,53,53,53,0,0
Class 100 Total Oblig./Approp.,"2,665,060","2,585,104","3,005,029","698,003","698,003",0,"3,158,682","3,158,682","3,313,339","(154,657)","(154,657)"
Class 100 Overtime Oblig./Approp.,"1,962","1,738","7,017","1,000","11,652","(10,652)","4,000","4,000","49,000","(45,000)","(45,000)"
Public Health,,,,,,,,,,,
Full-Time Positions,689,690,730,755,755,0,871,871,871,0,0
Class 100 Total Oblig./Approp.,"60,210,880","60,916,653","66,270,446","15,141,419","15,141,419",0,"69,433,197","69,433,197","71,481,798","(2,048,601)","(2,048,601)"
Class 100 Overtime Oblig./Approp.,"2,434,412","2,703,650","3,083,707","678,085","658,276","19,809","2,712,339","2,712,339","2,712,339",0,0
Public Property,,,,,,,,,,,
Full-Time Positions,133,119,125,101,101,0,158,158,158,0,0
Class 100 Total Oblig./Approp.,"10,124,679","10,279,133","11,736,108","1,910,012","1,910,012",0,"9,499,821","9,499,821","9,694,192","(194,371)","(194,371)"
Class 100 Overtime Oblig./Approp.,"228,450","602,379","1,354,761","236,118","295,311","(59,193)","944,470","944,470","1,144,470","(200,000)","(200,000)"
