0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2025 YEAR TO DATE,,,,FY 2025 FULL YEAR,,
Department/Category,FY 22 Year End,FY 23 Year End,FY 24 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Free Library,,,,,,,,,,,
Full-Time Positions,618,764,814,853,853,0,"1,009","1,009","1,009",0,0
Class 100 Total Oblig./Approp.,"37,737,788","39,779,422","48,059,505","25,000,037","25,000,037",0,"59,340,820","60,911,619","62,257,540","(2,916,720)","(1,345,921)"
Class 100 Overtime Oblig./Approp.,"587,443","1,128,594","1,485,124","1,302,500","1,088,890","213,610","2,605,000","2,605,000","2,605,000",0,0
Human Relations Commission,,,,,,,,,,,
Full-Time Positions,32,30,34,34,34,0,35,35,35,0,0
Class 100 Total Oblig./Approp.,"2,286,733","2,340,114","2,436,529","1,344,582","1,344,582",0,"2,663,744","2,802,307","2,815,027","(151,283)","(12,720)"
Class 100 Overtime Oblig./Approp.,0,0,0,0,"32,626","(32,626)",0,0,0,0,0
Human Services,,,,,,,,,,,
Full-Time Positions,492,535,441,433,433,0,551,551,551,0,0
Class 100 Total Oblig./Approp. *,"28,716,422","32,334,996","36,217,164","6,185,904","6,185,904",0,"38,007,007","39,666,504","39,879,375","(1,872,368)","(212,871)"
Class 100 Overtime Oblig./Approp. *,"4,080,821","5,077,010","6,698,776","1,898,907","1,041,240","857,667","3,797,814","3,797,814","3,797,814",0,0
Labor,,,,,,,,,,,
Full-Time Positions,28,34,36,39,39,0,57,57,57,0,0
Class 100 Total Oblig./Approp.,"2,246,006","2,766,257","3,412,419","1,640,369","1,640,369",0,"4,194,853","4,328,779","4,346,088","(151,235)","(17,309)"
Class 100 Overtime Oblig./Approp.,"8,366","7,980","12,708","10,000","16,367","(6,367)","20,000","20,000","32,000","(12,000)","(12,000)"
Law,,,,,,,,,,,
Full-Time Positions,175,193,223,234,234,0,226,226,226,0,0
Class 100 Total Oblig./Approp.,"13,550,079","15,665,381","18,593,662","10,032,867","10,032,867",0,"19,884,049","20,718,301","21,150,564","(1,266,515)","(432,263)"
Class 100 Overtime Oblig./Approp.,0,70,311,0,426,(426),0,0,500,(500),(500)
Licenses & Inspections,,,,,,,,,,,
Full-Time Positions,346,329,351,378,378,0,441,441,441,0,0
Class 100 Total Oblig./Approp.,"24,295,338","24,116,397","24,906,356","13,761,869","13,761,869",0,"28,420,282","29,290,529","29,791,712","(1,371,430)","(501,183)"
Class 100 Overtime Oblig./Approp.,"1,342,903","1,277,430","1,536,134","755,750","947,054","(191,304)","1,511,500","1,511,500","1,911,500","(400,000)","(400,000)"
L&I-Board of Building Standards,,,,,,,,,,,
Full-Time Positions,1,1,2,1,1,0,1,1,1,0,0
Class 100 Total Oblig./Approp.,"76,786","83,357","86,372","49,573","49,573",0,"86,609","90,074","90,074","(3,465)",0
Class 100 Overtime Oblig./Approp.,167,769,793,0,455,(455),0,0,"1,000","(1,000)","(1,000)"
