0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2025 YEAR TO DATE,,,,FY 2025 FULL YEAR,,
Department/Category,FY 22 Year End,FY 23 Year End,FY 24 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Auditing (City Controller's Office),,,,,,,,,,,
Full-Time Positions,109,110,113,114,114,0,138,138,138,0,0
Class 100 Total Oblig./Approp.,"9,523,506","9,092,764","9,681,606","2,252,564","2,252,564",0,"10,599,672","10,599,672","11,066,139","(466,467)","(466,467)"
Class 100 Overtime Oblig./Approp.,"58,666","60,074","57,999","20,000","4,278","15,722","80,000","80,000","80,000",0,0
Board of Ethics,,,,,,,,,,,
Full-Time Positions,9,10,10,11,11,0,14,14,14,0,0
Class 100 Total Oblig./Approp.,"848,155","932,874","1,019,460","228,364","228,364",0,"1,322,433","1,322,433","1,370,109","(47,676)","(47,676)"
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Board of Revision of Taxes,,,,,,,,,,,
Full-Time Positions,14,15,17,17,17,0,17,17,17,0,0
Class 100 Total Oblig./Approp.,"988,226","1,012,612","1,114,870","234,529","234,529",0,"1,089,023","1,089,023","1,129,980","(40,957)","(40,957)"
Class 100 Overtime Oblig./Approp.,"1,801","1,824",843,0,0,0,0,0,0,0,0
City Commissioners (Election Board),,,,,,,,,,,
Full-Time Positions,134,146,159,184,184,0,200,200,200,0,0
Class 100 Total Oblig./Approp.,"7,768,164","9,116,587","10,059,402","2,564,194","2,564,194",0,"11,733,634","11,733,634","11,877,828","(144,194)","(144,194)"
Class 100 Overtime Oblig./Approp.,"1,230,728","1,649,718","1,650,637","398,650","412,399","(13,749)","1,594,599","1,594,599","1,594,599",0,0
City Council,,,,,,,,,,,
Full-Time Positions,175,164,198,196,196,0,215,215,215,0,0
Class 100 Total Oblig./Approp.,"14,383,873","14,095,159","15,212,889","3,660,768","3,660,768",0,"20,700,583","20,700,583","21,268,492","(567,909)","(567,909)"
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
City Treasurer,,,,,,,,,,,
Full-Time Positions,17,20,19,21,21,0,23,23,23,0,0
Class 100 Total Oblig./Approp.,"1,396,762","1,579,598","1,584,461","372,912","372,912",0,"1,894,025","1,894,025","1,969,304","(75,279)","(75,279)"
Class 100 Overtime Oblig./Approp.,"66,607","57,689","44,107","17,500","5,037","12,463","70,000","70,000","70,000",0,0
Civil Service Commission,,,,,,,,,,,
Full-Time Positions,2,2,2,2,2,0,2,2,2,0,0
Class 100 Total Oblig./Approp.,"141,474","153,540","156,687","32,250","32,250",0,"183,057","183,057","186,501","(3,444)","(3,444)"
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
