0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2024 YEAR TO DATE,,,,FY 2024 FULL YEAR,,
Department /Category,FY 21 Year End,FY 22 Year End,FY 23 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Office of the Inspector General,,,,,,,,,,,
Full-Time Positions,18,16,18,20,20,0,26,26,26,0,0
Class 100 Total Oblig./Approp.,"1,283,300","1,414,649","1,524,854","891,293","891,293",0,"2,238,188","2,213,188","2,213,188","25,000",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Office of Property Assessment,,,,,,,,,,,
Full-Time Positions,190,177,182,176,176,0,226,226,226,0,0
Class 100 Total Oblig./Approp.,"13,393,546","13,638,652","13,454,091","6,529,553","6,529,553",0,"16,021,562","16,021,562","16,021,562",0,0
Class 100 Overtime Oblig./Approp.,"42,002","107,053","164,817","70,000","99,768","(29,768)","140,000","140,000","200,000","(60,000)","(60,000)"
Office of Sustainability,,,,,,,,,,,
Full-Time Positions,8,11,18,21,21,0,23,26,26,(3),0
Class 100 Total Oblig./Approp.,"484,422","842,041","1,148,398","808,069","808,069",0,"1,511,901","1,729,529","1,729,529","(217,628)",0
Class 100 Overtime Oblig./Approp.,0,480,23,0,0,0,0,0,0,0,0
Parks and Recreation,,,,,,,,,,,
Full-Time Positions,644,613,678,671,671,0,945,945,945,0,0
Class 100 Total Oblig./Approp.,"42,876,919","51,586,651","56,440,606","31,702,041","31,702,041",0,"65,706,117","63,862,117","63,862,117","1,844,000",0
Class 100 Overtime Oblig./Approp.,"2,083,704","4,101,277","5,408,222","2,907,825","2,740,452","167,373","5,835,950","5,815,650","5,815,650","20,300",0
Planning and Development,,,,,,,,,,,
Full-Time Positions,55,54,66,64,64,0,83,83,83,0,0
Class 100 Total Oblig./Approp.,"4,510,200","4,756,995","5,252,008","2,900,280","2,900,280",0,"7,031,654","7,031,654","7,031,654",0,0
Class 100 Overtime Oblig./Approp.,"9,507","22,401","24,704","9,500","16,603","(7,103)","6,000","19,000","33,000","(27,000)","(14,000)"
Police,,,,,,,,,,,
Full-Time Positions,"6,869","6,651","6,351","6,282","6,282",0,"7,483","7,483","7,483",0,0
Class 100 Total Oblig./Approp.,"708,324,818","727,678,591","761,129,391","365,941,899","365,941,899",0,"800,086,615","800,086,615","800,086,615",0,0
Class 100 Overtime Oblig./Approp.*,"64,896,010","76,002,003","96,768,961","57,388,531","58,605,788","(1,217,257)","114,777,062","114,777,062","117,777,062","(3,000,000)","(3,000,000)"
Prisons,,,,,,,,,,,
Full-Time Positions,"1,620","1,393","1,312","1,244","1,244",0,"2,186","2,186","2,186",0,0
Class 100 Total Oblig./Approp.,"118,472,913","118,473,913","118,891,418","58,293,170","58,293,170",0,"172,050,282","172,050,282","172,050,282",0,0
Class 100 Overtime Oblig./Approp.,"24,602,298","29,907,097","33,336,433","19,117,500","15,927,285","3,190,215","38,235,000","38,235,000","38,235,000",0,0
Procurement,,,,,,,,,,,
Full-Time Positions,35,35,36,35,35,0,54,54,54,0,0
Class 100 Total Oblig./Approp.,"2,434,690","2,665,060","2,585,104","1,476,869","1,476,869",0,"3,612,226","3,612,226","3,612,226",0,0
Class 100 Overtime Oblig./Approp.,"11,124","1,962","1,738","1,250","1,939",(689),0,"2,500","4,000","(4,000)","(1,500)"
