0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30
General,"1,809.6","1,777.9","1,777.4","1,640.0","1,546.0","1,259.2","1,316.1","1,315.4","1,430.0","1,860.8","1,805.9","1,679.5"
Grants Revenue,905.4,898.9,"1,015.9","1,054.9",780.1,727.7,792.3,899.7,468.8,593.9,540.5,473.4
Community Development,(29.5),(26.1),(11.0),(12.1),(4.4),(5.3),(2.5),(0.3),(0.8),3.3,1.4,0.0
Vehicle Rental Tax,8.5,9.3,3.1,3.7,2.9,3.5,4.1,4.7,5.3,5.9,6.5,7.1
Hospital Assessment Fund,21.3,20.3,45.2,22.0,20.3,53.0,20.2,19.9,25.8,21.7,50.6,24.7
Housing Trust Fund,86.8,113.9,114.5,114.6,99.0,96.9,94.8,92.7,90.6,88.5,86.4,84.3
Transportation Fund,6.6,12.1,16.5,20.8,4.8,1.0,0.4,(1.1),(3.1),(1.6),2.6,3.0
Budget Stabilization Fund,65.1,65.1,107.4,107.4,107.4,"107,4",107.4,107.4,107.4,107.4,107.4,107.4
Other Funds,"14,7",14.5,15.3,14.8,14.6,"14,4",14.2,14.0,13.8,13.6,13.4,13.2
TOTAL OPERATING FUNDS,"2,888.5","2,886.1","3,084.4","2,966.1","2,570.7","2,257.9","2,346.9","2,452.3","2,137.8","2,693.4","2,614.5","2,392.5"
Capital Improvement,423.9,353.1,342.4,331.3,316.3,301.3,286.3,271.3,256.3,241.3,226.3,211.3
Industrial & Commercial Dev.,10.6,"10,6",10.7,10.7,10.7,10.7,10.8,10.8,10.8,10.9,10.9,10.9
TOTAL CAPITAL FUNDS,434.5,363.7,353.0,342.0,327.0,312.0,297.1,282.1,267.1,252.1,237.2,222.2
TOTAL FUND EQUITY,"3,323.0","3,249.8","3,437.4","3,308.0","2,897.7","2,569.9","2,644.0","2,734.4","2,404.9","2,945.5","2,851.7","2,614.7"
