0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30
General,"1,809.6","1,777.9","1,777.4","1,640.0","1,626.8","1,536.6","1,948.4","1,731.5","1,421.3","2,056.7","2,044.2","2,007.8"
Grants Revenue,905.4,898.9,"1,015.9","1,054.9",946.2,948.1,547.2,464.1,430.3,432.2,"437,3",363.9
Community Development,(29.5),(26.1),(11.0),(12.1),(3.0),(4.4),(4.3),(8.9),(17.6),(4.6),(0.4),"0,0"
Vehicle Rental Tax,8.5,9.3,3.1,3.7,4.4,5.0,5.5,5.9,6.4,7.0,7.6,8.4
Hospital Assessment Fund,21.3,20.3,45.2,22.0,21.5,41.8,18.4,17.7,42.2,19.0,20.7,24.7
Housing Trust Fund,86.8,113.9,114.5,114.6,116.0,116.1,116.6,111.0,109.8,109.4,106.5,104.8
Transportation Fund,6.6,12.1,16.5,20.8,15.1,13.1,20.2,24.0,28.5,36.1,34.1,45.1
Budget Stabilization Fund,65.1,65.1,107.4,"107,4","107,4",107.4,"107,4",107.4,107.4,107.4,107.4,107.4
Other Funds,17.5,17.4,17.2,17.2,17.1,17.2,17.6,17.4,16.0,16.1,17.1,15.7
TOTAL OPERATING FUNDS,"2,891.4","2,888.9","3,086.2","2,968.5","2,851.6","2,780.9","2,776.9","2,470.0","2,144.2","2,779.2","2,774.5","2,677.8"
Capital Improvement,423.9,353.1,342.4,331.3,298.7,295.0,294.9,278.1,"264,4",240.9,230.4,309.2
Industrial & Commercial Dev.,10.6,10.6,10.7,10.7,10.8,10.8,10.9,10.9,10.9,10.9,11.0,11.1
TOTAL CAPITAL FUNDS,434.5,363.7,353.0,342.0,"309,4",305.9,305.8,289.0,275.3,251.8,241.4,320.3
TOTAL FUND EQUITY,"3,325.8","3,252.6","3,439.2","3,310.5","3,161.0","3,086.7","3,082.7","2,758.9","2,419.6","3,031.0","3,015.9","2,998.1"
