0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Accrued,Not Accrued,Estimated Revenues
REVENUES,,,,,,,,,,,,,,,,
Real Estate Tax,9.8,2.6,7.3,10.3,6.8,36.8,48.3,68.3,239.5,376.9,8.3,10.6,825.7,,,825.7
"Total Wage, Earnings, Net Profits",166.3,130.8,131.8,180.8,139.4,145.6,202.0,131.3,154.1,211.6,154.2,144.1,"1,891.9",,,1891.9
Realty Transfer Tax,29.7,23.8,23.8,20.7,18.5,16.2,23.0,18.4,20.0,"22,4",22.7,22.7,261.8,,,261.8
Sales Tax,32.8,39.9,16.1,0.0,34.5,16.1,15.6,20.6,21.3,32.4,35.5,44.6,309.5,2.8,,312.3
Business Income & Receipts Tax,23.5,6.4,30.3,34.9,(8.6),22.8,18.6,9.2,46.2,392.6,"47,4",0.0,623.1,,,623.1
Beverage Tax,6.3,5.9,6.3,5.9,5.4,5.7,6.8,5.1,5.3,5.9,6.3,6.7,71.5,0.8,,72.3
Other Taxes,(3.7),10.8,8.5,4.4,4.5,3.7,1.8,1.6,2.6,"2,0",5.3,4.2,45.6,,,45.6
Locally Generated Non-tax,43.1,39.8,45.6,25.4,37.2,35.1,17.9,41.5,33.4,46.4,22.9,19.3,407.6,(31.3),,376.4
"Total Other Governments, Excluding PICA Tax",1.3,72.6,100.4,29.4,66.8,6.9,19.6,15.7,0.8,14.2,26.3,12.2,366.2,1.0,,367.2
Total PICA Other Governments,50.2,56.0,53.4,54.5,48.1,51.5,67.2,49.6,51.1,98.1,"74,9",48.8,703.3,0.0,,703.3
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,390.8,0.0,"0,0","0,0",0.0,25.9,416.7,,40.1,456.8
Total Current Revenue,359.5,388.5,423.4,366.3,352.5,340.4,811.5,361.3,574.1,"1,202.5",403.8,339.1,"5,922.9",(26.7),40.1,5936.3
Collection of prior year(s) revenue,22.2,0.0,0.0,(32.0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(9.8),,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,381.7,388.5,423.4,334.3,352.5,340.4,811.5,361.3,574.1,"1,202.5",403.8,339.1,"5,913.1",,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,,,
Payroll,107.5,159.6,164.8,150.9,160.7,210.5,143.5,160.7,172.0,150.9,252.5,192.8,"2,026.6",146.1,4.4,2177.1
Employee Benefits,73.0,46.4,49.1,64.3,54.7,68.6,55.0,56.6,58.8,70.4,91.0,68.6,756.3,36.0,0.5,792.8
Pension,0.8,(4.9),11.2,89.3,(11.2),(3.7),(5.3),(5.2),678.3,(5.1),(0.5),(4.6),739.1,93.5,,832.7
Purchase of Services,35.9,91.3,67.4,104.9,100.9,103.3,77.6,115.2,100.5,107.3,134.6,121.5,"1,160.5",37.7,220.7,1418.9
"Materials, Equipment",2.7,6.4,6.7,7.9,5.0,5.9,6.6,8.2,7.5,6.1,15.2,15.7,93.9,3.0,114.2,211.2
"Contributions, Indemnities",21.2,9.7,77.1,18.5,22.5,19.6,79.1,17.2,84.0,4.3,21.7,103.9,478.7,,,478.7
Debt Service-Short Term,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,1.8,2.2,,,2.2
Debt Service-Long Term,125.7,0.0,0.0,6.3,0.0,2.6,38.7,0.0,0.0,15.4,0.2,10.5,199.4,,,199.4
Interfund Charges,0.4,30.6,42.3,0.0,"0,0",5.9,10.0,10.5,0.0,2.7,"0,0",95.5,197.8,41.4,,239.2
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,"0,0","32,6","32,6",65.2,,,"65,2"
Current Year Appropriation,367.4,339.1,418.6,442.1,"332,6",412.8,405.3,363.3,"1,101.1","351,9","547,3",638.5,"5,719.8",357.8,339.8,6417.4
Prior Yr. Expenditures against Encumbrances,45.2,58.3,22.1,22.1,"15,6",9.9,17.4,5.9,7.4,7.3,4.7,5.2,221.2,,,
Prior Yr. Salaries & Vouchers Payable,(38.3),22.8,(16.8),7.5,17.5,7.9,(23.0),209.0,(224.1),207.9,0.0,2.3,172.7,,,
TOTAL DISBURSEMENTS,374.4,420.2,423.8,471.8,365.6,430.6,399.7,578.2,884.3,567.1,552.0,645.9,"6,113.6",,,
Excess (Def) of Receipts over Disbursements,7.3,(31.7),(0.5),(137.5),(13.1),(90.2),411.8,(216.9),(310.2),635.4,(148.2),(306.8),,,,
Opening Balance,"1,802.2","1,809.6","1,777.9","1,777.4","1,640.0","1,626.8","1,536.6","1,948.4","1,731.5","1,421.3","2,056.7","1,908.5",,,,
TRAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
CLOSING BALANCE,"1,809.6","1,777.9","1,777.4","1,640.0","1,626.8","1,536.6","1,948.4","1,731.5","1,421.3","2,056.7","1,908.5","1,601.7",,,,
