0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30
General,"1,809.6","1,777.9","1,777.4","1,640.0","1,626.8","1,536.6","1,948.4","1,880.3","1,518.2","1,931.5","1,853.2","1,616.6"
Grants Revenue,905.4,898.9,"1,015.9","1,054.9",946.2,948.1,547.2,508.9,468.8,593.9,540.5,473.4
Community Development,(29.5),(26.1),(11.0),(12.1),(3.0),(4.4),(4.3),(0.3),(0.8),3.3,1.4,"0,0"
Vehicle Rental Tax,8.5,9.3,3.1,3.7,4.4,5.0,5.5,4.7,5.3,5.9,6.5,7.1
Hospital Assessment Fund,21.3,20.3,45.2,22.0,21.5,41.8,18.4,19.9,25.8,21.7,50.6,24.7
Housing Trust Fund,86.8,113.9,114.5,114.6,116.0,116.1,116.6,114.5,112.4,110.3,108.2,106.1
Transportation Fund,6.6,12.1,16.5,20.8,15.1,13.1,20.2,18.2,16.2,14.2,12.2,6.2
Budget Stabilization Fund,65.1,65.1,107.4,107.4,107.4,107.4,107.4,107.4,107.4,107.4,107.4,107.4
Other Funds,17.5,17.4,17.2,17.2,17.1,17.2,17.6,17.4,17.2,17.0,16.8,16.6
TOTAL OPERATING FUNDS,"2,891.4","2,888.9","3,086.2","2,968.5","2,851.6","2,780.9","2,776.9","2,670.9","2,270.5","2,805.1","2,696.7","2,358.0"
Capital Improvement,423.9,353.1,342.4,331.3,298.7,295.0,294.9,279.9,278.6,263.6,248.6,328.6
Industrial & Commercial Dev.,10.6,10.6,10.7,10.7,10.8,10.8,10.9,10.9,10.9,11.0,11.0,11.0
TOTAL CAPITAL FUNDS,434.5,363.7,353.0,342.0,"309,4",305.9,305.8,290.8,289.5,274.6,259.6,339.6
TOTAL FUND EQUITY,"3,325.8","3,252.6","3,439.2","3,310.5","3,161.0","3,086.7","3,082.7","2,961.7","2,560.0","3,079.7","2,956.3","2,697.6"
