0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Not Accrued,Estimated Revenues
REVENUES,,,,,,,,,,,,,,,,
Real Estate Tax,11.1,10.5,7.8,8.1,8.1,34.8,37.8,92.5,541.7,142.1,18.7,11.6,925.0,,,925.0
"Total Wage, Earnings, Net Profits",179.0,131.8,146.3,193.4,152.5,142.3,208.1,148.9,170.3,199.8,155.8,141.2,"1,969.6",,,1969.6
Realty Transfer Tax,28.2,25.9,39.7,"24,7","21,8",22.1,23.0,17.3,24.5,"23,5",24.8,23.2,298.8,,,298.8
Sales Tax,34.6,37.9,15.6,17.3,19.5,17.6,16.2,21.4,"24,8",36.1,36.9,36.9,314.7,1.8,,316.5
Business Income & Receipts Tax,14.5,9.4,44.6,34.5,4.7,24.9,27.5,6.3,62.4,296.0,69.0,23.0,616.7,,,616.7
Beverage Tax,6.5,5.8,5.6,5.9,5.6,5.7,5.8,5.3,5.6,6.2,6.1,6.3,70.4,,,70.4
Other Taxes,4.2,4.5,9.8,3.4,4.2,4.1,4.3,4.1,3.9,4.4,3.5,1.8,52.1,,,52.1
Locally Generated Non-tax,41.8,37.5,40.8,26.1,32.0,27.9,32.0,26.4,31.3,26.0,"34,7",27.8,"384,2",,,384.2
"Total Other Governments, Excluding PICA Tax",5.9,7.0,175.4,87.8,21.5,6.3,19.2,13.1,0.5,16.6,23.8,28.6,405.6,2.9,,408.5
Total PICA Other Governments,57.2,48.6,72.2,53.8,48.1,51.5,67.2,49.6,51.1,98.1,78.6,"58,3",734.2,(1.7),,732.5
Interfund Transfers,419.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,445.3,,35.9,481.2
Total Current Revenue,802.4,319.1,557.9,454.9,318.0,337.1,441.1,384.9,916.1,848.8,451.8,384.6,"6,216.6",3.0,35.9,6255.5
Collection of prior year(s) revenue,0.1,13.3,0.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,802.5,332.3,557.9,484.4,318.0,337.1,441.1,384.9,916.1,848.8,451.8,384.6,"6,259.5",,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,,,
Payroll,128.5,181.8,164.0,"162,9","251,6",175.8,192.4,"174,9",175.8,175.8,251.6,181.3,"2,216.3",85.1,4.4,2305.8
Employee Benefits,87.3,57.5,62.4,62.8,93.1,64.7,70.9,64.4,64.7,64.7,93.9,66.8,853.1,54.5,0.5,908.1
Pension,0.1,(5.5),9.4,97.5,(11.2),(3.7),(5.3),(5.2),617.8,(4.6),(4.4),(13.6),671.4,98.5,,769.9
Purchase of Services,25.1,53.7,104.2,117.8,94.1,104.2,106.0,104.4,147.7,135.3,149.0,108.3,"1,249.9",39.0,197.0,1485.9
"Materials, Equipment",4.0,7.7,4.8,10.6,9.2,10.1,16.9,15.7,17.9,20.6,19.8,20.1,157.4,3.0,29.2,189.6
"Contributions, Indemnities",9.8,93.1,29.8,3.7,20.1,77.8,9.5,37.6,84.1,18.0,14.2,85.0,482.7,,,482.7
Debt Service-Short Term,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.3,,,3.3
Debt Service-Long Term,127.3,0.0,0.0,6.1,6.4,4.1,2.8,37.2,4.1,0.3,15.9,27.1,231.4,,,231.4
Interfund Charges,0.4,0.0,90.6,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.9,112.9,36.9,,149.8
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,0.0,0.0,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.4,65.9,,,65.9
Current Year Appropriation,"382,6",388.3,465.1,461.6,471.4,441.2,401.4,457.3,"1,120.4",418.3,548.2,488.4,"6,044.3",317.0,231.0,6592.4
Prior Yr. Expenditures against Encumbrances,78.6,59.0,46.2,30.2,15.8,12.6,15.8,18.2,14.7,7.9,5.4,6.0,310.6,,,
Prior Yr. Salaries & Vouchers Payable,97.7,34.3,(38.3),173.0,"0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.7,,,
TOTAL DISBURSEMENTS,558.8,481.6,473.1,664.8,"487,3",453.9,417.2,475.6,"1,135.1",426.2,553.6,494.4,"6,621.6",,,
Excess (Def) of Receipts over Disbursements,243.7,(149.3),84.8,(180.4),(169.2),(116.8),23.9,(90.7),(219.0),422.6,(101.8),(109.9),,,,
Opening Balance,"2,007.8","2,251.5","2,102.2","2,187.1","2,006.7","1,837.5","1,720.7","1,744.5","1,653.9","1,434.9","1,857.4","1,755.6",,,,
TRAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
CLOSING BALANCE,"2,251.5","2,102.2","2,187.1","2,006.7","1,837.5","1,720.7","1,744.5","1,653.9","1,434.9","1,857.4","1,755.6","1,645.7",,,,
