dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Auditing (City Controller's Office),General,105,0,2025,Actual,YTD,2024-09-30,105,City Controller's Office,61,
Aviation (1),General,0,0,2025,Actual,YTD,2024-09-30,0,Division of Aviation,43,Aviation
Board of Ethics,General,10,0,2025,Actual,YTD,2024-09-30,10,Board of Ethics,45,
Board of Pensions,General,0,0,2025,Actual,YTD,2024-09-30,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,15,0,2025,Actual,YTD,2024-09-30,15,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,142,0,2025,Actual,YTD,2024-09-30,142,City Commissioner's Office,73,City Commissioners
City Council,General,172,0,2025,Actual,YTD,2024-09-30,172,City Council,01,
City Treasurer,General,19,0,2025,Actual,YTD,2024-09-30,19,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2025,Actual,YTD,2024-09-30,2,Civil Service Commission,55,
Commerce,General,56,0,2025,Actual,YTD,2024-09-30,56,Office of the Director of Commerce,42,Commerce
Finance,General,126,0,2025,Actual,YTD,2024-09-30,126,Office of the Director of Finance,35,Finance
First Judicial District,General,1695,0,2025,Actual,YTD,2024-09-30,1695,First Judicial District,84,FJD
Fleet Services,General,272,0,2025,Actual,YTD,2024-09-30,272,Office of Fleet Management,25,Fleet
Free Library,General,775,0,2025,Actual,YTD,2024-09-30,775,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,General,31,0,2025,Actual,YTD,2024-09-30,31,Commission on Human Relations,54,Human Relations
Human Services (2),General,433,0,2025,Actual,YTD,2024-09-30,433,Department of Human Services,22,DHS
Labor,General,37,0,2025,Actual,YTD,2024-09-30,37,Labor,03,
Law,General,203,0,2025,Actual,YTD,2024-09-30,203,Law Department,44,Law
Licenses & Inspections,General,328,0,2025,Actual,YTD,2024-09-30,328,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,1,0,2025,Actual,YTD,2024-09-30,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,General,2,0,2025,Actual,YTD,2024-09-30,2,L&I: Board of Review,27,
Managing Director's Office,General,407,0,2025,Actual,YTD,2024-09-30,407,Managing Director's Office,10,MDO
Mayor's Office,General,39,0,2025,Actual,YTD,2024-09-30,39,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,General,18,0,2025,Actual,YTD,2024-09-30,18,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,General,7,0,2025,Actual,YTD,2024-09-30,7,Mural Arts Program,50,Mural Arts
Office of Behavioral HIth & Intellectual disAbility,General,44,0,2025,Actual,YTD,2024-09-30,44,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,General,66,0,2025,Actual,YTD,2024-09-30,66,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,General,4,0,2025,Actual,YTD,2024-09-30,4,Office of Children and Families,66,OCF
Office of Homeless Services,General,119,0,2025,Actual,YTD,2024-09-30,119,Office of Homeless Services,24,OHS
Office of Human Resources,General,86,0,2025,Actual,YTD,2024-09-30,86,Office of Human Resources,56,OHR
Office of Innovation and Technology,General,356,0,2025,Actual,YTD,2024-09-30,356,Office of Innovation and Technology,04,OIT
Office of the Inspector General,General,22,0,2025,Actual,YTD,2024-09-30,22,Office of the Inspector General,48,OIG
Office of Property Assessment,General,179,0,2025,Actual,YTD,2024-09-30,179,Office of Property Assessment,59,OPA
Office of Sustainability,General,19,0,2025,Actual,YTD,2024-09-30,19,Office of Sustainability,49,Sustainability
Parks and Recreation,General,679,0,2025,Actual,YTD,2024-09-30,679,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,General,64,0,2025,Actual,YTD,2024-09-30,64,Department of Planning and Development,72,Planning & Development
Prisons,General,1277,0,2025,Actual,YTD,2024-09-30,1277,Philadelphia Prison System,23,Prisons
Procurement,General,37,0,2025,Actual,YTD,2024-09-30,37,Procurement Department,38,Procurement
Public Health,General,695,0,2025,Actual,YTD,2024-09-30,695,Department of Public Health,14,Public Health
Public Property,General,141,0,2025,Actual,YTD,2024-09-30,141,Department of Public Property,20,Public Property
Records,General,53,0,2025,Actual,YTD,2024-09-30,53,Department of Records,31,Records
Register of Wills,General,67,0,2025,Actual,YTD,2024-09-30,67,Register of Wills,68,
Revenue,General,315,0,2025,Actual,YTD,2024-09-30,315,Department of Revenue,36,Revenue
Sheriff,General,321,0,2025,Actual,YTD,2024-09-30,321,Office of the Sheriff,70,Sheriff
Streets,General,1446,0,2025,Actual,YTD,2024-09-30,1446,Streets Department,12,Streets
Water,General,0,0,2025,Actual,YTD,2024-09-30,0,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",General,0,0,2025,Actual,YTD,2024-09-30,0,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Other,0,0,2025,Actual,YTD,2024-09-30,0,City Controller's Office,61,
Aviation (1),Other,639,0,2025,Actual,YTD,2024-09-30,639,Division of Aviation,43,Aviation
Board of Ethics,Other,0,0,2025,Actual,YTD,2024-09-30,0,Board of Ethics,45,
Board of Pensions,Other,58,0,2025,Actual,YTD,2024-09-30,58,Board of Pensions,53,Pensions
Board of Revision of Taxes,Other,0,0,2025,Actual,YTD,2024-09-30,0,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Other,0,0,2025,Actual,YTD,2024-09-30,0,City Commissioner's Office,73,City Commissioners
City Council,Other,0,0,2025,Actual,YTD,2024-09-30,0,City Council,01,
City Treasurer,Other,0,0,2025,Actual,YTD,2024-09-30,0,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Other,0,0,2025,Actual,YTD,2024-09-30,0,Civil Service Commission,55,
Commerce,Other,21,0,2025,Actual,YTD,2024-09-30,21,Office of the Director of Commerce,42,Commerce
Finance,Other,0,0,2025,Actual,YTD,2024-09-30,0,Office of the Director of Finance,35,Finance
First Judicial District,Other,391,0,2025,Actual,YTD,2024-09-30,391,First Judicial District,84,FJD
Fleet Services,Other,59,0,2025,Actual,YTD,2024-09-30,59,Office of Fleet Management,25,Fleet
Free Library,Other,7,0,2025,Actual,YTD,2024-09-30,7,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,Other,0,0,2025,Actual,YTD,2024-09-30,0,Commission on Human Relations,54,Human Relations
Human Services (2),Other,1004,0,2025,Actual,YTD,2024-09-30,1004,Department of Human Services,22,DHS
Labor,Other,0,0,2025,Actual,YTD,2024-09-30,0,Labor,03,
