0,1,2,3,4,5,6
Department / Agency,Fiscal Year 2024 Actual Obligations,Fiscal Year 2025 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2025 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2026 Adopted Budget
Prisons,,,,,,
Personal Services,"122,621,394","172,652,248","(358,249)","172,293,999","7,108,434","179,402,433"
Purchase of Services,"120,093,740","119,840,329","8,250,000","128,090,329","(5,528,583)","122,561,746"
"Materials, Supplies & Equip.","4,803,238","6,768,447","(1,200,000)","5,568,447","1,011,561","6,580,008"
"Contrib., Indemnities & Taxes","5,628,785","1,701,757",0,"1,701,757",0,"1,701,757"
Total,"253,147,157","300,962,781","6,691,751","307,654,532","2,591,412","310,245,944"
Procurement,,,,,,
Personal Services,"3,005,029","3,158,682","165,794","3,324,476","(30,703)","3,293,773"
Purchase of Services,"3,161,378","3,563,948",0,"3,563,948",0,"3,563,948"
"Materials, Supplies & Equip.","4,573","46,868",0,"46,868",0,"46,868"
Total,"6,170,980","6,769,498","165,794","6,935,292","(30,703)","6,904,589"
Public Health,,,,,,
Personal Services,"66,270,446","69,433,197","3,040,744","72,473,941","(31,017)","72,442,924"
Purchase of Services,"70,868,260","73,145,734",0,"73,145,734","(2,428,660)","70,717,074"
"Materials, Supplies & Equip.","5,872,632","8,324,326","335,000","8,659,326","(335,000)","8,324,326"
"Contrib., Indemnities & Taxes","3,162,553",0,0,0,0,0
Payments to Other Funds,"5,935,404","923,404",0,"923,404","9,981,276","10,904,680"
Total,"152,109,295","151,826,661","3,375,744","155,202,405","7,186,599","162,389,004"
Public Property,,,,,,
Personal Services,"11,736,108","9,499,821","423,154","9,922,975","42,835","9,965,810"
Purchase of Services,"50,037,623","48,969,748",0,"48,969,748","1,428,619","50,398,367"
"Materials, Supplies & Equip.","1,824,296","1,354,966","2,750,000","4,104,966","(2,250,000)","1,854,966"
"Contrib., Indemnities & Taxes","1,093,391",0,0,0,0,0
Payments to Other Funds,"33,373,310","28,239,244","3,200,663","31,439,907","8,575,128","40,015,035"
Total,"98,064,728","88,063,779","6,373,817","94,437,596","7,796,582","102,234,178"
Public Property-SEPTA Subsidy,,,,,,
Purchase of Services,"109,567,000","133,291,440",0,"133,291,440","1,697,560","134,989,000"
Total,"109,567,000","133,291,440",0,"133,291,440","1,697,560","134,989,000"
Public Property-Space Rentals,,,,,,
Purchase of Services,"37,309,097","40,038,929",0,"40,038,929","17,697,391","57,736,320"
Total,"37,309,097","40,038,929",0,"40,038,929","17,697,391","57,736,320"
Public Property-Utilities,,,,,,
Purchase of Services,"28,534,487","26,276,250",0,"26,276,250","7,301,753","33,578,003"
Total,"28,534,487","26,276,250",0,"26,276,250","7,301,753","33,578,003"
Records,,,,,,
Personal Services,"3,334,130","3,623,071","186,316","3,809,387","(15,694)","3,793,693"
Purchase of Services,"736,883","829,122","(80,000)","749,122","60,000","809,122"
"Materials, Supplies & Equip.","297,399","143,758",0,"143,758",0,"143,758"
Total,"4,368,412","4,595,951","106,316","4,702,267","44,306","4,746,573"
Register of Wills,,,,,,
Personal Services,"4,353,222","5,200,243","192,044","5,392,287","1,252","5,393,539"
Purchase of Services,"420,549","421,959",0,"421,959","250,000","671,959"
"Materials, Supplies & Equip.","146,488","152,596",0,"152,596",0,"152,596"
"Contrib., Indemnities & Taxes","125,000",0,0,0,0,0
Total,"5,045,259","5,774,798","192,044","5,966,842","251,252","6,218,094"
Revenue,,,,,,
Personal Services,"20,884,903","23,701,664","1,176,664","24,878,328","(1,198,483)","23,679,845"
Purchase of Services,"3,885,769","5,946,686",0,"5,946,686","(882,037)","5,064,649"
"Materials, Supplies & Equip.","944,391","2,349,045",0,"2,349,045","(280,000)","2,069,045"
"Contrib., Indemnities & Taxes","20,802",0,0,0,0,0
Total,"25,735,865","31,997,395","1,176,664","33,174,059","(2,360,520)","30,813,539"
Sanitation-Disposal,,,,,,
Purchase of Services,"55,899,306","59,589,127",0,"59,589,127","3,649,037","63,238,164"
Total,"55,899,306","59,589,127",0,"59,589,127","3,649,037","63,238,164"
