0,1,2,3,4,5,6
Department / Agency,Fiscal Year 2024 Actual Obligations,Fiscal Year 2025 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2025 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2026 Adopted Budget
Mural Arts Program,,,,,,
Personal Services,"452,766","629,179","24,066","653,245",0,"653,245"
Purchase of Services,"3,054,141","3,054,141","500,000","3,554,141","900,000","4,454,141"
Total,"3,506,907","3,683,320","524,066","4,207,386","900,000","5,107,386"
Office of Behavioral Health and,,,,,,
Intellectual disAbility,,,,,,
Personal Services,"4,370,664","3,661,271","204,093","3,865,364","69,339","3,934,703"
Purchase of Services,"25,259,177","25,233,432",0,"25,233,432","2,161,973","27,395,405"
"Materials, Supplies & Equip.","94,345","104,000",0,"104,000","100,000","204,000"
Total,"29,724,186","28,998,703","204,093","29,202,796","2,331,312","31,534,108"
Office of the Chief Administrative Officer,,,,,,
Personal Services,"5,519,901","7,924,104","242,108","8,166,212","541,657","8,707,869"
Purchase of Services,"8,709,434","12,240,698","(500,000)","11,740,698","(8,656,053)","3,084,645"
"Materials, Supplies & Equip.","317,140","60,720",0,"60,720","81,166","141,886"
Total,"14,546,475","20,225,522","(257,892)","19,967,630","(8,033,230)","11,934,400"
Office of Arts and Culture and,,,,,,
the Creative Economy,,,,,,
Personal Services,0,"714,833",0,"714,833","205,000","919,833"
Purchase of Services,0,"130,768",0,"130,768","270,000","400,768"
"Materials, Supplies & Equip.",0,0,0,0,"10,000","10,000"
"Contrib., Indemnities & Taxes",0,"9,980,000",0,"9,980,000","(1,580,000)","8,400,000"
Total,0,"10,825,601",0,"10,825,601","(1,095,000)","9,730,601"
Office of Community,,,,,,
Empowerment and Opportunity,,,,,,
Personal Services,"827,609","3,511,054","39,313","3,550,367","(1,890,920)","1,659,447"
Purchase of Services,"1,829,564","1,886,857","115,524","2,002,381","1,445,976","3,448,357"
"Materials, Supplies & Equip.","8,869","515,998","(115,524)","400,474","(384,476)","15,998"
"Contrib., Indemnities & Taxes",752,0,0,0,0,0
Total,"2,666,794","5,913,909","39,313","5,953,222","(829,420)","5,123,802"
Office of Education,,,,,,
Personal Services,"481,098","949,098","21,768","970,866","3,431,238","4,402,104"
Purchase of Services,0,0,0,0,"4,673,399","4,673,399"
"Materials, Supplies & Equip.",0,0,0,0,"134,937","134,937"
Total,"481,098","949,098","21,768","970,866","8,239,574","9,210,440"
Office of Homeless Services,,,,,,
Personal Services,"9,669,719","10,635,985","529,489","11,165,474","250,011","11,415,485"
Purchase of Services,"72,101,011","77,701,846",0,"77,701,846","(5,305,841)","72,396,005"
"Materials, Supplies & Equip.","279,831","344,127",0,"344,127",0,"344,127"
"Contrib., Indemnities & Taxes","12,292","32,421",0,"32,421",0,"32,421"
Total,"82,062,853","88,714,379","529,489","89,243,868","(5,055,830)","84,188,038"
Office of Human Resources,,,,,,
Personal Services,"6,325,180","6,730,282","314,804","7,045,086","483,214","7,528,300"
Purchase of Services,"7,669,273","3,572,871","350,000","3,922,871","6,835,000","10,757,871"
"Materials, Supplies & Equip.","38,605","72,903",0,"72,903",0,"72,903"
Total,"14,033,058","10,376,056","664,804","11,040,860","7,318,214","18,359,074"
Office of Innovation and Technology,,,,,,
Personal Services,"31,154,241","31,895,120","1,524,149","33,419,269","688,456","34,107,725"
Purchase of Services,"55,162,202","65,947,989",0,"65,947,989","7,252,966","73,200,955"
"Materials, Supplies & Equip.","5,569,892","9,779,123","3,399,733","13,178,856","(2,045,254)","11,133,602"
"Contrib., Indemnities & Taxes","2,721",0,0,0,0,0
Payments to Other Funds,0,0,"606,451","606,451","(606,451)",0
Total,"91,889,056","107,622,232","5,530,333","113,152,565","5,289,717","118,442,282"
