0,1,2,3,4,5,6
Department / Agency,Fiscal Year 2024 Actual Obligations,Fiscal Year 2025 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2025 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2026 Adopted Budget
Licenses & Inspection,,,,,,
Personal Services,"24,906,356","28,420,282","1,371,430","29,791,712","969,695","30,761,407"
Purchase of Services,"16,430,673","13,996,444",0,"13,996,444","192,000","14,188,444"
"Materials, Supplies & Equip.","720,369","809,475",0,"809,475","232,000","1,041,475"
"Contrib., Indemnities & Taxes","622,423",0,0,0,0,0
Total,"42,679,821","43,226,201","1,371,430","44,597,631","1,393,695","45,991,326"
L&I-Board of Building Standards,,,,,,
Personal Services,"86,372","86,609","3,465","90,074",0,"90,074"
Total,"86,372","86,609","3,465","90,074",0,"90,074"
L&I-Board of L&I Review,,,,,,
Personal Services,"170,691","172,107","6,471","178,578","(1,645)","176,933"
Purchase of Services,"10,436","10,436",0,"10,436",0,"10,436"
Total,"181,127","182,543","6,471","189,014","(1,645)","187,369"
Managing Director (4),,,,,,
Personal Services,"35,645,449","42,089,856","1,449,232","43,539,088","(7,030,926)","36,508,162"
Purchase of Services,"142,054,212","127,810,327","36,970,000","164,780,327","(100,423,220)","64,357,107"
"Materials, Supplies & Equip.","5,218,986","7,306,014",0,"7,306,014","(1,822,282)","5,483,732"
"Contrib., Indemnities & Taxes","4,323,101",0,0,0,0,0
Payments to Other Funds,"617,362","350,000","20,950,000","21,300,000","(20,950,000)","350,000"
Total,"187,859,110","177,556,197","59,369,232","236,925,429","(130,226,428)","106,699,001"
Managing Director-Defenders Association,,,,,,
Purchase of Services,"54,283,600","65,997,780","500,000","66,497,780","2,550,000","69,047,780"
Total,"54,283,600","65,997,780","500,000","66,497,780","2,550,000","69,047,780"
Managing Director-Citizens Police Oversight Commission (5),,,,,,
Personal Services,"1,080,870","2,203,640","82,390","2,286,030","(2,286,030)",0
Purchase of Services,"118,775","808,002",0,"808,002","(808,002)",0
"Materials, Supplies & Equip.","191,188","12,000",0,"12,000","(12,000)",0
Total,"1,390,833","3,023,642","82,390","3,106,032","(3,106,032)",0
Managing Director-Clean & Green (6),,,,,,
Personal Services,0,"1,055,000",0,"1,055,000","(1,055,000)",0
Total,0,"1,055,000",0,"1,055,000","(1,055,000)",0
Managing Director-Public Safety (7),,,,,,
Personal Services,0,"2,203,158",0,"2,203,158","(2,203,158)",0
Purchase of Services,0,"11,180,943","740,000","11,920,943","(11,920,943)",0
Total,0,"13,384,101","740,000","14,124,101","(14,124,101)",0
Mayor's Office,,,,,,
Personal Services,"7,498,029","13,390,483","493,084","13,883,567","(1,685,054)","12,198,513"
Purchase of Services,"679,404","1,546,789",0,"1,546,789","(99,639)","1,447,150"
"Materials, Supplies & Equip.","23,692","338,261",0,"338,261","(167,350)","170,911"
Total,"8,201,125","15,275,533","493,084","15,768,617","(1,952,043)","13,816,574"
Mayor's Office - Scholarships,,,,,,
"Contrib., Indemnities & Taxes","60,043",0,0,0,0,0
Total,"60,043",0,0,0,0,0
Neighborhood Community Action,,,,,,
Centers (8),,,,,,
Personal Services,0,0,0,0,"2,585,304","2,585,304"
Purchase of Services,0,0,0,0,"624,300","624,300"
"Materials, Supplies & Equip.",0,0,0,0,"100,000","100,000"
Total,0,0,0,0,"3,309,604","3,309,604"
