0,1,2,3,4,5,6
Department / Agency,Fiscal Year 2024 Actual Obligations,Fiscal Year 2025 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2025 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2026 Adopted Budget
Finance-School District Contribution,,,,,,
"Contrib., Indemnities & Taxes","282,052,590","284,052,590",0,"284,052,590",0,"284,052,590"
Total,"282,052,590","284,052,590",0,"284,052,590",0,"284,052,590"
Finance-Witness Fees,,,,,,
Purchase of Services,"179,100","180,094",0,"180,094","80,000","260,094"
Total,"179,100","180,094",0,"180,094","80,000","260,094"
Fire,,,,,,
Personal Services,"372,902,008","388,463,277","8,227,302","396,690,579","(4,580,287)","392,110,292"
Purchase of Services,"15,089,100","14,043,352","45,000","14,088,352","6,161,682","20,250,034"
"Materials, Supplies & Equip.","14,000,502","21,289,691","(6,676,645)","14,613,046","8,670,543","23,283,589"
"Contrib., Indemnities & Taxes","2,150,225",0,0,0,0,0
Payments to Other Funds,"7,186,300","8,296,986",0,"8,296,986","280,934","8,577,920"
Total,"411,328,135","432,093,306","1,595,657","433,688,963","10,532,872","444,221,835"
First Judicial District,,,,,,
Personal Services,"104,836,174","118,482,716","3,995,462","122,478,178","(984,738)","121,493,440"
Purchase of Services,"21,913,110","9,075,191","100,000","9,175,191","(100,000)","9,075,191"
"Materials, Supplies & Equip.","2,005,949","2,343,461",0,"2,343,461",0,"2,343,461"
Total,"128,755,233","129,901,368","4,095,462","133,996,830","(1,084,738)","132,912,092"
Fleet Services,,,,,,
Personal Services,"20,638,006","21,146,675","1,590,060","22,736,735","241,422","22,978,157"
Purchase of Services,"7,629,442","6,430,287","1,100,000","7,530,287",0,"7,530,287"
"Materials, Supplies & Equip.","28,407,536","24,735,853","5,000,000","29,735,853","1,255,662","30,991,515"
"Contrib., Indemnities & Taxes","72,098",0,0,0,0,0
Total,"56,747,082","52,312,815","7,690,060","60,002,875","1,497,084","61,499,959"
Fleet Services -Vehicle Lease/Purch.,,,,,,
"Materials, Supplies & Equip.","31,044,910","6,047,245","19,295,900","25,343,145","(8,983,900)","16,359,245"
Payments to Other Funds,"10,000,000",0,0,0,0,0
Total,"41,044,910","6,047,245","19,295,900","25,343,145","(8,983,900)","16,359,245"
Free Library,,,,,,
Personal Services,"48,059,505","59,340,820","2,916,720","62,257,540","(163,225)","62,094,315"
Purchase of Services,"3,648,719","4,199,722",0,"4,199,722","25,000","4,224,722"
"Materials, Supplies & Equip.","7,735,384","8,163,098",0,"8,163,098","182,453","8,345,551"
Total,"59,443,608","71,703,640","2,916,720","74,620,360","44,228","74,664,588"
Human Relations Commission,,,,,,
Personal Services,"2,436,529","2,663,744","151,283","2,815,027","10,899","2,825,926"
Purchase of Services,"69,348","66,901",0,"66,901",0,"66,901"
"Materials, Supplies & Equip.","34,483","28,031",0,"28,031",0,"28,031"
Total,"2,540,360","2,758,676","151,283","2,909,959","10,899","2,920,858"
Human Services,,,,,,
Personal Services,"36,217,164","38,007,007","1,872,368","39,879,375","(3,145,616)","36,733,759"
Purchase of Services,"178,600,800","182,595,641","(33,750)","182,561,891","8,311,115","190,873,006"
"Materials, Supplies & Equip.","1,600,151","1,802,170",0,"1,802,170","62,966","1,865,136"
"Contrib., Indemnities & Taxes","176,203",0,0,0,0,0
Total,"216,594,318","222,404,818","1,838,618","224,243,436","5,228,465","229,471,901"
Labor,,,,,,
Personal Services,"3,412,419","4,194,853","151,235","4,346,088","(36,144)","4,309,944"
Purchase of Services,"610,071","437,319","131,724","569,043","846,918","1,415,961"
"Materials, Supplies & Equip.","20,661","21,420",700,"22,120",(700),"21,420"
Total,"4,043,151","4,653,592","283,659","4,937,251","810,074","5,747,325"
Law,,,,,,
Personal Services,"18,593,662","19,884,049","1,266,515","21,150,564","1,151,868","22,302,432"
Purchase of Services,"14,290,989","9,633,145","4,530,000","14,163,145","30,000","14,193,145"
"Materials, Supplies & Equip.","184,446","184,676",0,"184,676",0,"184,676"
"Contrib., Indemnities & Taxes","19,500",0,0,0,0,0
Total,"33,088,597","29,701,870","5,796,515","35,498,385","1,181,868","36,680,253"
