0,1,2,3,4,5,6
Department / Ageno,Fiscal Year 2024 Actual Obligations,Fiscal Year 2025 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2025 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2026 Proposed Budget
Commerce,,,,,,
Personal Services,"4,623,419","5,052,861","214,480","5,267,341","1,984,513","7,251,854"
Purchase of Services,"10,057,351","7,713,713","1,500,000","9,213,713","(638,800)","8,574,913"
"Materials, Supplies & Equip.","17,867","150,467",0,"150,467","31,187","181,654"
"Contrib., Indemnities & Taxes","805,000","1,005,000",0,"1,005,000","(500,000)","505,000"
Total,"15,503,637","13,922,041","1,714,480","15,636,521","876,900","16,513,421"
Commerce-Convention Center Subsidy,,,,,,
Purchase of Services,"15,000,000","15,000,000",0,"15,000,000",0,"15,000,000"
Total,"15,000,000","15,000,000",0,"15,000,000",0,"15,000,000"
Commerce-Economic Stimulus,,,,,,
Purchase of Services,"22,984,879","32,795,294","2,150,000","34,945,294","43,520,000","78,465,294"
Total,"22,984,879","32,795,294","2,150,000","34,945,294","43,520,000","78,465,294"
District Attorney,,,,,,
Personal Services,"49,912,929","50,075,638","3,209,380","53,285,018","432,985","53,718,003"
Purchase of Services,"3,342,666","3,378,866",0,"3,378,866","463,320","3,842,186"
"Materials, Supplies & Equip.","863,475","832,275",0,"832,275",0,"832,275"
Total,"54,119,070","54,286,779","3,209,380","57,496,159","896,305","58,392,464"
Finance,,,,,,
Personal Services,"11,886,757","11,712,986","651,912","12,364,898","6,783,654","19,148,552"
Purchase of Services,"6,528,901","6,119,271",0,"6,119,271","599,830","6,719,101"
"Materials, Supplies & Equip.","46,069","47,024",0,"47,024",0,"47,024"
"Contrib., Indemnities & Taxes","40,436,321","7,208,000","12,576,021","19,784,021","1,849,819","21,633,840"
Payments to Other Funds,"63,560,000","2,500,000","2,358,224","4,858,224","(2,358,224)","2,500,000"
Advances and Other Misc. Payments,0,0,"95,000,000","95,000,000","(95,000,000)",0
Total,"122,458,048","27,587,281","110,586,157","138,173,438","(88,124,921)","50,048,517"
Finance-Budget Stabilization,,,,,,
Payments to Other Funds,"42,261,000","58,291,000",0,"58,291,000","569,000","58,860,000"
Total,"42,261,000","58,291,000",0,"58,291,000","569,000","58,860,000"
Finance-Community College Subsidy,,,,,,
"Contrib., Indemnities & Taxes","58,983,448","56,003,181",0,"56,003,181","(2,000,000)","54,003,181"
Total,"58,983,448","56,003,181",0,"56,003,181","(2,000,000)","54,003,181"
Finance-Employee Benefits,,,,,,
Pers. Svcs.-Emp.Benefits,"1,663,428,148","1,677,120,077","(20,747,522)","1,656,372,555","89,215,080","1,745,587,635"
Total,"1,663,428,148","1,677,120,077","(20,747,522)","1,656,372,555","89,215,080","1,745,587,635"
Finance-Hero Scholarship Awards,,,,,,
"Contrib., Indemnities & Taxes","22,000","50,000",0,"50,000",0,"50,000"
Total,"22,000","50,000",0,"50,000",0,"50,000"
Finance-Payment to Housing Trust Fund,,,,,,
Payments to Other Funds,"30,612,698","31,006,714","384,212","31,390,926","1,874,166","33,265,092"
Total,"30,612,698","31,006,714","384,212","31,390,926","1,874,166","33,265,092"
Finance-Indemnities (3),,,,,,
"Contrib., Indemnities & Taxes","(6,432,629)","61,246,000","25,000,000","86,246,000","(25,000,000)","61,246,000"
Total,"(6,432,629)","61,246,000","25,000,000","86,246,000","(25,000,000)","61,246,000"
Finance-Reg #32,,,,,,
Personal Services,"6,475,123","7,200,000","5,000,000","12,200,000",0,"12,200,000"
Total,"6,475,123","7,200,000","5,000,000","12,200,000",0,"12,200,000"
Finance-Refunds,,,,,,
"Contrib., Indemnities & Taxes","238,134","250,000",0,"250,000",0,"250,000"
Total,"238,134","250,000",0,"250,000",0,"250,000"
Finance-School District Contribution,,,,,,
"Contrib., Indemnities & Taxes","282,052,590","284,052,590",0,"284,052,590",0,"284,052,590"
Total,"282,052,590","284,052,590",0,"284,052,590",0,"284,052,590"
Finance-Witness Fees,,,,,,
Purchase of Services,"179,100","180,094",0,"180,094",0,"180,094"
Total,"179,100","180,094",0,"180,094",0,"180,094"
