0,1,2,3,4,5,6
Department /Agency,Fiscal Year 2024 Actual Obligations,Fiscal Year 2025 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2025 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2026 Proposed Budget
Art Museum,,,,,,
"Contrib., Indemnities & Taxes","2,142,000","2,642,000",0,"2,642,000","(500,000)","2,142,000"
Total,"2,142,000","2,642,000",0,"2,642,000","(500,000)","2,142,000"
Auditing (City Controller),,,,,,
Personal Services,"9,681,606","10,599,672","346,461","10,946,133","61,428","11,007,561"
Purchase of Services,"534,517","508,573","350,000","858,573","(150,000)","708,573"
"Materials, Supplies & Equip.","38,289","40,000",0,"40,000",0,"40,000"
Total,"10,254,412","11,148,245","696,461","11,844,706","(88,572)","11,756,134"
Board of Ethics,,,,,,
Personal Services,"1,019,460","1,322,433","47,676","1,370,109","(3,066)","1,367,043"
Purchase of Services,"29,128","52,500",0,"52,500",0,"52,500"
"Materials, Supplies & Equip.",405,"7,500",0,"7,500",0,"7,500"
Total,"1,048,993","1,382,433","47,676","1,430,109","(3,066)","1,427,043"
Board of Revision of Taxes,,,,,,
Personal Services,"1,114,870","1,089,023","75,920","1,164,943",(725),"1,164,218"
Purchase of Services,"74,895","40,681","30,000","70,681",0,"70,681"
"Materials, Supplies & Equip.","21,830","17,727",0,"17,727",0,"17,727"
Total,"1,211,595","1,147,431","105,920","1,253,351",(725),"1,252,626"
Citizens Police Oversight Commission (1),,,,,,
Personal Services,0,0,0,0,"2,286,030","2,286,030"
Purchase of Services,0,0,0,0,"808,002","808,002"
"Materials, Supplies & Equip.",0,0,0,0,"12,000","12,000"
Total,0,0,0,0,"3,106,032","3,106,032"
City Commissioners,,,,,,
Personal Services,"10,059,402","11,733,634","1,710,105","13,443,739","(1,253,495)","12,190,244"
Purchase of Services,"12,729,266","18,222,965","(1,250,000)","16,972,965","(3,232,864)","13,740,101"
"Materials, Supplies & Equip.","4,065,121","3,447,699",0,"3,447,699","(263,966)","3,183,733"
Total,"26,853,789","33,404,298","460,105","33,864,403","(4,750,325)","29,114,078"
City Council,,,,,,
Personal Services,"15,212,889","20,700,583","(432,091)","20,268,492","1,000,000","21,268,492"
Purchase of Services,"3,317,050","3,521,885","850,000","4,371,885","(673,906)","3,697,979"
"Materials, Supplies & Equip.","667,917","778,650","150,000","928,650","(111,068)","817,582"
"Contrib., Indemnities & Taxes","238,500",100,0,100,0,100
Payments to Other Funds,0,100,0,100,0,100
Advances and Other Misc. Payments,0,100,0,100,0,100
Total,"19,436,356","25,001,418","567,909","25,569,327","215,026","25,784,353"
City Representative (2),,,,,,
Personal Services,0,0,0,0,"1,529,682","1,529,682"
Purchase of Services,0,0,0,0,"1,252,500","1,252,500"
"Materials, Supplies & Equip.",0,0,0,0,"170,000","170,000"
Total,0,0,0,0,"2,952,182","2,952,182"
City Treasurer,,,,,,
Personal Services,"1,584,461","1,894,025","82,563","1,976,588","(10,416)","1,966,172"
Purchase of Services,"2,575,261","3,351,903",0,"3,351,903",0,"3,351,903"
"Materials, Supplies & Equip.","15,690","43,724",0,"43,724",0,"43,724"
Total,"4,175,412","5,289,652","82,563","5,372,215","(10,416)","5,361,799"
Civil Service Commission,,,,,,
Personal Services,"156,687","183,057","5,806","188,863",(438),"188,425"
Purchase of Services,"29,500","29,500",0,"29,500",0,"29,500"
"Materials, Supplies & Equip.",200,"1,094",0,"1,094",0,"1,094"
Advances and Other Misc. Payments,0,"43,505,010","(43,505,010)",0,"101,577,000","101,577,000"
Total,"186,387","43,718,661","(43,499,204)","219,457","101,576,562","101,796,019"
