0,1,2,3,4,5,6,7,8,9
Licenses & Inspections,"38,917,404","26,292,358","26,292,358",0,"44,257,829","44,176,201","45,672,151","(1,414,322)","(1,495,950)"
L&I-Board of Building Standards,"83,357","66,191","66,191",0,"86,609","86,609","86,609",0,0
L&I-Board of L | Review,"180,203","155,684","155,684",0,"182,543","182,543","182,543",0,0
Managing Director-Base,"110,083,074","132,559,008","132,559,008",0,"187,205,603","189,831,965","188,531,965","(1,326,362)","1,300,000"
Managing Director-Citizens Police Oversight Commission,"1,390,833","1,174,049","1,174,049",0,"3,023,642","3,023,642","3,023,642",0,0
Managing Director-Defender Association,"54,283,600","61,997,780","61,997,780",0,"61,997,780","63,997,780","63,997,780","(2,000,000)",0
Mayor's Office,"6,756,501","4,996,873","4,996,873",0,"6,067,744","8,167,744","8,167,744","(2,100,000)",0
Mayor's Office-Scholarships,"76,000","30,000","30,000",0,"100,000","100,000","100,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,"1,704,202","2,294,945","2,294,945",0,"3,449,909","3,449,909","3,464,267","(14,358)","(14,358)"
Mural Arts Program,"3,198,517","3,357,485","3,357,485",0,"3,683,320","3,683,320","4,183,320","(500,000)","(500,000)"
Office of Behavioral HIth & Intellectual disAbility,"27,986,417","26,423,052","26,423,052",0,"29,024,448","29,024,448","29,024,448",0,0
Office of the Chief Administrative Officer,"13,745,419","12,067,179","12,067,179",0,"18,420,959","19,036,819","19,036,819","(615,860)",0
Office of Children and Families,"502,591","397,410","397,410",0,"481,098","481,098","481,098",0,0
Office of Homeless Services,"78,342,285","83,857,618","83,857,618",0,"80,556,703","91,564,048","91,564,048","(11,007,345)",0
Office of Human Resources,"7,658,194","7,396,423","7,396,423",0,"12,710,756","13,594,756","14,934,756","(2,224,000)","(1,340,000)"
Office of Innovation and Technology-Base,"88,523,703","71,520,472","71,520,472",0,"96,415,805","97,015,805","97,815,805","(1,400,000)","(800,000)"
Office of Innovation and Technology-911,"18,572,354","10,934,981","10,934,981",0,"31,855,521","31,855,521","31,855,521",0,0
Office of the Inspector General,"1,625,270","1,400,300","1,400,300",0,"2,346,548","2,346,548","2,346,548",0,0
Office of Property Assessment,"15,366,387","10,574,233","10,574,233",0,"18,310,182","18,310,182","18,310,182",0,0
Office of Sustainability,"2,169,160","1,944,733","1,944,733",0,"2,974,885","3,381,513","3,381,513","(406,628)",0
Parks and Recreation,"75,227,124","58,374,019","58,374,019",0,"79,418,097","83,065,097","86,815,097","(7,397,000)","(3,750,000)"
Planning & Development,"34,759,317","28,435,008","28,435,008",0,"35,404,422","35,604,422","35,604,422","(200,000)",0
Police,"829,210,826","552,791,643","552,791,643",0,"855,831,761","878,331,761","878,331,761","(22,500,000)",0
Prisons,"235,170,098","194,372,321","194,372,321",0,"292,774,430","302,768,812","302,768,812","(9,994,382)",0
Procurement,"6,348,981","3,967,800","3,967,800",0,"7,235,722","7,235,722","7,235,722",0,0
Public Health,"132,074,650","106,940,805","106,940,805",0,"148,736,320","153,736,320","153,736,320","(5,000,000)",0
Public Property,"91,356,854","55,690,482","55,690,482",0,"95,659,168","94,713,590","94,713,590","945,578",0
Public Property-SEPTA Subsidy,"100,699,000","82,735,250","82,735,250",0,"109,567,000","109,567,000","109,567,000",0,0
Public Property-Space Rentals,"32,123,081","36,087,140","36,087,140",0,"37,448,243","37,598,243","37,923,243","(475,000)","(325,000)"
Public Property-Utilities,"35,547,994","30,975,959","30,975,959",0,"31,162,103","31,162,103","31,162,103",0,0
Records,"4,113,075","3,404,009","3,404,009",0,"4,564,421","4,843,151","4,843,151","(278,730)",0
Register of Wills,"4,734,032","3,472,410","3,472,410",0,"5,024,798","5,024,798","5,024,798",0,0
Revenue,"25,542,833","18,070,118","18,070,118",0,"28,854,507","28,854,507","30,434,507","(1,580,000)","(1,580,000)"
Sheriff,"31,657,866","23,450,828",23.450.828,0,"32,866,448","34,166,448","34,166,448","(1,300,000)",0
Sinking Fund Commission (Debt Service),"292,884,815","264,810,357","264,810,357",0,"324,217,521","324,217,521","324,217,521",0,0
Streets-Disposal,"57,659,801","37,782,113","37,782,113",0,"55,178,274","55,178,274","55,178,274",0,0
Streets,"165,847,017","71,253,428","71,253,428",0,"107,960,310","155,054,246","144,424,246","(36,463,936)","10,630,000"
TOTAL GENERAL FUND,"5,918,381,090","4,600,581,513","4,600,581,513",0,"6,195,414,000","6,457,413,214","6,417,449,660","(222,035,660)","39,963,554"
