0,1,2,3,4,5,6,7,8,9
Art Museum Subsidy,"2,142,000",0,0,0,"2,642,000","2,642,000","2,642,000",0,0
Auditing (City Controller's Office),"10,254,412","2,569,710","2,569,710",0,"11,148,245","11,148,245","11,614,712","(466,467)","(466,467)"
Board of Ethics,"1,048,993","232,149","232,149",0,"1,382,433","1,382,433","1,430,109","(47,676)","(47,676)"
Board of Revision of Taxes,"1,211,595","268,031","268,031",0,"1,147,431","1,147,431","1,188,388","(40,957)","(40,957)"
City Commissioners (Election Board),"26,853,789","9,680,704","9,680,704",0,"33,404,298","33,404,298","33,548,492","(144,194)","(144,194)"
City Council,"19,436,356","5,059,283","5,059,283",0,"25,001,418","25,001,418","25,569,327","(567,909)","(567,909)"
City Treasurer,"4,175,412","458,401","458,401",0,"5,289,652","5,289,652","5,364,931","(75,279)","(75,279)"
Civil Service Commission,"186,387","32,250","32,250",0,"43,718,661","43,718,661","51,161,339","(7,442,678)","(7,442,678)"
Commerce,"15,503,637","2,817,775","2,817,775",0,"13,922,041","13,922,041","14,131,053","(209,012)","(209,012)"
Commerce-Convention Center Subsidy,"15,000,000","15,000,000","15,000,000",0,"15,000,000","15,000,000","15,000,000",0,0
Commerce-Economic Stimulus,"22,984,879","21,773,394","21,773,394",0,"32,795,294","32,795,294","32,795,294",0,0
District Attorney,"54,119,070",13.583.868,"13,583,868",0,"54,286,779","54,286,779","56,173,526","(1,886,747)","(1,886,747)"
Finance,"122,458,048","7,612,918","7,612,918",0,"27,587,281","27,587,281","47,693,785","(20,106,504)","(20,106,504)"
Finance-Budget Stabilization Reserve,"42,261,000","58,291,000","58,291,000",0,"58,291,000","58,291,000","58,291,000",0,0
Finance-Disability-Reg #32 Payroll,"6,475,123","3,279,609","3,279,609",0,"7,200,000","7,200,000","7,200,000",0,0
Finance-Grant Match,0,0,0,0,0,0,"15,000,000","(15,000,000)","(15,000,000)"
Finance-Community College Subsidy,"58,983,448","56,003,181","56,003,181",0,"56,003,181","56,003,181","56,003,181",0,0
Finance Employee Benefits (1),"1,663,428,148","218,833,451","218,833,451",0,"1,677,120,077","1,677,120,077","1,677,970,077","(850,000)","(850,000)"
Unemployment Compensation,"1,887,093","670,481","670,481",0,"4,600,000","4,600,000","4,600,000",0,0
Employee Disability,"90,003,981","30,446,623","30,446,623",0,"112,137,837","112,137,837","112,137,837",0,0
Pension Obligation Bonds,"120,990,284","12,966,626","12,966,626",0,"129,721,808","129,721,808","129,721,808",0,0
Pension,"746,663,288","(8,935,009)","(8,935,009)",0,"603,457,000","603,457,000","603,457,000",0,0
Pension-Sales Tax,"90,015,546",0,0,0,"98,468,153","98,468,153","98,468,153",0,0
Pension-Plan 10,"1,237,889","1,074,989","1,074,989",0,"1,500,000","1,500,000","1,500,000",0,0
FICA,"97,955,333","25,218,033","25,218,033",0,"101,729,695","101,729,695","101,729,695",0,0
Flex Cash Payments,"1,139,318",0,0,0,"1,700,000","1,700,000","1,700,000",0,0
Health / Medical,"502,178,667","154,192,745","154,192,745",0,"607,955,584","607,955,584","608,805,584","(850,000)","(850,000)"
Group Life Insurance,"4,671,891","1,156,109","1,156,109",0,"9,000,000","9,000,000","9,000,000",0,0
Group Legal,"6,525,108","2,042,854","2,042,854",0,"6,500,000","6,500,000","6,500,000",0,0
Tool Allowance,"159,750",0,0,0,"350,000","350,000","350,000",0,0
Finance-Hero Scholarship Awards,"22,000",0,0,0,"50,000","50,000","50,000",0,0
Finance-Payment to Housing Trust Fund,"30,612,698","31,390,926","31,390,926",0,"31,006,714","31,006,714","31,390,926","(384,212)","(384,212)"
Finance-Indemnities (2),"(6,432,629)","41,985,687","41,985,687",0,"61,246,000","61,246,000","111,246,000","(50,000,000)","(50,000,000)"
Finance-Refunds,"238,134","10,828","10,828",0,"250,000","250,000","250,000",0,0
Finance-School District Contribution,"282,052,590","71,013,148","71,013,148",0,"284,052,590","284,052,590","284,052,590",0,0
Finance-Witness Fees,"179,100","56,249","56,249",0,"180,094","180,094","180,094",0,0
Fire,"411,328,135","94,195,733","94,195,733",0,"432,093,306","432,093,306","432,316,274","(222,968)","(222,968)"
First Judicial District,"128,755,233","27,504,759","27,504,759",0,"129,901,368","129,901,368","133,791,353","(3,889,985)","(3,889,985)"
Fleet Services,"56,747,082","23,517,207","23,517,207",0,"52,312,815","52,312,815","58,621,754","(6,308,939)","(6,308,939)"
Fleet Services Vehicle Purchases,"41,044,910","4,267,131","4,267,131",0,"6,047,245","6,047,245","11,347,245","(5,300,000)","(5,300,000)"
Free Library,"59,443,608","17,933,044","17,933,044",0,"71,703,640","71,703,640","73,274,439","(1,570,799)","(1,570,799)"
Human Relations Commission,"2,540,360","628,988","628,988",0,"2,758,676","2,758,676","2,897,239","(138,563)","(138,563)"
Human Services,"216,594,318","149,109,660","149,109,660",0,"222,404,818","222,404,818","224,064,315","(1,659,497)","(1,659,497)"
Labor,"4,043,151","827,181","827,181",0,"4,653,592","4,653,592","4,787,518","(133,926)","(133,926)"
Law,"33,088,597","8,962,071","8,962,071",0,29.701.870,"29,701,870","32,036,122","(2,334,252)","(2,334,252)"
