0,1,2,3,4,5
Department /Agency,Fiscal Year 2023 Actual Obligations,Increase/ (Decrease),Fiscal Year 2024 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2025 Adopted Budget
Art Museum,,,,,
"Contrib., Indemnities & Taxes","2,040,000","102,000","2,142,000","500,000","2,642,000"
Total,"2,040,000","102,000","2,142,000","500,000","2,642,000"
Auditing (City Controller),,,,,
Personal Services,"9,092,764","1,306,908","10,399,672","200,000","10,599,672"
Purchase of Services,"621,859","86,714","708,573","(200,000)","508,573"
"Materials, Supplies & Equip.","19,780","20,220","40,000",0,"40,000"
Total,"9,734,403","1,413,842","11,148,245",0,"11,148,245"
Board of Ethics,,,,,
Personal Services,"932,874","389,559","1,322,433",0,"1,322,433"
Purchase of Services,"75,010","(22,510)","52,500",0,"52,500"
"Materials, Supplies & Equip.","1,031","6,469","7,500",0,"7,500"
Total,"1,008,915","373,518","1,382,433",0,"1,382,433"
Board of Revision of Taxes,,,,,
Personal Services,"1,012,612","96,411","1,109,023","(20,000)","1,089,023"
Purchase of Services,"62,010","18,671","80,681","(40,000)","40,681"
"Materials, Supplies & Equip.","17,556","5,171","22,727","(5,000)","17,727"
Total,"1,092,178","120,253","1,212,431","(65,000)","1,147,431"
City Commissioners,,,,,
Personal Services,"9,116,587","2,077,229","11,193,816","539,818","11,733,634"
Purchase of Services,"12,342,978","1,197,123","13,540,101","4,682,864","18,222,965"
"Materials, Supplies & Equip.","6,467,457","(2,083,724)","4,383,733","(936,034)","3,447,699"
"Contrib., Indemnities & Taxes","292,500","(292,500)",0,0,0
Total,"28,219,522","898,128","29,117,650","4,286,648","33,404,298"
City Council,,,,,
Personal Services,"14,095,159","4,605,424","18,700,583","2,000,000","20,700,583"
Purchase of Services,"2,969,751","1,052,134","4,021,885","(500,000)","3,521,885"
"Materials, Supplies & Equip.","577,149","251,501","828,650","(50,000)","778,650"
"Contrib., Indemnities & Taxes",0,100,100,0,100
Payments to Other Funds,0,100,100,0,100
Advances and Other Misc. Payments,0,100,100,0,100
Total,"17,642,059","5,909,359","23,551,418","1,450,000","25,001,418"
City Treasurer,,,,,
Personal Services,"1,579,598","239,427","1,819,025","75,000","1,894,025"
Purchase of Services,"3,197,024","54,879","3,251,903","100,000","3,351,903"
"Materials, Supplies & Equip.","20,741","22,983","43,724",0,"43,724"
Total,"4,797,363","317,289","5,114,652","175,000","5,289,652"
Civil Service Commission,,,,,
Personal Services,"153,540","29,517","183,057",0,"183,057"
Purchase of Services,"29,500",0,"29,500",0,"29,500"
"Materials, Supplies & Equip.",0,"1,094","1,094",0,"1,094"
Advances and Other Misc. Payments,0,"11,200,000","11,200,000","32,305,010","43,505,010"
Total,"183,040","11,230,611","11,413,651","32,305,010","43,718,661"
Commerce,,,,,
Personal Services,"3,614,784","2,152,827","5,767,611","(714,750)","5,052,861"
Purchase of Services,"8,216,653","1,862,700","10,079,353","(2,365,640)","7,713,713"
"Materials, Supplies & Equip.","62,619","(35,965)","26,654","123,813","150,467"
"Contrib., Indemnities & Taxes","505,000","300,000","805,000","200,000","1,005,000"
Total,"12,399,056","4,279,562","16,678,618","(2,756,577)","13,922,041"
Commerce-Convention Center Subsidy,,,,,
Purchase of Services,"15,000,000",0,"15,000,000",0,"15,000,000"
Total,"15,000,000",0,"15,000,000",0,"15,000,000"
Commerce-Economic Stimulus,,,,,
Purchase of Services,"16,720,961","6,393,529","23,114,490","9,680,804","32,795,294"
Total,"16,720,961","6,393,529","23,114,490","9,680,804","32,795,294"
