0,1,2,3,4,5
Department / Agency,Fiscal Year 2023 Actual Obligations,Increase/ (Decrease),Fiscal Year 2024 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2025 Adopted Budget
Sinking Fund Commission (Debt Service),,,,,
Purchase of Services,"102,388,979","20,196,120","122,585,099","(1,724,930)","120,860,169"
Debt Service,"190,495,836","11,136,586","201,632,422","33,034,882","234,667,304"
Total,"292,884,815","31,332,706","324,217,521","31,309,952","355,527,473"
Streets-Disposal,,,,,
Purchase of Services,"57,659,801","(2,481,527)","55,178,274","4,410,853","59,589,127"
Total,"57,659,801","(2,481,527)","55,178,274","4,410,853","59,589,127"
Streets (2),,,,,
Personal Services,"110,599,547","(20,940,042)","89,659,505","6,594,922","96,254,427"
Purchase of Services,"13,048,122","(10,828,506)","2,219,616","577,000","2,796,616"
"Materials, Supplies & Equip.","23,047,815","27,544,139","50,591,954","(42,154,850)","8,437,104"
"Contrib., Indemnities & Taxes","19,151,533","(19,098,362)","53,171",0,"53,171"
Total,"165,847,017","(23,322,771)","142,524,246","(34,982,928)","107,541,318"
,,,,,
"Total, General Fund","5,918,381,090","417,163,570","6,335,544,660","31,938,340","6,367,483,000"
