0,1,2,3,4,5
Department/Agency,Fiscal Year 2023 Actual Obligations,Increase/ (Decrease),Fiscal Year 2024 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2025 Adopted Budget
Managing Director-Defenders Association,,,,,
Purchase of Services,"54,283,600","9,714,180","63,997,780","2,000,000","65,997,780"
Total,"54,283,600","9,714,180","63,997,780","2,000,000","65,997,780"
Managing Director-Citizens Police,,,,,
Oversight Commission,,,,,
Personal Services,"1,080,870","1,122,770","2,203,640",0,"2,203,640"
Purchase of Services,"118,775","689,227","808,002",0,"808,002"
"Materials, Supplies & Equip.","191,188","(179,188)","12,000",0,"12,000"
Total,"1,390,833","1,632,809","3,023,642",0,"3,023,642"
Managing Director-Clean & Green,,,,,
Personal Services,0,0,0,"1,055,000","1,055,000"
Total,0,0,0,"1,055,000","1,055,000"
Managing Director-Public Safety,,,,,
Personal Services,0,0,0,"2,203,158","2,203,158"
Purchase of Services,0,0,0,"11,180,943","11,180,943"
Total,0,0,0,"13,384,101","13,384,101"
Mayor's Office,,,,,
Personal Services,"5,950,965","1,337,907","7,288,872","6,101,611","13,390,483"
Purchase of Services,"801,036","26,644","827,680","719,109","1,546,789"
"Materials, Supplies & Equip.","4,500","46,692","51,192","287,069","338,261"
Total,"6,756,501","1,411,243","8,167,744","7,107,789","15,275,533"
Mayor's Office Scholarships,,,,,
"Contrib., Indemnities & Taxes","76,000","24,000","100,000","(100,000)",0
Total,"76,000","24,000","100,000","(100,000)",0
Mural Arts Program,,,,,
Personal Services,"527,907","101,272","629,179",0,"629,179"
Purchase of Services,"2,670,610","883,531","3,554,141","(500,000)","3,054,141"
Total,"3,198,517","984,803","4,183,320","(500,000)","3,683,320"
Office of Behavioral Health and,,,,,
Intellectual disAbility,,,,,
Personal Services,"3,114,848","546,423","3,661,271",0,"3,661,271"
Purchase of Services,"24,823,599","435,578","25,259,177","(25,745)","25,233,432"
"Materials, Supplies & Equip.","47,970","56,030","104,000",0,"104,000"
Total,"27,986,417","1,038,031","29,024,448","(25,745)","28,998,703"
Office of the Chief Administrative Officer,,,,,
Personal Services,"6,108,879","(63,976)","6,044,903","1,879,201","7,924,104"
Purchase of Services,"6,812,559","5,754,389","12,566,948","(326,250)","12,240,698"
"Materials, Supplies & Equip.","823,981","(399,013)","424,968","(364,248)","60,720"
Total,"13,745,419","5,291,400","19,036,819","1,188,703","20,225,522"
Office of Arts and Culture and,,,,,
the Creative Economy,,,,,
Personal Services,0,0,0,"714,833","714,833"
Purchase of Services,0,0,0,"130,768","130,768"
"Contrib., Indemnities & Taxes",0,0,0,"9,980,000","9,980,000"
Total,0,0,0,"10,825,601","10,825,601"
Office of Community,,,,,
Empowerment and Opportunity,,,,,
Personal Services,"144,949","1,402,105","1,547,054","1,964,000","3,511,054"
Purchase of Services,"1,514,400","372,457","1,886,857",0,"1,886,857"
"Materials, Supplies & Equip.",0,"30,356","30,356","485,642","515,998"
"Contrib., Indemnities & Taxes","44,853","(44,853)",0,0,0
Total,"1,704,202","1,760,065","3,464,267","2,449,642","5,913,909"
Office of Children and Families,,,,,
Personal Services,"502,591","(21,493)","481,098","468,000","949,098"
Total,"502,591","(21,493)","481,098","468,000","949,098"
