0,1,2,3,4,5,6,7
Department / Agency,Fiscal Year 2025 Actual Obligations,Increase/ (Decrease),Fiscal Year 2026 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2026 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2027 Proposed Budget
Office of Innovation and Technology-911,,,,,,,
Personal Services,"1,704,914","203,818","1,908,732",0,"1,908,732",0,"1,908,732"
Purchase of Services,"15,247,205","5,469,651","20,716,856",0,"20,716,856","(4,079,535)","16,637,321"
"Materials, Supplies & Equip.","6,026,130","12,972,516","18,998,646",0,"18,998,646","(10,130,472)","8,868,174"
Total,"22,978,249","18,645,985","41,624,234",0,"41,624,234","(14,210,007)","27,414,227"
Office of the Inspector General,,,,,,,
Personal Services,"1,863,732","670,325","2,534,057","29,445","2,563,502","9,815","2,573,317"
Purchase of Services,"127,327","347,368","474,695",0,"474,695","(100,000)","374,695"
"Materials, Supplies & Equip.","7,873",792,"8,665",0,"8,665",0,"8,665"
Total,"1,998,932","1,018,485","3,017,417","29,445","3,046,862","(90,185)","2,956,677"
Office of Property Assessment,,,,,,,
Personal Services,"14,623,282","1,995,467","16,618,749","658,210","17,276,959","200,241","17,477,200"
Purchase of Services,"1,836,194","1,149,826","2,986,020",0,"2,986,020","1,100,000","4,086,020"
"Materials, Supplies & Equip.","300,951","61,649","362,600",0,"362,600",0,"362,600"
Total,"16,760,427","3,206,942","19,967,369","658,210","20,625,579","1,300,241","21,925,820"
Office of Public Safety (9),,,,,,,
Personal Services,0,"9,305,263","9,305,263","119,745","9,425,008","2,245,318","11,670,326"
Purchase of Services,0,"57,549,103","57,549,103",0,"57,549,103","(4,835,039)","52,714,064"
"Materials, Supplies & Equip.",0,"318,880","318,880",0,"318,880","(37,500)","281,380"
Total,0,"67,173,246","67,173,246","119,745","67,292,991","(2,627,221)","64,665,770"
Office of Public Safety-,,,,,,,
Office of Prison Oversight (10),,,,,,,
Personal Services,0,"1,021,158","1,021,158",0,"1,021,158","31,490","1,052,648"
Purchase of Services,0,"349,027","349,027",0,"349,027",0,"349,027"
"Materials, Supplies & Equip.",0,"27,922","27,922",0,"27,922",0,"27,922"
Total,0,"1,398,107","1,398,107",0,"1,398,107","31,490","1,429,597"
Office of Sustainability,,,,,,,
Personal Services,"1,668,099","385,234","2,053,333","29,925","2,083,258","79,975","2,163,233"
Purchase of Services,"774,766","249,718","1,024,484",0,"1,024,484","(96,500)","927,984"
"Materials, Supplies & Equip.","1,000","1,500","2,500",0,"2,500",0,"2,500"
"Contrib., Indemnities & Taxes",0,0,0,0,0,0,0
Payments to Other Funds,"175,000",0,"175,000",0,"175,000","(175,000)",0
Total,"2,618,865","636,452","3,255,317","29,925","3,285,242","(191,525)","3,093,717"
Parks and Recreation,,,,,,,
Personal Services,"65,695,796","1,361,384","67,057,180","2,521,132","69,578,312","2,474,445","72,052,757"
Purchase of Services,"12,810,445","(757,003)","12,053,442",0,"12,053,442","(1,070,000)","10,983,442"
"Materials, Supplies & Equip.","4,671,578","33,460","4,705,038",0,"4,705,038","77,210","4,782,248"
"Contrib., Indemnities & Taxes","4,309,944","(809,944)","3,500,000",0,"3,500,000","(2,000,000)","1,500,000"
Payments to Other Funds,"4,321,865","(4,321,865)",0,0,0,0,0
Total,"91,809,628","(4,493,968)","87,315,660","2,521,132","89,836,792","(518,345)","89,318,447"
Planning and Development,,,,,,,
Personal Services,"6,480,397","1,200,584","7,680,981","232,151","7,913,132","1,011,530","8,924,662"
Purchase of Services,"5,520,104","6,573,682","12,093,786",0,"12,093,786","3,287,558","15,381,344"
"Materials, Supplies & Equip.","113,327","516,723","630,050",0,"630,050","(498,745)","131,305"
"Contrib., Indemnities & Taxes","3,000,000","4,000,000","7,000,000",0,"7,000,000","(1,000,000)","6,000,000"
Total,"15,113,828","12,290,989","27,404,817","232,151","27,636,968","2,800,343","30,437,311"
Police,,,,,,,
Personal Services,"797,554,363","37,385,688","834,940,051","38,341,651","873,281,702","23,140,404","896,422,106"
Purchase of Services,"19,318,390","768,833","20,087,223",0,"20,087,223","1,235,886","21,323,109"
"Materials, Supplies & Equip.","17,700,895","766,651","18,467,546",0,"18,467,546","(1,816,989)","16,650,557"
"Contrib., Indemnities & Taxes","34,900,072","(34,900,072)",0,0,0,0,0
Total,"869,473,720","4,021,100","873,494,820","38,341,651","911,836,471","22,559,301","934,395,772"
