0,1,2,3,4,5,6
Department /Agency,Fiscal Year 2024 Actual Obligations,Fiscal Year 2025 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2025 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2026 Proposed Budget
Office of Sustainability,,,,,,
Personal Services,"1,791,288","1,487,029","291,304","1,778,333","275,000","2,053,333"
Purchase of Services,"1,475,984","786,984",0,"786,984","325,000","1,111,984"
"Materials, Supplies & Equip.",300,"1,000",0,"1,000","1,500","2,500"
Payments to Other Funds,"175,000","175,000",0,"175,000",0,"175,000"
Total,"3,442,572","2,450,013","291,304","2,741,317","601,500","3,342,817"
Parks and Recreation,,,,,,
Personal Services,"61,046,133","64,409,830","2,644,326","67,054,156","3,024","67,057,180"
Purchase of Services,"10,490,149","10,888,442","1,876,000","12,764,442","(2,491,000)","10,273,442"
"Materials, Supplies & Equip.","5,052,538","4,700,038","1,330,000","6,030,038","(1,325,000)","4,705,038"
"Contrib., Indemnities & Taxes","4,166,096","1,500,000",0,"1,500,000",0,"1,500,000"
Payments to Other Funds,"2,500,000",0,"3,571,865","3,571,865","(3,571,865)",0
Total,"83,254,916","81,498,310","9,422,191","90,920,501","(7,384,841)","83,535,660"
Planning and Development,,,,,,
Personal Services,"6,273,932","6,658,034","347,906","7,005,940","1,175,041","8,180,981"
Purchase of Services,"21,868,375","4,006,463","1,700,000","5,706,463","675,000","6,381,463"
"Materials, Supplies & Equip.","59,113","116,305",0,"116,305","15,000","131,305"
"Contrib., Indemnities & Taxes","4,527,905","7,000,000",0,"7,000,000","(4,000,000)","3,000,000"
Total,"32,729,325","17,780,802","2,047,906","19,828,708","(2,134,959)","17,693,749"
Police,,,,,,
Personal Services,"760,098,007","841,047,186","(28,101,816)","812,945,370","21,994,681","834,940,051"
Purchase of Services,"13,739,378","19,504,171","239,114","19,743,285","104,824","19,848,109"
"Materials, Supplies & Equip.","15,156,015","16,884,475","2,535,409","19,419,884","(2,183,675)","17,236,209"
"Contrib., Indemnities & Taxes","39,070,327",0,0,0,0,0
Payments to Other Funds,"45,000,000",0,0,0,0,0
Total,"873,063,727","877,435,832","(25,327,293)","852,108,539","19,915,830","872,024,369"
Prisons,,,,,,
Personal Services,"122,621,394","172,652,248","841,751","173,493,999","5,908,434","179,402,433"
Purchase of Services,"120,093,740","119,840,329","7,050,000","126,890,329","(4,328,583)","122,561,746"
"Materials, Supplies & Equip.","4,803,238","6,768,447","(1,200,000)","5,568,447","11,561","5,580,008"
"Contrib., Indemnities & Taxes","5,628,785","1,701,757",0,"1,701,757",0,"1,701,757"
Total,"253,147,157","300,962,781","6,691,751","307,654,532","1,591,412","309,245,944"
Procurement,,,,,,
Personal Services,"3,005,029","3,158,682","165,794","3,324,476","(30,703)","3,293,773"
Purchase of Services,"3,161,378","3,563,948",0,"3,563,948",0,"3,563,948"
"Materials, Supplies & Equip.","4,573","46,868",0,"46,868",0,"46,868"
Total,"6,170,980","6,769,498","165,794","6,935,292","(30,703)","6,904,589"
Public Health,,,,,,
Personal Services,"66,270,446","69,433,197","3,040,744","72,473,941","(31,017)","72,442,924"
Purchase of Services,"70,868,260","73,145,734",0,"73,145,734","6,552,616","79,698,350"
"Materials, Supplies & Equip.","5,872,632","8,324,326","335,000","8,659,326","(335,000)","8,324,326"
"Contrib., Indemnities & Taxes","3,162,553",0,0,0,0,0
Payments to Other Funds,"5,935,404","923,404",0,"923,404",0,"923,404"
Total,"152,109,295","151,826,661","3,375,744","155,202,405","6,186,599","161,389,004"
Public Property,,,,,,
Personal Services,"11,736,108","9,499,821","423,154","9,922,975","42,835","9,965,810"
Purchase of Services,"50,037,623","48,969,748",0,"48,969,748","1,428,619","50,398,367"
"Materials, Supplies & Equip.","1,824,296","1,354,966","2,750,000","4,104,966","(2,250,000)","1,854,966"
"Contrib., Indemnities & Taxes","1,093,391",0,0,0,0,0
Payments to Other Funds,"33,373,310","28,239,244","1,700,663","29,939,907","10,075,128","40,015,035"
Total,"98,064,728","88,063,779","4,873,817","92,937,596","9,296,582","102,234,178"
Public Property-SEPTA Subsidy,,,,,,
Purchase of Services,"109,567,000","133,291,440",0,"133,291,440","1,697,560","134,989,000"
Total,"109,567,000","133,291,440",0,"133,291,440","1,697,560","134,989,000"
Public Property-Space Rentals,,,,,,
Purchase of Services,"37,309,097","40,038,929",0,"40,038,929","17,697,391","57,736,320"
Total,"37,309,097","40,038,929",0,"40,038,929","17,697,391","57,736,320"
