0,1,2,3,4,5
Department /Agency,Fiscal Year 2023 Actual Obligations,Increase/ (Decrease),Fiscal Year 2024 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2025 Proposed Budget
Office of Human Resources,,,,,
Personal Services,"5,488,289","1,021,693","6,509,982","20,300","6,530,282"
Purchase of Services,"2,135,770","6,216,101","8,351,871","(5,589,000)","2,762,871"
"Materials, Supplies & Equip.","34,135","38,768","72,903",0,"72,903"
Total,"7,658,194","7,276,562","14,934,756","(5,568,700)","9,366,056"
Office of Innovation and Technology,,,,,
Personal Services,"26,813,476","5,052,663","31,866,139","188,981","32,055,120"
Purchase of Services,"57,635,980","2,744,263","60,380,243","1,567,746","61,947,989"
"Materials, Supplies & Equip.","4,001,747","1,567,676","5,569,423","4,209,700","9,779,123"
"Contrib., Indemnities & Taxes","72,500","(72,500)",0,0,0
Total,"88,523,703","9,292,102","97,815,805","5,966,427","103,782,232"
Office of Innovation and Technology-911,,,,,
Personal Services,"1,411,906","196,826","1,608,732","120,000","1,728,732"
Purchase of Services,"15,344,223","6,838,167","22,182,390","(4,135,507)","18,046,883"
"Materials, Supplies & Equip.","1,816,225","6,248,174","8,064,399",0,"8,064,399"
Total,"18,572,354","13,283,167","31,855,521","(4,015,507)","27,840,014"
Office of the Inspector General,,,,,
Personal Services,"1,524,854","688,334","2,213,188","25,000","2,238,188"
Purchase of Services,"96,626","28,069","124,695","(25,000)","99,695"
"Materials, Supplies & Equip.","3,790","4,875","8,665",0,"8,665"
Total,"1,625,270","721,278","2,346,548",0,"2,346,548"
Office of Property Assessment,,,,,
Personal Services,"13,454,091","2,567,471","16,021,562",0,"16,021,562"
Purchase of Services,"1,826,114","99,906","1,926,020",0,"1,926,020"
"Materials, Supplies & Equip.","86,182","276,418","362,600",0,"362,600"
Total,"15,366,387","2,943,795","18,310,182",0,"18,310,182"
Office of Sustainability,,,,,
Personal Services,"1,148,398","581,131","1,729,529","(242,500)","1,487,029"
Purchase of Services,"845,657","630,327","1,475,984","(689,000)","786,984"
"Materials, Supplies & Equip.",105,895,"1,000",0,"1,000"
Payments to Other Funds,"175,000",0,"175,000",0,"175,000"
Total,"2,169,160","1,212,353","3,381,513","(931,500)","2,450,013"
Parks and Recreation,,,,,
Personal Services,"56,440,606","7,421,511","63,862,117","408,855","64,270,972"
Purchase of Services,"8,850,395","1,550,047","10,400,442","(1,912,000)","8,488,442"
"Materials, Supplies & Equip.","4,535,107","3,517,431","8,052,538","(4,552,500)","3,500,038"
"Contrib., Indemnities & Taxes","5,401,016","(3,901,016)","1,500,000",0,"1,500,000"
Payments to Other Funds,0,"2,500,000","2,500,000","(2,500,000)",0
Total,"75,227,124","11,087,973","86,315,097","(8,555,645)","77,759,452"
Planning and Development,,,,,
Personal Services,"5,252,008","1,779,646","7,031,654",0,"7,031,654"
Purchase of Services,"21,756,463","200,000","21,956,463","(17,950,000)","4,006,463"
"Materials, Supplies & Equip.","131,021","(14,716)","116,305",0,"116,305"
"Contrib., Indemnities & Taxes","7,619,825","(1,119,825)","6,500,000","(3,500,000)","3,000,000"
Total,"34,759,317","845,105","35,604,422","(21,450,000)","14,154,422"
Police,,,,,
Personal Services,"761,129,391","38,957,224","800,086,615","40,960,571","841,047,186"
Purchase of Services,"12,858,864","3,510,300","16,369,164","3,135,007","19,504,171"
"Materials, Supplies & Equip.","16,589,787","286,195","16,875,982","8,493","16,884,475"
"Contrib., Indemnities & Taxes","33,632,784","(33,632,784)",0,0,0
Payments to Other Funds,"5,000,000","40,000,000","45,000,000","(45,000,000)",0
Total,"829,210,826","49,120,935","878,331,761","(895,929)","877,435,832"
Prisons,,,,,
Personal Services,"118,891,418","53,158,864","172,050,282","601,966","172,652,248"
Purchase of Services,"108,413,483","12,497,468","120,910,951","(1,070,622)","119,840,329"
"Materials, Supplies & Equip.","4,449,485","3,656,337","8,105,822","(1,337,375)","6,768,447"
"Contrib., Indemnities & Taxes","3,415,712","(1,713,955)","1,701,757",0,"1,701,757"
Total,"235,170,098","67,598,714","302,768,812","(1,806,031)","300,962,781"
