0,1,2,3,4,5,6
Department /,Fiscal Year 2024 Actual Obligations,Fiscal Year 2025 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2025 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2026 Proposed Budget
L&I-Board of L&I Review,,,,,,
Personal Services,"170,691","172,107","6,471","178,578","(1,645)","176,933"
Purchase of Services,"10,436","10,436",0,"10,436",0,"10,436"
Total,"181,127","182,543","6,471","189,014","(1,645)","187,369"
Managing Director,,,,,,
Personal Services,"35,645,449","42,089,856","1,449,232","43,539,088","(7,012,846)","36,526,242"
Purchase of Services,"142,054,212","127,810,327","40,280,000","168,090,327","(101,670,529)","66,419,798"
"Materials, Supplies & Equip.","5,218,986","7,306,014","632,000","7,938,014","(3,199,712)","4,738,302"
"Contrib., Indemnities & Taxes","4,323,101",0,0,0,0,0
Payments to Other Funds,"617,362","350,000","30,000,000","30,350,000","(30,000,000)","350,000"
Total,"187,859,110","177,556,197","72,361,232","249,917,429","(141,883,087)","108,034,342"
Managing Director-Defenders Association,,,,,,
Purchase of Services,"54,283,600","65,997,780","500,000","66,497,780","1,000,000","67,497,780"
Total,"54,283,600","65,997,780","500,000","66,497,780","1,000,000","67,497,780"
Managing Director-Citizens Police,,,,,,
Oversight Commission (4),,,,,,
Personal Services,"1,080,870","2,203,640","82,390","2,286,030","(2,286,030)",0
Purchase of Services,"118,775","808,002",0,"808,002","(808,002)",0
"Materials, Supplies & Equip.","191,188","12,000",0,"12,000","(12,000)",0
Total,"1,390,833","3,023,642","82,390","3,106,032","(3,106,032)",0
Managing Director-Clean & Green (5),,,,,,
Personal Services,0,"1,055,000",0,"1,055,000","(1,055,000)",0
Total,0,"1,055,000",0,"1,055,000","(1,055,000)",0
Managing Director-Public Safety (6),,,,,,
Personal Services,0,"2,203,158",0,"2,203,158","(2,203,158)",0
Purchase of Services,0,"11,180,943","740,000","11,920,943","(11,920,943)",0
Total,0,"13,384,101","740,000","14,124,101","(14,124,101)",0
Mayor's Office,,,,,,
Personal Services,"7,498,029","13,390,483","493,084","13,883,567","(921,500)","12,962,067"
Purchase of Services,"679,404","1,546,789",0,"1,546,789","(99,639)","1,447,150"
"Materials, Supplies & Equip.","23,692","338,261",0,"338,261","(167,350)","170,911"
Total,"8,201,125","15,275,533","493,084","15,768,617","(1,188,489)","14,580,128"
Mayor's Office Scholarships,,,,,,
"Contrib., Indemnities & Taxes","60,043",0,0,0,0,0
Total,"60,043",0,0,0,0,0
Neighborhood Community Action Centers,,,,,,
Personal Services,0,0,0,0,"2,086,750","2,086,750"
Purchase of Services,0,0,0,0,"266,500","266,500"
"Materials, Supplies & Equip.",0,0,0,0,"457,800","457,800"
Total,0,0,0,0,"2,811,050","2,811,050"
Mural Arts Program,,,,,,
Personal Services,"452,766","629,179","24,066","653,245",0,"653,245"
Purchase of Services,"3,054,141","3,054,141","500,000","3,554,141","(500,000)","3,054,141"
Total,"3,506,907","3,683,320","524,066","4,207,386","(500,000)","3,707,386"
Office of Behavioral Health and,,,,,,
Intellectual disAbility,,,,,,
Personal Services,"4,370,664","3,661,271","204,093","3,865,364","69,339","3,934,703"
Purchase of Services,"25,259,177","25,233,432",0,"25,233,432","2,161,973","27,395,405"
"Materials, Supplies & Equip.","94,345","104,000",0,"104,000","100,000","204,000"
Total,"29,724,186","28,998,703","204,093","29,202,796","2,331,312","31,534,108"
Office of the Chief Administrative Officer,,,,,,
Personal Services,"5,519,901","7,924,104","242,108","8,166,212","541,657","8,707,869"
Purchase of Services,"8,709,434","12,240,698",0,"12,240,698","(8,593,700)","3,646,998"
"Materials, Supplies & Equip.","317,140","60,720",0,"60,720","18,813","79,533"
Total,"14,546,475","20,225,522","242,108","20,467,630","(8,033,230)","12,434,400"
