0,1,2,3,4,5,6,7
Department / Agency,Fiscal Year 2025 Actual Obligations,Increase/ (Decrease),Fiscal Year 2026 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2026 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2027 Proposed Budget
Commerce,,,,,,,
Personal Services,"5,146,082","2,105,772","7,251,854","48,112","7,299,966","147,207","7,447,173"
Purchase of Services,"11,074,576","(2,499,663)","8,574,913",0,"8,574,913","(592,985)","7,981,928"
"Materials, Supplies & Equip.","34,027","147,627","181,654",0,"181,654",0,"181,654"
"Contrib., Indemnities & Taxes","1,000,000","(495,000)","505,000",0,"505,000",0,"505,000"
Total,"17,254,685","(741,264)","16,513,421","48,112","16,561,533","(445,778)","16,115,755"
Commerce-Convention Center Subsidy,,,,,,,
Purchase of Services,"15,000,000",0,"15,000,000",0,"15,000,000",0,"15,000,000"
Total,"15,000,000",0,"15,000,000",0,"15,000,000",0,"15,000,000"
Commerce-Economic Stimulus,,,,,,,
Purchase of Services,"35,004,294","66,361,000","101,365,294",0,"101,365,294","(10,950,000)","90,415,294"
Total,"35,004,294","66,361,000","101,365,294",0,"101,365,294","(10,950,000)","90,415,294"
District Attorney,,,,,,,
Personal Services,"53,432,721","285,282","53,718,003","1,110,661","54,828,664","579,947","55,408,611"
Purchase of Services,"3,254,563","1,507,623","4,762,186",0,"4,762,186","(920,000)","3,842,186"
"Materials, Supplies & Equip.","828,631","3,644","832,275",0,"832,275",0,"832,275"
"Contrib., Indemnities & Taxes","183,750","(183,750)",0,0,0,0,0
Total,"57,699,665","1,612,799","59,312,464","1,110,661","60,423,125","(340,053)","60,083,072"
Finance,,,,,,,
Personal Services,"12,150,436","6,998,116","19,148,552","361,718","19,510,270","(2,194,457)","17,315,813"
Purchase of Services,"2,246,542","4,472,559","6,719,101",0,"6,719,101","(948,481)","5,770,620"
"Materials, Supplies & Equip.","45,754","1,270","47,024",0,"47,024","520,000","567,024"
"Contrib., Indemnities & Taxes","30,564,016","23,182,587","53,746,603",0,"53,746,603","(38,738,603)","15,008,000"
Payments to Other Funds,"2,925,000","(756,939)","2,168,061","55,000,000","57,168,061","(54,668,061)","2,500,000"
Advances and Other Misc. Payments,0,0,0,"91,000,000","91,000,000","(90,999,900)",100
Total,"47,931,748","33,897,593","81,829,341","146,361,718","228,191,059","(187,029,502)","41,161,557"
Finance-Budget Stabilization,,,,,,,
Payments to Other Funds,"58,291,000","569,000","58,860,000",0,"58,860,000","(6,376,000)","52,484,000"
Total,"58,291,000","569,000","58,860,000",0,"58,860,000","(6,376,000)","52,484,000"
Finance-Community College Subsidy,,,,,,,
"Contrib., Indemnities & Taxes","56,003,181","(2,000,000)","54,003,181",0,"54,003,181","1,850,000","55,853,181"
Total,"56,003,181","(2,000,000)","54,003,181",0,"54,003,181","1,850,000","55,853,181"
Finance-Employee Benefits,,,,,,,
Pers. Svcs.-Emp.Benefits,"1,625,686,168","119,901,467","1,745,587,635","(22,721,508)","1,722,866,127","98,302,931","1,821,169,058"
Total,"1,625,686,168","119,901,467","1,745,587,635","(22,721,508)","1,722,866,127","98,302,931","1,821,169,058"
Finance-Hero Scholarship Awards,,,,,,,
"Contrib., Indemnities & Taxes",0,"150,000","150,000",0,"150,000",0,"150,000"
Total,0,"150,000","150,000",0,"150,000",0,"150,000"
Finance-Payment to Housing Trust Fund,,,,,,,
Payments to Other Funds,"31,390,926","2,653,105","34,044,031",0,"34,044,031","624,184","34,668,215"
Total,"31,390,926","2,653,105","34,044,031",0,"34,044,031","624,184","34,668,215"
Finance-Indemnities (3),,,,,,,
"Contrib., Indemnities & Taxes",0,"61,246,000","61,246,000",0,"61,246,000","32,421","61,278,421"
Total,0,"61,246,000","61,246,000",0,"61,246,000","32,421","61,278,421"
Finance-Reg #32,,,,,,,
Personal Services,"13,509,960","(1,309,960)","12,200,000","(3,000,000)","9,200,000","(1,200,000)","8,000,000"
Total,"13,509,960","(1,309,960)","12,200,000","(3,000,000)","9,200,000","(1,200,000)","8,000,000"
Finance-Refunds,,,,,,,
"Contrib., Indemnities & Taxes","33,220","216,780","250,000",0,"250,000",0,"250,000"
Total,"33,220","216,780","250,000",0,"250,000",0,"250,000"
