0,1,2,3,4,5,6,7
Department / Agency,Fiscal Year 2025 Actual Obligations,Increase/ (Decrease),Fiscal Year 2026 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2026 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2027 Proposed Budget
Mural Arts Program,,,,,,,
Personal Services,"566,756","86,489","653,245","9,602","662,847","3,201","666,048"
Purchase of Services,"3,554,141","900,000","4,454,141",0,"4,454,141","(1,400,000)","3,054,141"
Total,"4,120,897","986,489","5,107,386","9,602","5,116,988","(1,396,799)","3,720,189"
Office of Behavioral Health and,,,,,,,
Intellectual disAbility,,,,,,,
Personal Services,"3,684,008","250,695","3,934,703","159,216","4,093,919","61,066","4,154,985"
Purchase of Services,"25,233,431","2,161,974","27,395,405","(824,891)","26,570,514","1,574,891","28,145,405"
"Materials, Supplies & Equip.","102,159","101,841","204,000","824,891","1,028,891","(824,891)","204,000"
"Contrib., Indemnities & Taxes",950,(950),0,0,0,0,0
Total,"29,020,548","2,513,560","31,534,108","159,216","31,693,324","811,066","32,504,390"
Office of the Chief Administrative Officer,,,,,,,
Personal Services,"6,754,601","1,953,268","8,707,869","(401,030)","8,306,839","2,185,561","10,492,400"
Purchase of Services,"9,761,151","(6,676,506)","3,084,645","509,620","3,594,265","(616,267)","2,977,998"
"Materials, Supplies & Equip.","43,441","98,445","141,886","11,624","153,510","(23,977)","129,533"
Total,"16,559,193","(4,624,793)","11,934,400","120,214","12,054,614","1,545,317","13,599,931"
Office of Arts and Culture and,,,,,,,
the Creative Economy,,,,,,,
Personal Services,"714,298","205,535","919,833","11,551","931,384","3,851","935,235"
Purchase of Services,"130,768","270,000","400,768",0,"400,768","925,000","1,325,768"
"Materials, Supplies & Equip.",0,"10,000","10,000",0,"10,000",0,"10,000"
"Contrib., Indemnities & Taxes","9,980,000","(1,580,000)","8,400,000",0,"8,400,000","(4,100,000)","4,300,000"
Total,"10,825,066","(1,094,465)","9,730,601","11,551","9,742,152","(3,171,149)","6,571,003"
Office of Community,,,,,,,
Empowerment and Opportunity,,,,,,,
Personal Services,"2,786,597","(1,127,150)","1,659,447","43,113","1,702,560","711,295","2,413,855"
Purchase of Services,"1,846,520","1,601,837","3,448,357",0,"3,448,357","1,502,250","4,950,607"
"Materials, Supplies & Equip.","256,805","(240,807)","15,998",0,"15,998","19,000","34,998"
Total,"4,889,922","233,880","5,123,802","43,113","5,166,915","2,232,545","7,399,460"
Office of Education,,,,,,,
Personal Services,"670,141","3,731,963","4,402,104","10,691","4,412,795","215,064","4,627,859"
Purchase of Services,0,"4,673,399","4,673,399",0,"4,673,399","439,340","5,112,739"
"Materials, Supplies & Equip.",0,"134,937","134,937",0,"134,937","18,850","153,787"
Total,"670,141","8,540,299","9,210,440","10,691","9,221,131","673,254","9,894,385"
Office of Homeless Services,,,,,,,
Personal Services,"11,280,708","134,777","11,415,485","691,354","12,106,839","200,032","12,306,871"
Purchase of Services,"73,476,653","(1,080,648)","72,396,005",0,"72,396,005","296,837","72,692,842"
"Materials, Supplies & Equip.","334,892","9,235","344,127",0,"344,127",0,"344,127"
"Contrib., Indemnities & Taxes","191,134","(158,713)","32,421",0,"32,421","(32,421)",0
Total,"85,283,387","(1,095,349)","84,188,038","691,354","84,879,392","464,448","85,343,840"
Office of Human Resources,,,,,,,
Personal Services,"7,277,162","251,138","7,528,300","242,245","7,770,545","291,367","8,061,912"
Purchase of Services,"3,164,378","7,593,493","10,757,871",0,"10,757,871","4,073,748","14,831,619"
"Materials, Supplies & Equip.","37,690","35,213","72,903",0,"72,903",0,"72,903"
Total,"10,479,230","7,879,844","18,359,074","242,245","18,601,319","4,365,115","22,966,434"
Office of Innovation and Technology,,,,,,,
Personal Services,"31,870,212","2,237,513","34,107,725","670,037","34,777,762","710,209","35,487,971"
Purchase of Services,"66,852,145","6,348,810","73,200,955",0,"73,200,955","10,212,891","83,413,846"
"Materials, Supplies & Equip.","13,156,557","(2,022,955)","11,133,602",0,"11,133,602","1,222,232","12,355,834"
"Contrib., Indemnities & Taxes",0,0,0,0,0,0,0
Payments to Other Funds,"606,451","(606,451)",0,0,0,0,0
Total,"112,485,365","5,956,917","118,442,282","670,037","119,112,319","12,145,332","131,257,651"
