0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2024 YEAR TO DATE,,,,FY 2024 FULL YEAR,,
Department/Category,FY 21 Year End,FY 22 Year End,FY 23 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Free Library,,,,,,,,,,,
Full-Time Positions,634,618,764,782,782,0,"1,009","1,009","1,009",0,0
Class 100 Total Oblig./Approp.,"36,056,416","37,737,788","39,779,422","21,601,223","21,601,223",0,"59,121,703","59,121,703","59,121,703",0,0
Class 100 Overtime Oblig./Approp.,"325,884","587,443","1,128,594","1,378,500","690,744","687,756","2,757,000","2,757,000","2,757,000",0,0
Human Relations Commission,,,,,,,,,,,
Full-Time Positions,32,32,30,33,33,0,34,34,34,0,0
Class 100 Total Oblig./Approp.,"2,267,083","2,286,733","2,340,114","1,184,522","1,184,522",0,"2,646,469","2,646,469","2,646,469",0,0
Class 100 Overtime Oblig./Approp.,"4,569",0,0,0,"29,300","(29,300)",0,0,0,0,0
Human Services,,,,,,,,,,,
Full-Time Positions,492,492,535,433,433,0,538,538,538,0,0
Class 100 Total Oblig./Approp. *,"28,025,714","28,716,422","32,334,996","8,031,964","8,031,964",0,"37,396,767","37,396,767","37,396,767",0,0
Class 100 Overtime Oblig./Approp. *,"3,324,490","4,080,821","5,077,010","2,125,231","1,370,918","754,313","4,250,462","4,250,462","4,250,462",0,0
Labor,,,,,,,,,,,
Full-Time Positions,26,28,34,42,42,0,52,51,51,1,0
Class 100 Total Oblig./Approp.,"1,991,712","2,246,006","2,766,257","1,566,817","1,566,817",0,"4,249,815","4,297,992","4,297,992","(48,177)",0
Class 100 Overtime Oblig./Approp.,59,"8,366","7,980","19,914","7,256","12,658","39,828","39,828","39,828",0,0
Law,,,,,,,,,,,
Full-Time Positions,127,175,193,213,213,0,205,215,215,(10),0
Class 100 Total Oblig./Approp.,"9,640,029","13,550,079","15,665,381","8,606,495","8,606,495",0,"16,857,049","18,357,049","18,357,049","(1,500,000)",0
Class 100 Overtime Oblig./Approp.,"6,050",0,70,150,94,56,0,300,300,(300),0
Licenses & Inspections,,,,,,,,,,,
Full-Time Positions,372,346,329,341,341,0,430,429,429,1,0
Class 100 Total Oblig./Approp.,"24,779,256","24,295,338","24,116,397","11,485,260","11,485,260",0,"28,501,910","28,420,282","28,420,282","81,628",0
Class 100 Overtime Oblig./Approp.,"845,614","1,342,903","1,277,430","505,754","704,669","(198,915)","1,011,507","1,011,507","1,411,507","(400,000)","(400,000)"
L&I-Board of Building Standards,,,,,,,,,,,
Full-Time Positions,1,1,1,1,1,0,1,1,1,0,0
Class 100 Total Oblig./Approp.,"85,061","76,786","83,357","45,537","45,537",0,"86,609","86,609","86,609",0,0
Class 100 Overtime Oblig./Approp.,0,167,769,500,486,14,0,"1,000","1,000","(1,000)",0
