0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2024 YEAR TO DATE,,,,FY 2024 FULL YEAR,,
Department /Category,FY 21 Year End,FY 22 Year End,FY 23,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Auditing (City Controller's Office),,,,,,,,,,,
Full-Time Positions,118,109,110,113,113,0,135,135,135,0,0
Class 100 Total Oblig./Approp.,"9,311,029","9,523,506","9,092,764","6,830,164","6,830,164",0,"10,599,672","10,399,672","10,399,672","200,000",0
Class 100 Overtime Oblig./Approp.,"39,619","58,666","60,074","60,000","50,202","9,798","80,000","80,000","80,000",0,0
Board of Ethics,,,,,,,,,,,
Full-Time Positions,9,9,10,10,10,0,14,14,14,0,0
Class 100 Total Oblig./Approp.,"801,988","848,155","932,874","723,092","723,092",0,"1,322,433","1,322,433","1,322,433",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Board of Revision of Taxes,,,,,,,,,,,
Full-Time Positions,15,14,15,17,17,0,16,16,16,0,0
Class 100 Total Oblig./Approp.,"1,002,561","988,226","1,012,612","789,202","789,202",0,"1,089,023","1,109,023","1,109,023","(20,000)",0
Class 100 Overtime Oblig./Approp.,45,"1,801","1,824","2,625",886,"1,739",0,"3,500","3,500","(3,500)",0
City Commissioners (Election Board),,,,,,,,,,,
Full-Time Positions,137,134,146,156,156,0,187,187,187,0,0
Class 100 Total Oblig./Approp.,"8,293,480","7,768,164","9,116,587","6,638,664","6,638,664",0,"11,193,816","11,193,816","11,193,816",0,0
Class 100 Overtime Oblig./Approp.,"1,531,588","1,230,728","1,649,718","1,195,949","1,048,086","147,863","1,594,599","1,594,599","1,594,599",0,0
City Council,,,,,,,,,,,
Full-Time Positions,182,175,164,190,190,0,185,185,185,0,0
Class 100 Total Oblig./Approp.,"14,051,449","14,383,873","14,095,159","10,394,360","10,394,360",0,"16,700,583","18,700,583","18,700,583","(2,000,000)",0
Class 100 Overtime Oblig./Approp.,245,0,0,0,0,0,0,0,0,0,0
City Treasurer,,,,,,,,,,,
Full-Time Positions,16,17,20,20,20,0,22,22,22,0,0
Class 100 Total Oblig./Approp.,"1,230,203","1,396,762","1,579,598","1,123,867","1,123,867",0,"1,819,025","1,819,025","1,819,025",0,0
Class 100 Overtime Oblig./Approp.,"56,626","66,607","57,689","52,500","31,525","20,975","70,000","70,000","70,000",0,0
Civil Service Commission,,,,,,,,,,,
Full-Time Positions,1,2,2,2,2,0,2,2,2,0,0
Class 100 Total Oblig./Approp.,"140,533","141,474","153,540","112,732","112,732",0,"183,057","183,057","183,057",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
