0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2024 YEAR TO DATE,,,,FY 2024 FULL YEAR,,
Department/Category,FY 21 Year End,FY 22 Year End,FY 23 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Public Health,,,,,,,,,,,
Full-Time Positions,716,689,690,695,695,0,864,864,864,0,0
Class 100 Total Oblig./Approp.,"58,289,725","60,210,880","60,916,653","13,510,051","13,510,051",0,"69,046,910","69,046,910","69,296,910","(250,000)","(250,000)"
Class 100 Overtime Oblig./Approp.,"2,319,808","2,434,412","2,703,650","549,979","710,473","(160,494)","2,199,917","2,199,917","2,199,917",0,0
Public Property,,,,,,,,,,,
Full-Time Positions,142,133,119,141,141,0,176,176,176,0,0
Class 100 Total Oblig./Approp.,"9,847,147","10,124,679","10,279,133","2,720,034","2,720,034",0,"12,395,405","12,395,405","12,395,405",0,0
Class 100 Overtime Oblig./Approp.,"195,014","228,450","602,379","182,343","303,146","(120,803)","729,371","729,371","729,371",0,0
Records,,,,,,,,,,,
Full-Time Positions,51,54,53,53,53,0,60,60,60,0,0
Class 100 Total Oblig./Approp.,"2,823,021","3,202,359","3,229,777","683,722","683,722",0,"3,616,541","3,616,541","3,616,541",0,0
Class 100 Overtime Oblig./Approp.,"65,664","282,392","183,184","20,835","26,769","(5,934)","83,340","83,340","83,340",0,0
Register of Wills,,,,,,,,,,,
Full-Time Positions,70,67,63,67,67,0,73,73,73,0,0
Class 100 Total Oblig./Approp.,"4,174,663","4,221,694","4,089,933","909,632","909,632",0,"4,450,243","4,450,243","4,450,243",0,0
Class 100 Overtime Oblig./Approp.,231,"5,641",0,0,0,0,0,0,0,0,0
Revenue,,,,,,,,,,,
Full-Time Positions,386,328,327,315,315,0,401,401,401,0,0
Class 100 Total Oblig./Approp.,"22,277,095","20,432,060","20,382,438","4,278,989","4,278,989",0,"22,626,664","22,626,664","22,626,664",0,0
Class 100 Overtime Oblig./Approp.,"85,746","339,671","398,174","116,250","36,882","79,368","465,000","465,000","465,000",0,0
Sheriff,,,,,,,,,,,
Full-Time Positions,367,343,328,321,321,0,459,459,459,0,0
Class 100 Total Oblig./Approp.,"26,258,562","26,834,747","28,108,343","6,086,989","6,086,989",0,"30,232,235","30,232,235","30,232,235",0,0
Class 100 Overtime Oblig./Approp.,"2,799,955","4,021,949","5,238,972","1,000,000","1,233,195","(233,195)","4,000,000","4,000,000","4,000,000",0,0
Streets,,,,,,,,,,,
Full-Time Positions,"1,941","2,072","2,068","1,446","1,446",0,"1,688","1,688","1,688",0,0
Class 100 Total Oblig./Approp. *,"88,868,951","99,660,073","110,599,547","19,557,106","19,557,106",0,"90,005,569","90,005,569","89,659,505","346,064","346,064"
Class 100 Overtime Oblig./Approp.,"16,469,836","17,741,782","16,970,691","2,820,606","4,459,939","(1,639,333)","11,282,424","11,282,424","11,282,424",0,0
,,,,,,,,,,,
TOTAL GENERAL FUND,,,,,,,,,,,
Full-Time Positions,"21,630","21,055","21,271","20,638","20,638",0,"25,185","25,185","25,202",(17),(17)
Class 100 Total Oblig./Approp.,"1,811,423,186","1,890,714,287","1,975,600,771","431,872,231","431,872,231",0,"2,167,982,681","2,167,982,681","2,175,976,794","(7,994,113)","(7,994,113)"
Class 100 Overtime Oblig./Approp.,"185,591,876","215,014,701","249,647,862","67,611,777","59,646,931","7,964,846","270,447,090","270,447,090","270,447,090",0,0
