0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2024 YEAR TO DATE,,,,FY 2024 FULL YEAR,,
Department/Category,FY 21 Year End,FY 22 Year End,FY 23,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Public Health,,,,,,,,,,,
Full-Time Positions,716,689,690,702,702,0,864,864,764,100,100
Class 100 Total Oblig./Approp.,"58,289,725","60,210,880","60,916,653","46,338,138","46,338,138",0,"69,046,910","69,296,910","69,296,910","(250,000)",0
Class 100 Overtime Oblig./Approp.,"2,319,808","2,434,412","2,703,650","2,249,938","2,243,304","6,634","2,199,917","2,999,917","2,999,917","(800,000)",0
Public Property,,,,,,,,,,,
Full-Time Positions,142,133,119,136,136,0,176,176,176,0,0
Class 100 Total Oblig./Approp.,"9,847,147","10,124,679","10,279,133","8,726,046","8,726,046",0,"12,395,405","12,395,405","12,395,405",0,0
Class 100 Overtime Oblig./Approp.,"195,014","228,450","602,379","922,028","1,039,975","(117,947)","729,371","1,229,371","1,379,371","(650,000)","(150,000)"
Records,,,,,,,,,,,
Full-Time Positions,51,54,53,55,55,0,60,60,60,0,0
Class 100 Total Oblig./Approp.,"2,823,021","3,202,359","3,229,777","2,369,191","2,369,191",0,"3,616,541","3,616,541","3,616,541",0,0
Class 100 Overtime Oblig./Approp.,"65,664","282,392","183,184","100,005","96,688","3,317","83,340","133,340","133,340","(50,000)",0
Register of Wills,,,,,,,,,,,
Full-Time Positions,70,67,63,63,63,0,73,73,73,0,0
Class 100 Total Oblig./Approp.,"4,174,663","4,221,694","4,089,933","3,072,313","3,072,313",0,"4,450,243","4,450,243","4,450,243",0,0
Class 100 Overtime Oblig./Approp.,231,"5,641",0,0,513,(513),0,0,700,(700),(700)
Revenue,,,,,,,,,,,
Full-Time Positions,386,328,327,322,322,0,401,401,401,0,0
Class 100 Total Oblig./Approp.,"22,277,095","20,432,060","20,382,438","14,599,380","14,599,380",0,"22,626,664","22,626,664","22,626,664",0,0
Class 100 Overtime Oblig./Approp.,"85,746","339,671","398,174","348,750","210,808","137,942","465,000","465,000","465,000",0,0
Sheriff,,,,,,,,,,,
Full-Time Positions,367,343,328,324,324,0,459,459,459,0,0
Class 100 Total Oblig./Approp.,"26,258,562","26,834,747","28,108,343","20,579,708","20,579,708",0,"30,232,235","30,232,235","30,232,235",0,0
Class 100 Overtime Oblig./Approp.,"2,799,955","4,021,949","5,238,972","3,900,000","4,311,666","(411,666)","4,000,000","5,200,000","5,700,000","(1,700,000)","(500,000)"
Streets,,,,,,,,,,,
Full-Time Positions,"1,941","2,072","2,068","1,432","1,432",0,"1,688","1,688","1,688",0,0
Class 100 Total Oblig./Approp.,"88,868,951","99,660,073","110,599,547","60,212,287","60,212,287",0,"90,005,569","89,659,505","89,659,505","346,064",0
Class 100 Overtime Oblig./Approp.,"16,469,836","17,741,782","16,970,691","12,211,818","12,017,717","194,101","11,282,424","16,282,424","16,282,424","(5,000,000)",0
,,,,,,,,,,,
TOTAL GENERAL FUND,,,,,,,,,,,
Full-Time Positions,"21,630","21,055","21,271","20,826","20,826",0,"25,185","25,202","23,080","2,105","2,122"
Class 100 Total Oblig./Approp.,"1,811,423,186","1,890,714,287","1,975,600,771","1,430,306,287","1,430,306,287",0,"2,167,982,681","2,177,976,794","2,177,126,794","(9,144,113)","850,000"
Class 100 Overtime Oblig./Approp.,"185,591,876","215,014,701","249,647,862","211,404,594","187,505,259","23,899,335","270,447,090","281,872,790","282,514,440","(12,067,350)","(641,650)"
