0,1,2,3,4,5,6,7,8
,,,,,,FY 2024 FULL YEAR,,
Department/Category,FY 21 Year End,FY 22 Year End,FY 23,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Mural Arts Program,,,,,,,,
Full-Time Positions,8,8,9,10,10,10,0,0
Class 100 Total Oblig./Approp.,"577,153","404,320","527,907","629,179","629,179","629,179",0,0
Class 100 Overtime Oblig./Approp.,"2,317","5,431","12,599","25,000","25,000","12,869","12,131","12,131"
Office of Behavioral Health and Intellectual disAbility,,,,,,,,
Full-Time Positions,23,30,44,53,53,44,9,9
Class 100 Total Oblig./Approp.,"1,546,510","1,818,626","3,114,848","3,661,271","3,661,271","3,661,271",0,0
Class 100 Overtime Oblig./Approp.,"7,582","40,229","152,495","310,000","310,000","277,403","32,597","32,597"
Office of the Chief Administrative Officer,,,,,,,,
Full-Time Positions,59,75,73,76,81,69,7,12
Class 100 Total Oblig./Approp.,"4,005,063","4,457,677","6,108,879","5,749,903","6,044,903","6,044,903","(295,000)",0
Class 100 Overtime Oblig./Approp.,443,"1,342","42,720","58,198","58,198","16,283","41,915","41,915"
Office of Children and Families,,,,,,,,
Full-Time Positions,3,2,5,3,3,3,0,0
Class 100 Total Oblig./Approp.,"418,820","377,938","502,591","481,098","481,098","481,098",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Office of Homeless Services,,,,,,,,
Full-Time Positions,127,114,113,149,149,129,20,20
Class 100 Total Oblig./Approp.,"7,600,652","9,151,392","8,252,751","10,635,985","9,785,985","9,785,985","850,000",0
Class 100 Overtime Oblig./Approp.,"314,954","120,570","88,977","204,099","204,099","228,883","(24,784)","(24,784)"
Office of Human Resources,,,,,,,,
Full-Time Positions,75,73,82,96,96,91,5,5
Class 100 Total Oblig./Approp.,"5,133,178","5,230,335","5,488,289","6,509,982","6,509,982","6,509,982",0,0
Class 100 Overtime Oblig./Approp.,"81,009","94,206","111,909","155,391","155,391","51,435","103,956","103,956"
Office of Innovation and Technology,,,,,,,,
Full-Time Positions,313,300,349,398,398,369,29,29
Class 100 Total Oblig./Approp.,"24,142,550","25,739,873","28,225,382","33,474,871","33,474,871","33,474,871",0,0
Class 100 Overtime Oblig./Approp.,"350,274","579,803","754,167","837,500","837,500","798,132","39,368","39,368"
OIT-Base,,,,,,,,
Full-Time Positions,299,288,334,380,380,353,27,27
Class 100 Total Oblig./Approp.,"22,946,742","24,553,231","26,813,476","31,866,139","31,866,139","31,866,139",0,0
Class 100 Overtime Oblig./Approp.,"314,614","523,830","752,935","777,500","777,500","770,273","7,227","7,227"
OIT-911,,,,,,,,
Full-Time Positions,14,12,15,18,18,16,2,2
Class 100 Total Oblig./Approp.,"1,195,808","1,186,642","1,411,906","1,608,732","1,608,732","1,608,732",0,0
Class 100 Overtime Oblig./Approp.,"35,660","55,973","1,232","60,000","60,000","27,859","32,141","32,141"
