0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2024 YEAR TO DATE,,,,FY 2024 FULL YEAR,,
Department /Category,FY 21 Year End,FY 22 Year End,FY 23 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Office of Behavioral Health and Intellectual disAbility,,,,,,,,,,,
Full-Time Positions,23,30,44,44,44,0,53,53,53,0,0
Class 100 Total Oblig./Approp.,"1,546,510","1,818,626","3,114,848","840,222","840,222",0,"3,661,271","3,661,271","3,661,271",0,0
Class 100 Overtime Oblig./Approp.,"7,582","40,229","152,495","77,500","78,614","(1,114)","310,000","310,000","310,000",0,0
Office of the Chief Administrative Officer,,,,,,,,,,,
Full-Time Positions,59,75,73,66,66,0,76,76,81,(5),(5)
Class 100 Total Oblig./Approp.,"4,005,063","4,457,677","6,108,879","1,260,272","1,260,272",0,"5,749,903","5,749,903","6,044,903","(295,000)","(295,000)"
Class 100 Overtime Oblig./Approp.,443,"1,342","42,720","14,550","7,706","6,844","58,198","58,198","58,198",0,0
Office of Children and Families,,,,,,,,,,,
Full-Time Positions,3,2,5,4,4,0,3,3,3,0,0
Class 100 Total Oblig./Approp.,"418,820","377,938","502,591","125,803","125,803",0,"481,098","481,098","481,098",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Office of Homeless Services,,,,,,,,,,,
Full-Time Positions,127,114,113,119,119,0,149,149,149,0,0
Class 100 Total Oblig./Approp.,"7,600,652","9,151,392","8,252,751","2,022,980","2,022,980",0,"10,635,985","10,635,985","10,635,985",0,0
Class 100 Overtime Oblig./Approp.,"314,954","120,570","88,977","51,025","43,307","7,718","204,099","204,099","204,099",0,0
Office of Human Resources,,,,,,,,,,,
Full-Time Positions,75,73,82,86,86,0,96,96,96,0,0
Class 100 Total Oblig./Approp.,"5,133,178","5,230,335","5,488,289","1,256,828","1,256,828",0,"6,509,982","6,509,982","6,509,982",0,0
Class 100 Overtime Oblig./Approp.,"81,009","94,206","111,909","38,848","10,073","28,775","155,391","155,391","155,391",0,0
Office of Innovation and Technology,,,,,,,,,,,
Full-Time Positions,313,300,349,356,356,0,398,398,398,0,0
Class 100 Total Oblig./Approp.,"24,142,550","25,739,873","28,225,382","6,808,179","6,808,179",0,"33,474,871","33,474,871","33,474,871",0,0
Class 100 Overtime Oblig./Approp.,"350,274","579,803","754,167","209,375","183,139","26,236","837,500","837,500","837,500",0,0
OIT-Base,,,,,,,,,,,
Full-Time Positions,299,288,334,341,341,0,380,380,380,0,0
Class 100 Total Oblig./Approp.,"22,946,742","24,553,231","26,813,476","6,508,569","6,508,569",0,"31,866,139","31,866,139","31,866,139",0,0
Class 100 Overtime Oblig./Approp.,"314,614","523,830","752,935","194,375","178,453","15,922","777,500","777,500","777,500",0,0
OIT-911,,,,,,,,,,,
Full-Time Positions,14,12,15,15,15,0,18,18,18,0,0
Class 100 Total Oblig./Approp.,"1,195,808","1,186,642","1,411,906","299,610","299,610",0,"1,608,732","1,608,732","1,608,732",0,0
Class 100 Overtime Oblig./Approp.,"35,660","55,973","1,232","15,000","4,686","10,314","60,000","60,000","60,000",0,0
